researchlogid	government	researchlogtype	researchlogdate	researchlogvolumefrom	researchlogfrom	researchlogvolumeto	researchlogto	researchlogismissing	researchlognotes	researchlogdisposition	event
43	40	58	2016-05-15	206	1964	206	1965	f			\N
44	40	25	2017-01-25	1970	1970	1970	1970	f	Went through page by page.		\N
45	40	58	2016-05-15	158	1945	158	1946	f			\N
46	40	5	2017-01-25	1967	1967	1970:2	1970	f	Superior West		\N
47	40	57	2016-05-15	109	1987	109	1987	f			\N
48	40	57	2016-05-15	150	1992	150	1992	f			\N
49	40	57	2016-05-15	93	1985	93	1986	f			\N
50	40	57	2016-05-15	33	1977	33	1978	f			\N
51	40	57	2016-05-15	87	1984	88	1985	f			\N
52	40	58	2015-12-27	53	1913	78	1922	f			\N
53	40	59	2016-05-15	527	1990	527	1991	f			\N
54	40	58	2016-05-15	211	1967	211	1968	f			\N
55	40	58	2016-05-15	208	1966	208	1966	f			\N
56	40	58	2016-05-15	181	1956	183	1957	f			\N
57	40	58	2016-05-15	178	1955	178	1955	f			\N
58	40	58	2016-05-15	189	1959	189	1959	f			\N
59	40	58	2016-05-15	176	1954	176	1954	f			\N
60	40	58	2016-05-15	172	1952	172	1953	f			\N
61	40	59	2016-05-15	373	1953	374	1953	f			\N
62	40	59	2016-05-15	378	1954	378	1954	f			\N
63	40	59	2016-05-15	383	1955	383	1956	f			\N
64	40	59	2016-05-15	405	1961	405	1962	f			\N
65	40	59	2016-05-15	398	1959	398	1960	f			\N
66	40	59	2016-05-15	408	1962	408	1962	f			\N
67	40	59	2016-05-15	416	1964	416	1965	f			\N
68	40	41	2015-02-11	RG 26.84, Carton 25, Slot 16-4449	1978	RG 26.84, Carton 25, Slot 16-4449	1989	f	This box contains information regarding special elections due to members dying or resigning.		\N
69	40	41	2015-02-11	RG 26.84, Carton 29, Slot 16-4453	1988	RG 26.84, Carton 30, Slot 16-4454	1989	f	These boxes contain original returns from the counties. I went page through page through the Warren County return for the City of Warren election on the April 26, 1988 primary.		\N
70	40	59	2016-05-15	423	1966	423	1967	f			\N
71	40	59	2016-05-15	447	1971	447	1972	f			\N
72	40	59	2016-05-15	302	1930	302	1931	f			\N
73	40	58	2016-05-14	120	1935	126	1937	f			\N
74	40	59	2016-05-15	458	1974	458	1974	f			\N
75	40	58	2016-05-14	91	1927	91	1927	f			\N
76	40	59	2016-08-28	1	1845	4	1846	f			\N
77	40	59	2016-08-28	W. & S. 1	1841	W. & S. 1	1841	f			\N
78	40	58	2016-05-15	218	1970	218	1971	f			\N
79	40	58	2016-05-14	79	1922	82	1924	f			\N
81	40	80	2016-11-20					f	to the Department of Community and Economic Development: "Those folders or other record containers from those portions of the 'Municipal Statistics' files in which an employee of the DCED engaged in the study of municipal and county forms of government would reasonably expect to locate original filings with regard to the adoption of home rule charters or optional plans by municipalities and counties that had been filed with the DCED or any predecessor agency whose duties the DCED has assumed."		\N
82	40	7	2016-12-22	1898	1898	1898	1898	f			\N
83	40	58	2016-05-14	111	1933	112	1934	f			\N
84	40	58	2016-05-14	97	1929	104	1932	f			\N
85	40	58	2017-06-28	209	1966	209	1967	f			\N
86	40	79	2014-03-23					f	to the Department of Community and Economic Development: "That portion of report or compilation titled 'Boundary Change Referenda Initiated Under Constitutional Procedure' (or report with analogous information as the attached examples) for the periods from 1987 to 1990 and from 1994 to present."		\N
87	40	79	2010-11-06					f	to the Department of State: "an electronic version of a list of all polling places in the Commonwealth, preferably including the following for each: 1. county 2. municipality 3. precinct name."		\N
88	40	57	2016-05-15	125	1989	125	1989	f			\N
89	40	80	2012-07-12					f	to the Department of Education: "Any records filed with the Secretary of Education (formerly known as the Superintendent of Public Instruction) or with the State Board of Education (formerly known as the State Council of Education) in proceedings to alter the boundaries of or create new school districts of the third or fourth classes pursuant to Sections 227 and 228 of the Public School Code of 1949, as amended -excepting those records that have already been transferred to the State Archives. [N.B.: This request is for records still maintained by the Department of Education beginning with the mid-1960s that would form a continuation of the 'School District Annexation and Appropriation File' as currently maintained by the State Archives in Record Series 22.120, and in part in Record Series 22.102. An example of documents requested is the Request for Annexation by School District of Lancaster filed at Annexation Doc. Nos. 1999-1 and 1999-2 (29 Pa.B. 1961)]."		\N
90	40	59	2016-05-15	403	1961	403	1961	f			\N
91	40	59	2016-05-15	395	1959	396	1959	f			\N
92	40	80	2012-09-20					f	to the Department of Community and Economic Development: "-All those folders, boxes, or other record containers from those portions of the 'Municipal Statistics' series in which an employee of the DCED engaged in the research of local option referendums or political subdivision boundary alterations would reasonably expect to locate original filings with regard to annexation proceedings or referendums that had been filed with the DCED or any predecessor agency whose duties the DCED has assumed, for the one hundred thirty-three (133) political subdivisions listed in the attached exhibit. -All those folders, boxes, or other record containers from other series of records in the possession of the DCED in which an employee thereof engaged in the research of local option referendums or political subdivision boundary alterations would reasonably expect to locate original filings with regard to annexation proceedings or referendums that had been filed with the DCED or any predecessor agency whose duties the DCED has assumed, for the one hundred thirty-three (133) political subdivisions listed in the attached exhibit." [N.B.: All "Boundary Change" files for all counties examined, notwithstanding exhibit.]		\N
93	40	80	2014-03-23					f	to the Office of Attorney General: "Ruling of the Department of Justice made between 1966 and early 1969 designating the Bureau of Community Services within the Department of Community Affairs as the repository for documents pertinent to annexations and changes in borough and township lines, as referenced in the enclosed correspondence dated January 22, 1969, from the Department of Community Affairs to the Clerk of Courts of Allegheny County."		\N
94	40	78	2014-10-26					f	to the Office of the Governor: "Any certifications issued by the Governor on June 10, 2011, relating to classification of counties subsequent to the twenty-third U.S. Census in 2010"		\N
96	40	7	2016-12-22	1911	1911	1911	1911	f			\N
99	40	57	2016-05-15	127	1989	127	1989	f			\N
100	40	57	2016-05-15	130	1989	130	1990	f			\N
101	40	59	2016-05-15	304	1931	305	1931	f			\N
102	40	58	2016-05-15	161	1947	161	1948	f			\N
103	40	58	2016-05-15	163	1948	163	1949	f			\N
104	40	41	2015-01-02	RG 26.84, Carton 43, Slot 6-3429	1991	RG 26.84, Carton 43, Slot 6-3429	1991	f	No city charters or county classification documents found.		\N
105	40	41	2015-01-02	RG 26.84, Carton 37, Slot 6-3423	1980s	RG 26.84, Carton 37, Slot 6-3423	1980s	f	This box contains historic election returns gathered by several counties in the 1980s.		\N
106	40	96	2015-02-11	RG 26.61, Carton 25, Slot 8-1104	1966	RG 26.61, Carton 25, Slot 8-1104	1995	f			\N
107	40	59	2016-05-15	414	1964	414	1964	f			\N
108	40	59	2016-05-15	411	1963	411	1963	f			\N
109	2287	109	2017-01-25	J, p. 144	1896	J, p. 192	1897	f	Went through page by page -- only reference to Arendtsville and Fairfield incorporations is in election returns.		\N
110	2287	73	2015-10-21	Assignment of Numbers	1975	Assignment of Numbers	comp	f			\N
112	2287	79	2012-12-26					f	"Uncertified copies of the following: 1. Petition by electors of Borough of Bendersville, excluding any pages wholly consisting of signatures of voters, to place annexation initiative on ballot for May 16, 2006 election. 2. Petition by electors of Township of Menallen, excluding any pages wholly consisting of signatures of voters, to place annexation initiative on ballot for May 16, 2006 election. 3. Results by precinct or municipality (whichever is available) for the annexation initiative conducted in the May 16, 2006 election, including page stating the date results certified [N.B.: if there is no such page stating the date results certified, then please also provide a copy of the minutes of the Board of Elections for the meeting wherein the results of the May 16, 2006 election were certified]."		\N
113	2287	109	2017-01-25	3	1895	3	1898	f	I verified this is purely a criminal docket.		\N
114	2287	67	2014-06-18	1		1		f			\N
115	2287	109	2015-01-02	E	1833	G	1866	f			\N
116	2287	109	2013-04-~01	H	1867	J	1909	f			\N
117	2287	109	2015-02-11	A	form	D	1833	f	Went through page by page. Nothing found in Docket D.		\N
118	2287	78	2015-05-22					f	"Certification issued by the Governor under the Great Seal of the Commonwealth reclassifying the County of Adams after the 23rd (2010) Census, pursuant to the Act of August 9, 1955 (P.L. 323, No. 130), § 211, as amended, 16 P.S. § 211. ALSO, any cover sheets or receipts evidencing the recording of the same in the Office of the Recorder of Deeds of Adams County, also pursuant to the said act and section."		\N
120	2287	56	2015-10-21					f			\N
121	2287	73	2015-10-21	1974-1978	1974	1974-1978	1978	f			\N
122	2287	102	2015-10-21	C	1918	D	1965	f	Record series discontinued in 1965.		\N
123	2287	109	2015-10-21	K	1909	M	1932	f			\N
124	2287	109	2014-06-18	N		R		f			\N
125	2288	67	2015-09-25	38	1939	38	1939	f			\N
127	2288	66	2016-03-21	85	1993	85	1998	f	This docket only contains silicone implant litigation.		\N
128	2288	66	2016-03-22	79	1969	84	1984	f			\N
129	2288	67	2016-03-22	11	1893	13	1897	f			\N
130	2288	104	2016-03-22	1	form	1	1860s	f			\N
131	2288	40	2016-03-22	Special (Board of Elections), 1	1937	Special (Board of Elections), 2	2008	f			\N
133	2288	95	2015-09-29					f	I did a quick check of the plan index for any plans for the Boroughs of Castle Shannon, Green Tree, or Union. I also checked to see if there were any plans for Wabash Heights (Christian Lampe) or James McGinnis(s). Other than the plan for McGinnis that I found in another ward, I did not find any plans for the above. Also, I checked the charters for the Boroughs of Castle Shannon and Green Tree, and did not see any plans included.		\N
134	2288	15	2015-09-29	N-P	1788	Q-R	1788	f			\N
135	2288	63	2015-09-26	4, p. 30 (1905-03-28)	1905	4, p. 187 (1907-01-07)	1907	f	Nothing found regarding any township becoming first class township.		\N
136	2288	63	2015-09-26	6, p. 342 (1917-06-01)	1917	6, p. 475 (1918-01-08)	1918	f	Nothing found regarding Leet becoming first class township.		\N
137	2288	63	2015-09-26	5	1910	5	1914	f	Just skimmed through index and tried to get relevant proclamation(s).		\N
138	2288	63	2015-09-26	12	1929	12	1931	f	Just skimmed through index and tried to get relevant proclamation(s).		\N
139	2288	63	2015-09-26	8	1920	8	1923	f	Just skimmed through index and tried to get relevant proclamation(s).		\N
140	2288	63	2015-09-26	3, p. 59 (1899-04-13)	1899	3, p. 173 (1902-12-29)	1902	f			\N
141	2288	40	2015-09-25	Special QS	1931	Special QS	1931	f			\N
142	2288	67	2015-09-25	26	1926	29	1932	f			\N
143	2288	67	2018-06-11	25	1924	25	1926	f			\N
144	2288	67	2015-09-25	19	1909	24	1924	f			\N
145	2288	67	2015-09-25	14	1897	17	1905	f			\N
147	2288	67	2015-09-23	78	1970	79	1972	f	Docket 79 is also labeled 77; however, it follows 78 chronologically. There is not another docket numbered 77.		\N
149	2288	67	2018-06-11	41	1941	41	1941	f	Nothing relevant found.		\N
151	2288	67	2015-09-23	54	1951	75	1969	f			\N
152	2288	67	2015-09-23	42	1941	52	1950	f			\N
153	2288	67	2015-09-23	39	1940	40	1941	f			\N
154	2288	67	2015-09-23	31	1934	37	1939	f			\N
155	2288	63	2015-09-26	18	1937	18	1937	f	Just skimmed through index and tried to find annexations and information regarding Westmoreland County boundary.		\N
156	2288	67	2015-09-23	18	1906	18	1908	f			\N
158	2288	79	2015-06-20					f	"Petitions to the Board of Elections or Elections Division, if on file with the Board of Elections or Elections Division, relating to a referendum held on or about May 16, 1989, to annex territory from West Deer Township to Richland Township. ALSO, if not attached to the petitions but on file with the Board of Elections or Elections Division, any legal/deed descriptions and maps/plans/surveys relating to the referendum. ALSO, any returns of election, including a copy of the page with the final certification date, relating to the referendum."		\N
159	2288	15	2014-05-07	A-C	1788	D-F	1980	f			\N
160	2288	15	2014-05-06					f	Labeled "1 Index to Charters" and stops with Charter Book 46.		\N
162	2288	15	2014-05-06		1980		1988	f			\N
163	2288	13	2014-05-09	Boroughs		Boroughs		f	card index		\N
164	2288	13	2014-05-09	Cities		Cities		f	card index		\N
165	2288	13	2014-05-09	Townships (A)		Townships (N Fay)		f	card index		\N
166	2288	13	2014-05-09	Townships (Wilkins)		Townships (Wilkins)		f	card index		\N
168	2288	56	2014-05-07					f			\N
169	2288	15	2014-09-17	G-J	1788	K-M	1980	f			\N
170	2288	13	2014-09-17	Townships (N Vrsl)		Townships (W Deer)		f	card index		\N
172	2288	102	2015-03-18	3	1843	3	1848	f			\N
173	2288	106	2015-03-18	Mutilated-Illegible		1788		f			\N
174	2288	111	2015-03-18	8, p. 343	1839	9, p. 100	1840	f			\N
175	2288	111	2015-03-18	1814-1817	1814	1814-1817	1821	f	Although this volume is labeled 1814-1817, goes to 1821. Is likely actually Minute Book 3. Is almost entirely criminal, although there are tavern licenses and other miscellaneous notes in the very back of the book.		\N
176	2288	15	2015-03-18	S	1788	W-Z	1980	f			\N
177	2289	109	2017-05-24	8	1850	9	1863	f	Went through page by page.		\N
178	2289	109	2015-09-30	10	1863	21	1893	f	I verified Docket 22 starts at the same time as the first "In Re" Docket. Went through Dockets 10 and 11 page by page.		\N
179	2289	67	2015-09-30	1	1894	19	1994	f	Most of these dockets are just labeled "Quarter Sessions Dockets," although they are different than the criminal-focused Quarter Sessions Dockets. WPA sources call these "In Re" Dockets. The most recent docket is labeled Miscellaneous. For Dockets 18-19, there are a large number of ordinances filed after 1975 -- these were not examined individually, as the index did not show any of those as being concerning boundaries.		\N
180	2289	104	2015-09-30	1	form	2	comp	f			\N
181	2289	102	2015-09-30	F	1876	L	comp	f	Only 1 relevant case found.		\N
182	2289	15	2015-09-30	1	1890	9	1984	f			\N
184	2290	106	2017-05-25	1804	1804	1805	1805	f			\N
187	2290	73	2016-03-15	6	1908	6	1910	f			\N
188	2290	67	2016-03-15	39	1967	40	1973	f	Nothing relevant found in Docket 39.		\N
190	2290	102	2016-03-15	17	1968	17	1996	f			\N
192	2290	37	2016-03-05	1800-1918	1800	1800-1918	1918	f	Corporations		\N
193	2290	38	2016-03-05	1800-1918	1800	1800-1918	1918	f	Corporations		\N
194	2290	67	2016-03-15	1	1876	1	1892	f			\N
197	2290	78	2015-09-07					f	"Minute books for the Board of County Commissioners of Beaver County for the following time periods: 1899-1904; 1920-1922; & December 1930."		\N
198	2290	104	2014-06-08					f			\N
200	2290	67	2016-03-15	7	1910	19	1927	f	Nothing relevant found in Dockets 17 and 18.		\N
201	2290	67	2015-09-28	42	1976	48	comp	f	Nothing relevant except in Docket 44.		\N
202	2290	67	2015-09-28	34	1953	37	1964	f			\N
203	2290	67	2015-09-28	29	1940	29	1941	f			\N
204	2290	67	2015-09-28	23	1930	23	1931	f			\N
205	2290	67	2015-09-28	20	1927	20	1928	f			\N
206	2290	102	2015-09-28	18	1997	18	comp	f			\N
207	2290	67	2015-09-29	25	1934	28	1940	f	Nothing relevant found in Dockets 26-28.		\N
208	2290	67	2015-09-29	21	1928	22	1930	f			\N
209	2290	67	2015-09-29	24	1932	24	1933	f	Nothing relevant found.		\N
210	2290	67	2015-09-29	38	1964	38	1966	f	Nothing relevant found.		\N
211	2290	67	2015-09-29	30	1942	33	1952	f	Nothing relevant found in Dockets 30 and 32.		\N
213	2290	110	2017-05-22	3?	1826	8	1882	f	Went through extant microfilm. Very incomplete -- many fiche missing.		\N
214	2290	67	2017-05-22	2	1892	6	1910	f			\N
217	2290	102	2017-05-22	2	1844	3, p. 469	1870	f			\N
218	2290	41	2017-05-22					f	I examined the returns for 1837 through 1840 in Sessions Docket 3, no indication of any elections for Mount Jackson.		\N
219	2290	102	2017-05-25	6	1902	16	1968	f			\N
220	2290	102	2017-05-25	3, p. 470	1870	3, end	1870	f			\N
221	2291	105	2014-08-06	7	1880	8	1982	f			\N
222	2291	79	2013-04-08					f	"1. Petition by electors of Borough of Everett, excluding any pages wholly consisting of signatures of voters, to place annexation initiative on ballot for November 4, 2003 election. 2. Petition by electors of Township of West Providence, excluding any pages wholly consisting of signatures of voters, to place annexation initiative on ballot for November 4, 2003 election. 3. Results by precinct or municipality (whichever is available) for the annexation initiative conducted in the November 4, 2003 election, including page stating the date results certified [N.B.: if there is no such page stating the date results certified, then please also provide a copy of the minutes of the Board of Elections for the meeting wherein the results of the November 4, 2003 election were certified]."		\N
223	2291	64	2015-02-11	3	unk	5	1900	f			\N
224	2291	56	2014-~01-~01					f	Per memory.		\N
225	2291	109	2015-03-07	8	1866	9	1889	f			\N
226	2291	109	2015-03-07	6	1838	7	1865	f			\N
227	2291	64	2015-01-02	1	1854	2	1889	f			\N
228	2291	102	2014-08-06	1	unk	11	1997	f			\N
229	2291	37	2014-08-06	Corporations	1771	Corporations	1950	f			\N
230	2291	38	2014-08-06	Corporations	1771	Corporations	1950	f			\N
231	2291	105	2014-08-06	1831-1863	1831	1831-1863	1863	f			\N
232	2291	109	2014-08-06	12	1909	29	1975	f			\N
233	2291	24	2017-02-21	21	1950	23	1975	f	Only checked for Bedford Borough annexations. None found.		\N
235	2291	109	2016-09-21	9	1878	11	1908	f	Pulled original books.		\N
237	2292	40	2015-04-29	3	1910	6	1942	f	Special		\N
238	2292	101	2017-05-02	3	1827	5, p. 299	1863	f	Went through page by page.		\N
239	2292	15	2017-04-18					f			\N
240	2292	102	2015-02-04	4	1971	5	2005	f			\N
242	2292	56	2012-~01-~01					f			\N
243	2292	47	2017-05-02	A	1849	A	1881	f	Went through page by page. Nothing found.		\N
244	2292	102	2017-05-02	1	1856	3	1970	f	Went through page by page.		\N
245	2292	101	2015-02-04	5, p. 300	1886	9	1930	f			\N
246	2292	109	2015-04-29	5	1849	22	1900	f	There are no miscellaneous cases in Dockets 8 (1865-1872), 10-11 (1877-1883), 13-22 (1886-1900). Dockets 6-9 labeled as Minutes. Book 5 labeled as Minute Book, 1849-1852, on the book itself.		\N
247	2293	15	2014-04-11					f	I apparently skimmed through this in 2014, as I had a spreadsheet with entries from index.		\N
248	2293	71	2015-07-23					f	Skimmed through corporate indexes.		\N
249	2293	104	2014-04-11		form		comp	f			\N
250	2293	102	2014-04-11	E		F		f			\N
251	2293	93	2014-04-11	42		42		f			\N
252	2293	56	2014-~01-~01					f	Per memory.		\N
253	2293	93	2014-04-11	50		55		f			\N
254	2293	93	2014-04-11	63		64		f			\N
259	2294	110	2012-10-05	3		5		f			\N
260	2294	109	2016-09-21	7	1872	8	1884	f	Went through page by page.		\N
262	2294	102	2015-05-14	6	1901	9	1986	f			\N
263	2294	56	2015-05-14					f			\N
264	2294	110	2012-10-05	2 (A-K)	1875	2 (A-K)	1906	f			\N
265	2294	67	2015-05-14	1	1939	2	1978	f			\N
266	2294	110	2014-12-12	2 (L-Z)	1875	2 (L-Z)	1906	f			\N
268	2294	72	2016-10-19		1880		1885	f	Checked Appearance Index 5 and Adsectum Index 5 for anything regarding Borough of Rome from 1880 through 1885 (checked B, R, T). Nothing found.		\N
269	2294	79	2011-08-26					f	to the Board of Elections of Bradford County: "Annexation initiative petitions filed with the Board of Elections of Bradford County (excluding signature pages), as well as copies of those pages of the certification of results listing the results by municipality (with date of certification) for the following initiatives: 1. Canton Township to Canton Borough (for election held November 2008). 2. Troy Township to Troy Borough (for election held circa 1994, annexation approximately effective January 1, 1995)."		\N
270	2294	109	2015-03-04	16	1897	23	1907	f	Index for Docket 17 was missing "A," so went through page by page.		\N
271	2294	109	2015-02-11	11	1889	15	1897	f	Dockets 11-13 and 15 had index booklets. Went through Docket 14 page by page.		\N
272	2294	15	2015-05-14	1	1842	1	1984	f			\N
273	2294	109	2015-03-04	6	1863	6	1872	f	Went through Docket 6 page by page.		\N
274	2294	109	2016-09-21	10	1887	10	1889	f	Docket 10 had an index booklet.		\N
279	2295	67	2016-02-04	37	1962	44	1967	f			\N
280	2295	67	2016-01-28	31	1956	36	1962	f	These books are roughly in sequential case number order; however, the case was only placed in the docket once the case was finalized.		\N
281	2295	67	2016-11-26	2	1883	2	1891	f	Went through page by page.		\N
282	2295	67	2012-08-~01	1	1866	1	1881	f	Based on saved spreadsheet.		\N
284	2295	35	2016-11-26	1852-1858	1852	1852-1858	1858	f	Verified is almost entirely criminal, although there are orders for rules of court.		\N
285	2295	109	2016-11-26	7	1853	10	1890	f	These are Road Dockets in all but name. Went through page by page.		\N
286	2295	67	2013-~01-~01	14	1910s	26	1940s	f			\N
287	2295	56	2012-~01-~01					f			\N
288	2295	81	2009-10-15					f	"Any notices filed with the Office of the County Commissioners concerning annexations of territory to the Borough of Telford effected by the following Borough Ordinances: #21 (of May 4, 1916), #84 (of Aug. 5, 1957) and #122 (of June 1, 1964). [SEE BACK OF FORM] In 1916, notice of such was required, per the Act of May 14, 1915 (P.L. 312) a/k/a the General Borough Act, namely Chapter III, Article I, Section 19 (under 'By Annexation on Petition to Council'). Reference of such may also be found in p. 27 of Bulletin No. 19 of the PA LRB: 'The Borough Law,' by Fertig + Welsh (1918). Whether such notice was required for the others by Act of Assembly is unknown."		\N
290	2295	81	2009-11-10					f	amended: "Any notices filed with the Office of the County Commissioners concerning annexation of territory to the Borough of Telford effected by the following Borough Ordinance: #21 (of May 4, 1916). [SEE BACK OF FORM] In 1916, notice of such was required, per the Act of May 14, 1915 (P.L. 312) a/k/a the General Borough Act, namely Chapter III, Article I, Section 19 (under 'By Annexation on Petition to Council'). Reference of such may also be found in p. 27 of Bulletin No. 19 of the PA LRB: 'The Borough Law,' by Fertig + Welsh (1918)."		\N
291	2295	38	2010-07-10	-1919	form	-1919	1919	f			\N
292	2295	67	2015-11-14	4	1892	11	1913	f	Went through page by page.		\N
293	2295	74	2015-11-14	1557	1881	1573	1881	f			\N
294	2295	74	2015-11-14	1657	1886	2742	1904	f			\N
295	2295	74	2015-11-14	1407	1876	1459	1877	f			\N
296	2295	74	2015-11-14	1463	1878	1478	1870s	f			\N
297	2296	67	2016-03-16	1	1883	6	1902	f	Went through Docket 1 page by page. This docket commenced concurrently with B.T.S. Dockets. Nothing found in Dockets 2-4.		\N
298	2296	12	2015-01-13	1	1883	7	2000s	f	Went through indexes and page by page for dockets 1 through 6. Dockets 3 and 4 almost wholly consist of indebtedness and millage approval proceedings.		\N
299	2296	109	2016-03-16	14	1881	14	1886	f	Went through Docket 14 page by page. After 1884, there is nothing of a miscellaneous nature other than some constable returns.		\N
300	2296	63	2016-03-16	Planning Commission, 1979	1979	Planning Commission, 1979	1979	f			\N
301	2296	38	2016-03-16	1800-1925	1800	1800-1925	1925	f			\N
302	2296	79	2016-03-02					f	"Records listed on Page 2 of the Request. 1. Minutes of the Board of Commissioners of Butler County for the years 1921, 1950-1952, 1979, and 1990-1992. 2. If maintained separately from the above, minutes for the following for the year 1979 only: a. Board of Elections of Butler County; b. Board of Assessment Appeals of Butler County; and c. Butler County Planning Commission. 3. Certification by the Governor believed to have been issued on or about September 11, 1951, elevating the County of Butler from a county of the sixth class to a county of the fifth class. 4. Certification by the Governor believed to have been issued on or about February 14, 1991, elevating the County of Butler from a county of the fifth class to a county of the fourth class. 5. If found in the same vicinity as items 3 or 4 but not affixed to either item, any cover sheets or receipts evidencing the items' recording in the Office of the Recorder of Deeds of Butler County. N.B.: With respect to items 3 and 4, I am looking for the original version that would be on file with the Chief Clerk of Butler County. These certifications would have the Governor's signature with a prominent gold seal. I have noticed in several other counties and municipalities that similar certifications are often hanging on the wall in a prominent location."		\N
303	2296	67	2017-05-26	13	1917	23	1969	f			\N
304	2296	67	2017-05-23	7	1902	12	1916	f			\N
305	2296	109	2017-05-26	3	1839	13	1881	f	Went through page by page.		\N
307	2296	67	2016-03-16	24	1970	25	1995	f			\N
309	2296	79	2015-06-20					f	"Petitions to the Board of Elections, if on file with the Board of Elections, relating to a referendum held on or about May 15, 1979, to annex territory from Slippery Rock Township to the Borough of Slippery Rock. ALSO, if not attached to the petitions but on file with the Board of Elections, any legal/deed descriptions and maps/plans/surveys relating to the referendum. ALSO, any returns of election, including a copy of the page with the final certification date, relating to the referendum."		\N
311	2296	104	2016-03-16					f	I skimmed through a large number of townships and boroughs, and did not see any cases related to boundaries.		\N
312	2296	63	2016-03-16	1976-1979, p. 299 (1979-02-15)	1979	1979-1983, p. 87 (1980-01-10)	1979	f			\N
313	2296	56	2016-03-16					f			\N
314	2297	109	2014-04-10	43	1928	48	unk	f			\N
315	2297	109	2016-05-12	16	1904	23	1913	f	For Book 23, did not go through index since already done in 2015.		\N
316	2297	63	2015-02-28	1913-07-01 (p. 322)	1913	1914-09-14 (p. 400)	1914	f			\N
317	2297	15	2014-05-05	1804-1985	1804	1804-1985	1985	f			\N
318	2297	70	2014-05-05	1804-1966	1804	1967-	comp	f			\N
319	2297	63	2015-02-28	1910-10-03 (p. 99)	1910	1911-10-09 (p. 150)	1911	f			\N
320	2297	109	2014-04-10	53	unk	58	1941	f			\N
321	2297	109	2014-05-05	52		52		f			\N
