eventtypeid	eventtypelong	eventtypeshort	eventtypeborders	eventtypeinclude	eventtypecreate	eventtypegroup
68	The charter of a government is amended with respect to the ability to alter its territory in a delimited tract.	Charter Amendment (Annexation-Specific)	yes	t	n	Form
69	The charter of a government is amended with respect to the ability to alter its territory, without delimiting the tract involved.	Charter Amendment (Annexation-General)	yes	t	n	Form
70	The charter of a government is amended to require or permit the adoption of an official plat or boundary description.	Charter Amendment (Plat Recording)	yes	t	n	Form
71	The name of an unincorporated place is changed.	Unincorporated Place Name	no	t	n	Name
72	A new government is created or an existing government is reorganized as a state, either in name or form of government.	New State	yesstate	t	y	Creation
73	A new government is created or an existing government is reorganized as a plantation, either in name or form of government.	New Plantation	yes	t	t	Creation
74	A new government is created or an existing government is reorganized as a district, either in name or form of government, that is not immediately below the national government.	New District	yes	t	t	Creation
77	A new government is created or an existing government is reorganized as a province, either in name or form of government.	New Province	yesstate	t	y	Creation
78	A new government is created or an existing government is reorganized as a municipality, either in name or form of government.	New Municipality	yes	t	t	Creation
79	A new government is created or an existing government is reorganized as a department, either in name or form of government.	New Department	yescounty	t	y	Creation
80	A new government is created or an existing government is reorganized as a region, either in name or form of government.	New Region	yesstate	t	y	Creation
81	The territory of the unincorporated growth area of a government is altered, without altering the territory of the government itself.	Growth Area	no	f	n	Form
82	An existing city is classified or reorganized as a different class of city.	City Classification	structure	t	t	Classification
83	A new government is created or an existing government is reorganized as a metro township, either in name or form of government.	New Metro Township	yes	t	y	Creation
84	An existing township is classified or reorganized as a different class of township.	Township Classification	structure	t	y	Classification
85	A new government is created or an existing government is reorganized as a territory, either in name or form of government.	New Territory	yesstate	t	y	Creation
86	An existing government becomes dependent on another government, or ceases to possess the powers of another government.	Subordination	yes	t	s	Level
87	An existing government is reorganized under a special charter granted by a sovereign.	Special Charter	structure	t	y	Form
89	A new school district is created.	New School District	part	t	n	School
90	A school district is dissolved, with or without its territory being attached to one or more existing school districts.	School District Dissolution	part	t	n	School
91	The territory of a school district is increased, with all involved school districts retaining their forms of government.	School District Annexation	part	t	n	School
92	Indigenous title is extinguished by or in favor of another sovereign state.	Tribal Land Cession	structure	t	n	Boundaries
93	The territory of a government is increased for a limited time or under other agreed jurisdictional limitations, with all involved governments retaining their forms of government.	Conditional Annexation	yes	t	c	Boundaries
94	Territory attached for a limited time or under other agreed jurisdictional limitations to a government reverts to its former government, with all involved governments retaining their forms of government.	Conditional Reversion	yes	t	c	Boundaries
95	Territory reverts to its former school district, with all involved school districts retaining their forms of government.	School District Reversion	part	t	n	School
96	A new government is created or an existing government is reorganized as a magisterial district, either in name or form of government.	New Magisterial District	ignore	t	n	Other
97	An existing county becomes independent from another county.	Separation (County)	yescounty	t	y	Level
99	A new government is created or an existing government is reorganized as a district, either in name or form of government, that is immediately below the national government.	New Federal District	yesstate	t	y	Creation
100	A new government is created or an existing government is reorganized as a precinct, either in name or form of government.	New Precinct	yes	t	t	Creation
101	A new government is created or an existing government is reorganized as a hamlet, either in name or form of government.	New Hamlet	yes	t	t	Creation
102	An existing town is reorganized as a suburban town.	Suburban Town	structure	t	y	Form
103	An existing school district is classified or reorganized as a different class of school district.	School District Classification	structure	t	n	School
105	Preclearance requirements under Section 5 of the Voting Rights Act of 1965 are commenced for a government.	Voting Rights Act Preclearance Inclusion	structure	f	n	Voting Rights
106	Limited preclearance requirements by court order under Section 3 of the Voting Rights Act of 1965 are commenced for a government.	Voting Rights Act Conditional Inclusion	structure	f	n	Voting Rights
107	Preclearance requirements under Sections 3 or 5 of the Voting Rights Act of 1965 are ended for a government.	Voting Rights Act Preclearance Exclusion	structure	f	n	Voting Rights
108	An existing municipality is reorganized under the selectman-manager form.	Selectman-Manager Form	structure	t	y	Form
109	An existing municipality is reorganized under the selectman-administrator form.	Selectman-Administrator Form	structure	t	y	Form
110	One or more parishes are created, altered, or dissolved.	Parishes	ignore	f	n	Other
111	Title is extinguished by or in favor of another sovereign state.	State Land Cession	structure	t	n	Boundaries
112	An existing government loses its form of government and powers, but remains in existence solely as a geographic unit.	Inactive Form	structure	t	n	Form
113	An existing county is reorganized with home rule powers without a charter.	Code County	structurecounty	t	y	Form
114	The charter of a county is amended.	Charter Amendment (County)	yescounty	t	y	Form
115	The charter of a government is amended with respect to the ability to create a new village within its territory.	Charter Amendment (New Village)	yes	t	n	Form
116	The charter of a government is amended with respect to the conduct of elections.	Charter Amendment (Elections)	structure	t	n	Form
117	The event type is a placeholder for an event record that acts as a placeholder, and does not describe an actual geohistory event.	Non-Event	ignore	f	n	Placeholder
