sourcecitationnoteid	sourcecitation	sourcecitationnotegroup	sourcecitationnotetype	sourcecitationnotetext
89	45	\N	550	11. Part taken to form Westview borough in 1905 and part annexed to Bellevue borough in 1907.
91	46	\N	550	12. Incorporated form part of Lower St. Clair township in 1904.
93	47	\N	550	13. Part taken to form Dormont borough in 1909 and part annexed to Carnegie borough in 1908.
95	48	\N	550	14. Organized from parts of Aleppo, Leet, Ohio, and Sewickley townships in 1903.
97	49	\N	550	15. Part annexed to Allegheny city in 1900.
99	50	\N	550	16. Incorporated from part of Springdale township in 1906. 
101	51	\N	550	17. Parts taken to form Cheswick and Springdale boroughs in 1902 and 1906, respectively.
103	52	\N	550	18. Part taken to form Kennedy township in 1902 and part annexed to McKees Rocks borough in 1907.
105	53	\N	550	19. Not returned separately.
107	54	\N	550	20. Incorporated from parts of North Huntingdon and Penn townships, Westmoreland County, in 1904; parts of North Versailles and Patton townships, Allegheny County, annexed in 1905.
109	55	\N	550	21. Part annexed to Pittsburgh city in 1909.
111	56	\N	550	22. Part taken to form Bridgeville borough in 1901.
113	57	\N	550	23. Parts annexed to McKeesport city in 1901, 1903, and 1904.
115	58	\N	550	24. Incorporated from part of North Versailles township in 1904.
117	59	\N	550	25. Incorporated from part of Mifflin township In 1900.
119	60	\N	550	26. Incorporated from part of Ross township in 1905.
121	61	\N	550	27. Incorporated from part of Mifflin township in 1904.
123	62	\N	550	28. Parts annexed to Wilkinsburg borough in 1903, 1904, 1907, and 1908.
125	63	\N	550	29. Parts of Wilkins township annexed in 1903, 1904, 1907, and 1908 and parts of Braddock township annexed in 1903 and 1907.
127	64	\N	550	30. Incorporated from part of Jefferson township in 1907.
129	65	\N	550	31. Rural Valley borough incorporated from part of Cowanshannock township in 1900.
131	66	\N	550	32. West Kittanning borough incorporated from part of East Franklin township in 1900.
133	67	\N	550	33. Johnetta borough incorporated from part of Gilpin township in 1904.
137	69	\N	550	35. Wickboro borough incorporated from part of Rayburn township in 1900.
139	70	\N	550	1. County total includes population (411) of St. Clair borough, annexed to Freedom borough between 1890 and 1900.
141	71	\N	550	2. Ambridge borough incorporated from part of Harmony township in 1905. 
143	72	\N	550	3. Conway borough incorporated from part of Economy township in 1902. 
145	73	\N	550	4. East Rochester borough incorporated from part of Rochester township in 1908.
147	74	\N	550	5. Woodlawn and South Heights boroughs incorporated from parts or Hopewell township in 1908 and 1910, respectively.
149	75	\N	550	6. Midland borough incorporated from part of Industry township in 1906.
151	76	\N	550	7. County total includes population (1,691) of Alsace and Lower Alsace townships, not returned separately in 1890.
153	77	\N	550	8. Part taken to form West Leesport borough in 1901.
155	78	\N	550	9. Parts taken to form Mohnton and Shillington boroughs in 1907 and 1908, respectively.
157	79	\N	550	10. Part of Maxatawny township annexed to Kutztown borough in 1909. 
159	80	\N	550	11. Mount Penn borough incorporated from part of Lower Alsace township on 1902. 
161	81	\N	550	12. Incorporated from part of Cumru township In 1907.
163	82	\N	550	1. Incorporated from part of Cumru township in 1908.
165	83	\N	550	2. Wyomissing and West Reading boroughs incorporated from parts of Spring township in 1906 and 1907, respectively.
167	84	\N	550	3. Incorporated from part of Bern township in 1901.
169	85	\N	550	4. County total includes population (435) of East Tyrone borough, annexed to Tyrone borough between 1890 and 1900.
171	86	\N	550	5. Parts of Logan township annexed to Altoona city in 1902, 1904, 1905, and 1906. 
173	87	\N	550	6. Chalfont borough incorporated from part of New Britain township in 1902.
175	88	\N	547	In 1872, part to Cook.
177	89	\N	550	7. Part of Doylestown township annexed to Doylestown borough in 1908.
179	90	\N	550	8. Incorporated from part of Warminster township in 1904.
181	91	\N	549	1. Includes population (1,937) of Kendall borough.
183	92	\N	550	9. Part taken to form Trumbauersville borough in 1908.
185	93	\N	550	1. Incorporated from part of Milford township in 1908.
187	94	\N	550	5. Name changed from Lockport in 1903.
189	95	\N	550	2. Part taken to form Ivyland borough in 1904.
191	96	\N	550	3. County total includes population (1,083) of Harrisville borough and Mercer township, not returned separately in 1890.
193	97	\N	550	4. Callery borough incorporated from part of Adams township in 1906.
195	98	\N	550	5. West Liberty borough incorporated from part of Brady township in 1903.
197	99	\N	550	6. Bruin and Eau Claire boroughs incorporated from parts of Parker township in 1901. 
199	100	\N	550	7. Cherry Valley borough incorporated from part of Venango township in 1909.
203	102	\N	550	9. County total includes population (808) of Roxbury borough, annexed to Johnstown city since 1900. 
205	103	\N	550	10. County total includes population (619) of Coopersdale borough, annexed to Johnstown city between 1890 and 1900.
207	104	\N	550	11. Part taken to form part of Vintondale borough in 1907.
209	105	\N	550	12. Incorporated from part of Lower Yoder township in 1908. 
211	106	\N	550	13. Incorporated from part of Washington township in 1908. 
213	107	\N	550	14. Cresson and Sankertown boroughs incorporated from parts of Cresson township in 1906.
215	108	\N	550	15. Roxbury borough annexed in 1901, parts of Lower and Upper Yoder townships annexed in 1900, and part of Stonycreek township annexed in 1907; part annexed to Upper Yoder township in 1901.
217	109	\N	550	16. Part taken to form Brownstown borough in 1908 and part annexed to Johnstown city in 1900.
219	110	\N	550	17. Organized from part of West Taylor township in 1908. 
221	111	\N	550	18. Part annexed to Johnstown city in 1907.
223	112	\N	550	1. Part annexed to Johnstown city in 1900; part of Johnstown city annexed in 1901.
225	113	\N	550	2. Incorporated from parts of Blacklick and Jackson townships in 1907.
227	114	\N	550	3. Part taken to form Cassandra borough in 1908.
229	115	\N	550	4. Part taken to form Middle Taylor township in 1908.
231	116	\N	550	5. Snow Shoe borough incorporated from part of Snow Shoe township in 1907.
233	117	\N	550	1. Name changed from West Millville in 1903.
235	118	\N	550	2. County total includes population (621) of West Clearfield borough, annexed to Clearfield borough between 1890 and 1900.
237	119	\N	550	3. Avis borough incorporated from part of Pine Creek township in 1908.
239	120	\N	550	4. West Berwick borough incorporated from part of Briar Creek township in 1902.
241	121	\N	550	5. County totals include population (533 in 1900; 548 in 1890) of Vallonia borough, annexed to Meadville city since 1900; and population (2,616 in 1890) of Mead township, taken to form East and West Mead townships between 1890 and 1900.
243	122	\N	550	1. Vallonia borough annexed in 1904.
245	123	\N	550	2. County total includes population (1,388) of Mifflin township, taken to form Lower and Upper Mifflin townships between 1890 and 1900.
247	124	\N	550	3. Wormleysburg borough incorporated from part of East Pennsboro township in 1908.
249	125	\N	550	4. Lemoyne borough incorporated from part of Lower Allen township in 1907.
255	128	\N	550	7. Parts of Susquehanna township annexed in 1907, 1908, and 1910 and part of Swatara township annexed in 1910.
257	129	\N	550	8. Incorporated from part of Lower Swatara township in 1903.
259	130	\N	550	9. Part taken to form Highspire borough and part annexed to Steelton borough in 1903.
261	131	\N	550	10. Part of Lower Swatara township annexed in 1903 and parts of Swatara township annexed in 1903, 1904, and 1909.
263	132	\N	550	11. Parts annexed to Harrisburg city in 1907, 1908, and 1910.
265	133	\N	547	In 1870, incl. Hummelstown borough.
267	134	\N	550	12. Parts annexed to Steelton borough in 1903, 1904, and 1909 and part annexed to Harrisburg city in 1910.
269	135	\N	550	13. County total includes population (7,076) of South Chester borough, annexed to Chester city between 1890 and 1900; and population (4,529) of Eddystone and Ridley Park boroughs and Ridley township, not returned separately In 1890.
271	136	\N	550	1. Not returned separately in 1890.
273	137	\N	550	2. Millbourne borough incorporated from part of Upper Darby township in 1909.
275	138	\N	550	3. Returned as Springfield in 1900.
277	139	\N	550	4. Part of Millcreek township annexed to Erie city in 1907.
279	140	\N	550	6. County totals include population (1,532 in 1900; 1,221 in 1890) of New Haven borough, annexed to Connellsville borough since 1900.
281	141	\N	550	7. New Haven borough annexed in 1909.
283	142	\N	550	8. Vanderbilt borough incorporated from part of Dunbar township in 1904.
285	143	\N	550	9. Everson borough incorporated from part of Upper Tyrone township in 1903.
287	144	\N	550	10. Name changed from Bridgeport in 1908.
289	145	\N	550	11. Parts of Guilford township annexed in 1902 and 1903 and part of Hamilton township annexed in 1908.
291	146	\N	550	1. Parts annexed to Chambersburg borough in 1902 and 1903.
293	147	\N	550	2. Part annexed to Chambersburg borough in 1908.
295	148	\N	550	3. Mercersburg borough returned wIth Montgomery township in 1900, now independent. 
297	149	\N	550	4. Exclusive of population of Mercersburg borough.
299	150	\N	550	6. East Waynesburg borough incorporated from part of Franklin township in 1901. 
301	151	\N	550	7. Rices Landing borough incorporated from part of Jefferson township in 1903.
303	152	\N	550	8. Mill Creek borough incorporated from part of Brady township in 1905.
305	153	\N	550	9. Wood township organized from part of Carbon township in 1905.
307	154	\N	550	10. County total includes population (1,634) of West Indiana borough, annexed to Indiana borough between 1890 and 1900.
309	155	\N	550	11. Clymer borough incorporated from part of Cherryhill township in 1908.
311	156	\N	550	12. Creekside borough incorporated from part of Washington township in 1905.
313	157	\N	550	13. Plumville borough incorporated from part of South Mahoning township in 1909
315	158	\N	550	14. Incorporated from part of Washington township in 1900.
317	159	\N	550	1. Name changed from Punxsutawney in 1907. Clayville borough annexed in 1907.
319	160	\N	550	2. Includes population (2,371 in 1900; 1,402 in 1890) of Clayville borough.
321	161	\N	550	3. Sykesville borough incorporated from part of Winslow township in 1902.
323	162	\N	550	4. Part taken to form Falls Creek borough in 1900. 
325	163	\N	550	5. County totals include population (45 in 1900; 4,422 in 1890) of Old Forge township, annexed to Taylor borough since 1900.
327	164	\N	550	6. Parts annexed to Taylor borough and Scranton city in 1901 and 1904, respectively.
329	165	\N	550	7. Moscow borough incorporated from part of Madison township in 1908. 
331	166	\N	550	8. Part of Lackawanna township annexed in 1904.
333	167	\N	550	9. Old Forge township annexed in 1903 and part of Lackawanna township annexed in 1901.
335	168	\N	550	10. Part of West Hempfield township annexed in 1904. 
337	169	\N	550	11. Denver borough incorporated from part of East Cocalico township in 1900.
339	170	\N	550	12. Part taken to form Terre Hill borough in 1907.
343	172	\N	550	2. Incorporated from part of West Hempfield township in 1906.
345	173	\N	550	3. Incorporated from part of East Earl township in 1907.
347	174	\N	550	4. Part taken to form Mountville borough in 1906 and part annexed to Columbia borough in 1904.
349	175	\N	550	5. County total includes population (1,761) of West New Castle borough, annexed to New Castle city between 1890 and 1900.
351	176	\N	550	5. Part taken to form part of Houston borough in 1901.
353	177	\N	550	6. Hazel Dell borough incorporated from part of Wayne township in 1901.
355	178	\N	550	7. Part of Neshannock township annexed to New Castle city in 1906.
357	179	\N	550	8. South New Castle borough incorporated from part of Shenango township in 1901.
359	180	\N	550	9. County total includes population (2,679) of Londonderry township, taken to form North and South Londonderry townships between 1890 and 1900.
361	181	\N	550	10. Annville township organized from parts of North and South Annville townships in 1909.
363	182	\N	550	11. Richland borough incorporated from part of Millcreek township in 1906.
365	183	\N	550	12. Parts of South Whitehall township annexed in 1901, 1904, 1907, and 1908 and parts of Salisbury township annexed in 1906, 1907, and 1908.
367	184	\N	550	13. Formerly West Bethlehem borough; annexed to Bethlehem borough in 1904.
369	185	\N	550	Incorporated in 1900.
371	186	\N	550	14. Part of Hanover township annexed to Catasauqua borough in 1909.
373	187	\N	550	15. Part taken to form South Allentown borough in 1909 and parts annexed to Allentown city in 1906, 1907, and 1908.
375	188	\N	550	1. Incorporated from part of Salisbury township in 1909.
377	189	\N	550	2. Parts annexed to Allentown city in 1901, 1904, 1907, and 1908.
379	190	\N	550	3. County total includes population (5,541 in 1900; 2,904 in 1890) of Marcy township, incorporated as Duryea borough since 1900.
381	191	\N	550	4. Conyngham borough incorporated from part of Sugarloaf township in 1900.
385	193	\N	550	6. Formerly Marcy township; incorporated as a borough in 1901.
387	194	\N	550	7. Part of Plymouth township annexed in 1908.
389	195	\N	550	8. Parts of Hazel township annexed to Hazleton city in 1901 and 1909. 
391	196	\N	550	9. Pringle township organized from part of Kingston township in 1905.
393	197	\N	550	10. Incorporated from part of Plymouth township in 1909.
395	198	\N	550	11. Incorporated from part of Wright township in 1908.
397	199	\N	550	12. Part of Plains township annexed to Parsons borough in 1906.
399	200	\N	550	13. Part taken to form Larksville borough in 1909 and part annexed to Edwardsville borough in 1908.
401	201	\N	550	1. Part taken to form Nuangola borough in 1908.
403	202	\N	550	2. Returned as Yates in 1900.
405	203	\N	550	3. County total includes population (1,937) of Kendall borough, annexed to Bradford city between 1890 and 1900.
407	204	\N	550	4. County totals include population (107 in 1900; 81 in 1890) of Bethel borough, annexed to Hickory township since 1900; and population (2,095 in 1890) of Clarksville borough and Pymatuning township, not returned separately.
411	206	\N	550	6. Part taken to form South Sharon borough in 1901 and part annexed to Sharon borough in 1902; Bethel borough annexed in 1903.
413	207	\N	550	7. Part of Hickory township annexed in 1902.
415	208	\N	550	1. Incorporated from part of Hickory township in 1901.
417	209	\N	550	2. Part of Derry township annexed to Lewistown borough in 1901.
419	210	\N	550	3. County totals include population (1,177 in 1900; 1,236 in 1890) of Norriton township, part annexed to Norristown borough and parts taken to form East and West Norriton townships, since 1900; population (1,885 in 1890) of Lower, Upper, and West Pottsgrove townships, returned as Pottsgrove township in 1890; and population (2,367 in 1890) of Gwynedd township, taken to form Lower and Upper Gwynedd townships between 1890 and 1900.
421	211	\N	550	4. Organized from part of Norriton township in 1909.
423	212	\N	550	5. Not returned separately in 1890.
425	213	\N	550	6. Part of Norriton township annexed in 1908.
427	214	\N	550	7. Schwenksville borough incorporated from part of Perkiomen township in 1903.
429	215	\N	550	8. Red Hill borough incorporated from part of Upper Hanover township in 1902.
431	216	\N	550	1. County total includes population (5,616) of South Easton borough, annexed to Easton city between 1890 and 1900.
433	217	\N	550	2. Parts taken to form Northampton and North Catasauqua boroughs in 1902 and 1907, respectively.
435	218	\N	550	3. West Bethlehem borough annexed in 1904.
437	219	\N	547	In 1870, incl. Curllsville borough.
439	220	\N	550	4. Parts of Forks township annexed in 1902 and 1908 and part or Williams township annexed in 1909.
441	221	\N	547	In 1870, incl. in Halifax township.
443	222	\N	550	5. Part taken to form Stockertown borough in 1900 and parts annexed to Easton city in 1902 and 1908.
445	223	\N	550	6. Walnutport borough incorporated from part of Lehigh township in 1909.
447	224	\N	550	7. Northampton Heights borough incorporated from part of Lower Saucon township in 1901.
449	225	\N	550	8. Incorporated from part of Allen township in 1907.
451	226	\N	550	9. Incorporated as Alliance borough from part of Allen township in 1902. Name changed in 1909.
453	227	\N	550	10. Incorporated from part of Forks township in 1900. 
455	228	\N	550	11. Part annexed to Easton city in 1900. 
457	229	\N	550	12. County total includes population (1,034) of Cameron township, taken to form East and West Cameron townships; and population (1,607) of Chillisquaque township, taken to form East and West Chillisquaque townships, between 1890 and 1900.
459	230	\N	550	13. Herndon borough incorporated from part of Jackson township in 1902.
461	231	\N	549	9. Given as Osceola Mills in 1890.
463	232	\N	550	14. Marion Heights borough incorporated from part of Mount Carmel township in 1906.
465	233	\N	550	1. Matamoras borough incorporated from part of Westfall township in 1905.
467	234	\N	550	2. Oswayo borough incorporated from part of Oswayo township in 1901.
469	235	\N	550	3. Shingle House borough incorporated from part of Sharon township in 1902.
471	236	\N	550	4. County totals include population (1,125 in 1900; 916 in 1890) of Yorkville borough, annexed to Pottsville borough since 1900.
473	237	\N	550	5. Incorporated from part of Rahn township in 1906.
475	238	\N	550	6. Yorkville borough annexed in 1907.
477	239	\N	550	1. Part taken to form Coaldale borough in 1906.
479	240	\N	550	2. Ringtown borough incorporated from part of Union township in 1909.
481	241	\N	550	3. Boswell borough incorporated from part of Jenner township in 1904.
483	242	\N	550	4. Paint and Windber boroughs incorporated from parts of Paint township in 1900.
485	243	\N	550	5. Part of Laporte borough annexed to Laporte township in 1907.
487	244	\N	550	6. County totals include population (215 in 1900; 211 in 1890) of Roseville borough, annexed to Rutland township since 1900.
489	245	\N	550	1. Disincorporated between 1890 and 1900; reincorporated from part of Ward township in 1909.
491	246	\N	550	2. Roseville borough annexed in 1908.
495	248	\N	550	4. County totals include population (92 In 1900; 106 in 1890) of Sunville borough, annexed to Plum township since 1900; and population (1,187 in 1890) of Frenchcreek township and Polk borough, not returned separately.
497	249	\N	550	5. Not returned separately in 1890.
499	250	\N	550	6. Sunville borough annexed in 1904.
501	251	\N	550	7. Part of Pleasant township annexed to Warren borough in 1902.
503	252	\N	550	8. County total includes population (5,396) of North, South, and West Washington boroughs, annexed to Washington borough since 1900.
505	253	\N	550	9. County total includes population (1,654) of Franklin township, taken to form North and South Franklin townships and parts of South and West Washington boroughs between 1890 and 1900.
507	254	\N	550	10. Part annexed to Washington borough in 1902.
509	255	\N	550	11. Donora borough incorporated from part of Carroll township in 1901.
511	256	\N	550	12. Part of West Pike Run township annexed in 1903.
513	257	\N	550	13. Part taken to form part of Houston borough in 1901.
515	258	\N	550	14. Incorporated from parts of Somerset and West Bethlehem townships in 1906.
517	259	\N	550	15. Part annexed to West Brownsville borough in 1908.
519	260	\N	550	1. Incorporated from part of Somerset township in 1900.
521	261	\N	550	2. Incorporated from parts of Chartiers and North Strabane townships in 1901. 
523	262	\N	550	3. Incorporated from part of West Bethlehem township in 1910.
525	263	\N	550	4. Midway borough incorporated from parts of Robinson and Smith townships in 1903.
528	265	\N	550	6. Parts taken to form Ellsworth borough in 1900 and part of Cokeburg borough in 1906.
530	266	\N	550	7. Part annexed to Washington borough in 1903.
532	267	\N	550	8. South, North, and West Washington boroughs annexed in 1901, 1902, and 1907, respectively, and parts of Canton and South Strabane townships annexed in 1902 and 1903, respectively.
534	268	\N	550	9. Parts taken to form Marianna borough in 1910 and part of Cokeburg borough in 1906.
536	269	\N	550	10. Part of East Pike Run township annexed in 1908.
538	270	\N	550	11. Part annexed to Centerville borough in 1903.
540	271	\N	550	12. County totals include population (901 in 1900; 891 in 1890) of Ludwick borough and population (1,670 in 1900) of East and Southeast Greensburg boroughs annexed to Greensburg borough since 1900; and population (897 in 1890) of Bunker Hill borough annexed to Greensburg borough between 1890 and 1900.
542	272	\N	550	13. East Vandergrift borough incorporated from part of Allegheny township in 1901.
544	273	\N	550	14. Part annexed to Latrobe borough In 1906.
546	274	\N	550	15. East Greensburg, Ludwick, and Southeast Greensburg boroughs annexed in 1905.
548	275	\N	550	16. Part taken to form Youngwood borough in 1902.
550	276	\N	550	17. Parts of Derry and Unity townships annexed in 1906.
552	277	\N	550	18. McMahan borough incorporated from part of Rostraver township in 1904.
554	278	\N	550	19. Part taken to form part of Trafford borough in 1904.
556	279	\N	550	20. Part taken to form Seward borough in 1904.
558	280	\N	550	1. Incorporated from part of St. Clair township in 1904.
560	281	\N	550	2. Suterville borough incorporated from part of Sewickley township in 1902.
562	282	\N	550	3. Smithton borough incorporated from part of South Huntingdon township in 1901.
564	283	\N	550	4. Incorporated from parts of North Huntingdon and Penn townships in 1904.
566	284	\N	550	5. Part annexed to Latrobe borough in 1906.
572	287	\N	550	8. Incorporated from part of Hempfield Township in 1902.
574	288	\N	550	9. Laceyville borough incorporated from part of Braintrim township in 1902.
576	289	\N	550	10. Hallam borough incorporated from part of Hellam township in 1908.
578	290	\N	550	11. Part annexed to York city in 1900.
580	291	\N	550	12. Part taken to form West York borough in 1904 and parts annexed to York city in 1900 and 1909. 
582	292	\N	550	13. Incorporated from part of West Manchester township in 1904. 
584	293	\N	550	14. Windsor borough incorporated from part of Windsor township in 1905.
586	294	\N	550	15. Part of Spring Garden township annexed in 1900 and parts of West Manchester township annexed in 1900 and 1909.
588	295	\N	549	1. Organized from part of Chartiers township since 1890.
590	296	\N	549	2. Organized from part of Killbuck township since 1890. 
592	297	\N	549	3. Parts of Shaler township annexed to Etna and Millvale boroughs since 1890.
594	298	\N	549	4. Parts taken to form Ben Avon and Emsworth boroughs since 1890.
596	299	\N	549	5. Port Vue borough organized from part of Lincoln township since 1890.
598	300	\N	549	6. Mt. Oliver borough organized from part of Lower St. Clair township since 1890.
600	301	\N	549	7. Reynoldton borough and part of Versailles township annexed since 1890.
602	302	\N	549	8. McKees Rocks village, included in Stowe township in 1890, incorporated as a borough since 1890.
604	303	\N	549	9. Part taken to form Duquesne borough since 1890.
606	304	\N	549	10. Montooth borough organized from part of West Liberty borough since 1890.
608	305	\N	549	11. Organized from part of Braddock township since 1890.
610	306	\N	549	12. Oakdale borough organized from parts of North and South Fayette townships since 1890.
612	307	\N	549	13. Part taken to form East McKeesport borough since 1890.
614	308	\N	549	14. Part taken to form Aspinwall borough since 1890.
616	309	\N	549	15. Parts taken to form Pitcairn borough and part of Turtle Creek borough since 1890.
618	310	\N	549	16. Organized from part of Patton township since 1890.
620	311	\N	549	17. Beltzhoover borough and parts of Sterrett township and Wilkinsburg borough annexed since 1890.
622	312	\N	549	18. Parts annexed to Allegheny city since 1890.
624	313	\N	549	19. Parts annexed to Pittsburg city and Wilkinsburg borough since 1890.
626	314	\N	549	20. Exclusive of population of McKees Rocks village.
628	315	\N	549	21. Organized from parts of Patton and Wilkins townships since 1890.
630	316	\N	549	22. Organized from part of Versailles township since 1890.
632	317	\N	549	23. Part taken to form Versailles borough and part annexed to McKeesport city since 1890.
634	318	\N	549	2. Kendall borough annexed since 1890.
636	319	\N	549	24. Parts taken to form parts of East Pittsburg and Turtle Creek boroughs since 1890.
638	320	\N	549	25. Part annexed to Pittsburg city and part of Sterrett township annexed since 1890.
640	321	\N	549	26. Applewood borough organized from part of East Franklin township since 1890.
642	322	\N	549	27. Formerly in Manor township; incorporated as a borough since 1890.
644	323	\N	549	1. Arendtsville borough organized from part of Franklin township since 1890.
646	324	\N	549	2. Fairfield borough organized from part of Hamiltonban township since 1890.
648	325	\N	549	3. Includes population (8,723) of Beltzhoover, Chartiers, Mansfield, and Reynoldton boroughs; Beltzhoover annexed to Pittsburg city, Chartiers and Mansfield taken to form Carnegie borough, and Reynoldton annexed to McKeesport city.
650	326	\N	549	4. Part of Reserve township annexed since 1890.
652	327	\N	549	5. Organized from part of O'Hara township since 1890.
654	328	\N	549	6. Formerly West Bellevue.
656	329	\N	549	7. Organized from part of Kilbuck township since 1890.
658	330	\N	549	8. Part of Braddock township annexed since 1890.
660	331	\N	549	9. Part annexed to Braddock borough and parts taken to form North Braddock, Rankin, and Swissvale boroughs, and part of East Pittsburg borough since 1890.
662	332	\N	549	10. Organized from Chartiers and Mansfield boroughs since 1890.
664	333	\N	549	11. Parts taken to form Crafton, Elliott, Esplen, and Sheraden boroughs since 1890.
666	334	\N	549	12. Organized from part of Chartiers township since 1890.
668	335	\N	549	13. Organized from part of Mifflin township since 1890.
670	336	\N	549	14. Organized from part of North Versailles township since 1890.
672	337	\N	549	15. Organized from parts of Braddock and Wilkins townships since 1890.
674	338	\N	549	1. Included Ford City village in 1890.
676	339	\N	549	2. Exclusive of population of Ford City village.
678	340	\N	549	3. Rayburn township organized from part of Valley township since 1890.
680	341	\N	549	4. Includes population (411) of St. Clair borough, annexed to Freedom borough.
682	342	\N	549	5. Aliquippa borough organized from part of Hopewell township since 1890.
684	343	\N	549	6. College Hill borough organized from part of White township since 1890.
686	344	\N	549	7. Daugherty township and Eastvale borough organized from parts of North Sewickley and Pulaski townships since 1890.
688	345	\N	549	8. St. Clair borough annexed since 1890.
692	347	\N	549	10. Formerly Phillipsburg.
694	348	\N	549	11. Patterson Heights borough organized from part of Patterson township since 1890.
696	349	\N	549	12. Hopewell borough organized from part of Broadtop township since 1890.
698	350	\N	549	13. Lincoln township organized from part of Union township since 1890.
700	351	\N	549	14. Alsace and Lower Alsace townships (population 1,691) not separately returned in 1890.
702	352	\N	549	15. Organized from part of Washington township since 1890.
704	353	\N	549	1. Part taken to form Bechtelsville borough since 1890.
706	354	\N	549	2. Includes population (435) of East Tyrone borough, annexed to Tyrone borough.
708	355	\N	549	7. Organized from part of Darby township since 1890.
710	356	\N	549	3. Duncansville village, formerly in Allegheny and Blair townships, incorporated as a borough since 1890.
712	357	\N	549	4. Exclusive of population of Duncansville village.
714	358	\N	549	5. Juniata borough organized from part of Logan township since 1890.
716	359	\N	549	6. Part annexed to Tyrone borough since 1890.
718	360	\N	549	7. East Tyrone borough and part of Snyder township annexed since 1890.
