eventeffectivetypeid	eventeffectivetypegroup	eventeffectivetypequalifier
175	Grand Jury	Date Approval Issued
176	First Election	Immediately Thereafter
190	Consolidation Plan	Listed Effective Date
197	Ordinance	Date Costs of Filing with Court Paid
198	Ordinance	30 Days after Date Costs of Filing with Court Paid
199	Ordinance	Day after Election after Date Costs of Filing with Court Paid
200	Ordinance	Day after Election after Date Enacted
201	Ordinance	30 Days after Date Enacted
202	Decree for Distribution of Annexed Territory to Precincts	Date Granted
203	Ordinance	Most Probable Date Filed with Court
204	Agreement	Date Filed with Secretary of State
205	Boundary Certificate	Date Filed with County Clerk
206	Final Decree	1st Monday in June thereafter
207	Final Decree	Date Certified to the Department of Public Instruction (or Education)
208	Final Decree	1st Monday in July thereafter
209	Appeal	Date Opinion Filed
210	Act of Legislature	Date Approved (2nd State)
211	Act of Legislature	Listed Effective Date (2nd State)
212	Census Correspondence	Listed Effective Date
213	Ordinance	Date Enacted per Unofficial Source
214	Ordinance	Immediately after Election after Date Approved
215	Agreement	Date Executed
216	Ordinance	Date Approved per Unofficial Source
217	Final Decree	1st Monday in June after Date Granted per Alternate Official Source
218	Petition	Date Accepted by Municipality
219	Ordinance	Immediately after Election after Date Enacted
220	Resolution	Date Enacted (2nd Municipality)
221	Final Decree	1st Monday in June after Date Granted per Unofficial Source
222	Report of Commissioner(s)	Date Filed with Secretary of State
225	Municipal Election after Decree Nisi	1st Monday in January thereafter
226	Election	Listed Effective Date
227	Ordinance	1st day in January after Date Filed with Court
229	Letters Patent	Date Recorded
231	Deed of Surrender	Date Accepted
233	Deed	Date Issued per Unofficial Source
236	Ordinance	Most Recent Date on Initial Filing with Secretary of State
237	Ordinance	Date Advertised after Enactment (2nd Municipality)
238	Ordinance	20 Days after Date Enacted
239	Determination	Listed Effective Date
240	Election	Implied Date Results Filed with County Clerk per Unofficial Source
242	Election	Date per Unofficial Source
243	Election	Implied Date Results Filed with Secretary of State per Unofficial Source
244	Declaration	Date Issued
245	Election	Date Results Filed with County Clerk per Unofficial Source
250	Letters Patent	Date Issuance Authorized
251	Order of Council	Date Issued
