documentationid	documentationtype	documentationshort	documentationlong	documentationcolor	documentationlocale
58	disclaimer	Amendments	The compiler reserves the right to amend these disclaimers at any time. The text of the disclaimers included with releases from v1.0.0 through v2.0.2 is available in the Application repositories. Starting with v2.1.0, the text of the disclaimers included with releases is available in the Open Data repositories.		en
59	welcome	Welcome	The Local Geohistory Project aims to educate users and disseminate information concerning the geographic history and structure of political subdivisions and local government.		en
60	status_ct	Open Data	Law Index		en
61	status_ct	Status	Studying		en
62	status_ct	Task	Abstracted municipal incorporation dates from 1980 Register and Manual.		en
63	status_ct	Task	Converted 1943 Private Laws and Special Acts Index to database.		en
64	status_de	Open Data	No		en
65	status_de	Status	In-Person Research		en
66	status_de	Task	Obtained and imported annexation maps or GIS data from Office of State Planning Coordination, Kent County, and City of Newark.		en
67	status_de	Task	Preliminarily reviewed session laws through 2020 for municipal charters and pertinent amendments.		en
68	status_de	Task	Reviewed various archival record series accessioned by Public Archives from state and municipal agencies.		en
69	status_dc	Open Data	No		en
70	status_dc	Status	Studying		en
71	status_me	Open Data	Law Index		en
72	status_me	Status	Started		en
73	status_me	Task	Extracted and converted data from Maine Minor Civil Divisions - Legal History Database, a Microsoft Access database created by State Archives.		en
74	status_me	Task	Reviewed 1965-2024 session law indexes.		en
75	status_md	Open Data	No		en
76	status_md	Status	In-Person Research		en
77	status_md	Task	Abstracted amendments to municipal charters from 1969-2019 session laws volumes, 1955-1967 charter amendment volume, and 2011-2024 municipal resolution PDFs.		en
78	status_md	Task	Did two-day research pilot at State Archives focusing on municipal charter filings.		en
79	status_md	Task	Extracted pertinent events from digitized copies of municipal charter filings microfilmed in 1972.		en
80	status_ma	Open Data	No		en
81	status_ma	Status	Started		en
82	status_ma	Task	Converted Historical Data Relating to Counties, Cities and Towns in Massachusetts (1997 edition) into database tables, and matched entries since 1692 with pertinent chapters in session laws.		en
83	status_ma	Task	Reviewed 2000-2018 session law indexes.		en
84	status_mi	Open Data	No		en
85	status_mi	Status	Started		en
86	status_mi	Task	Abstracted appendices containing abstracts of proceedings relative to incorporation and change of boundaries of cities, villages, and townships, in 1909-2019 session laws.		en
87	status_mn	Open Data	No		en
88	status_mn	Status	Started		en
89	status_mn	Task	Abstracted city and village charter dates from 1973-1974 Legislative Manual.		en
90	status_mn	Task	Abstracted over 1,300 index cards from the Miscellaneous Official Documents and Official Documents of Cities and Towns card groups, part of the Secretary of State Documents - 1900-1990 series.		en
91	status_mn	Task	Reviewed in limited cases other secondary sources, such as Minnesota Geographic Names (1920 edition), census reports, and city websites, to determine village and city incorporation dates when charter date was not believed to match incorporation year.		en
92	status_nh	Open Data	No		en
93	status_nh	Status	Studying		en
94	status_nj	Open Data	Open Data		en
95	status_nj	Status	Online		en
96	status_nj	Task	Visit the Local Geohistory Project for more information.		en
97	status_ny	Open Data	Law Index		en
98	status_ny	Status	In-Person Research		en
99	status_ny	Task	Abstracted municipal incorporation years and footnotes from 1900-1975 Legislative Manuals.		en
100	status_ny	Task	Abstracted pertinent index entries from 1778-1919 index to unconsolidated laws.		en
101	status_ny	Task	Abstracted town, city, and village formation and dissolution dates from 1888 Civil List by Edgar A. Werner.		en
102	status_ny	Task	Abstracted village incorporation years and government forms from 1897 Special Report of the Commissioners of Statutory Revision in Relation to Villages.		en
103	status_ny	Task	Extracted boundary event data from 29 non-map boxes of Village Incorporation Files at the State Archives.		en
104	status_ny	Task	Obtained electronic local law index for 1969-2003, and local law PDFs for 1998-2024, and extracted relevant annexations.		en
105	status_ny	Task	Reviewed extant published local law volumes and indexes for 1925-1982.		en
106	status_oh	Open Data	No		en
107	status_oh	Status	Started		en
108	status_oh	Task	Abstracted municipal incorporation and annexation filing data, as well as retrospective index to municipal charter acts, from Secretary of State reports from 1850s through 1940s.		en
109	status_oh	Task	Obtained and reformatted computerized index to municipal corporation events through 2024 from Secretary of State.		en
110	status_pa	Open Data	Open Data		en
111	status_pa	Status	Online		en
112	status_pa	Task	Visit the Local Geohistory Project for more information.		en
113	status_ri	Open Data	No		en
114	status_ri	Status	Studying		en
115	status_ri	Task	Abstracted municipal incorporation dates from 1980s Manuals.		en
116	status_vt	Open Data	No		en
117	status_vt	Status	Studying		en
118	status_va	Open Data	Law Index		en
119	status_va	Status	In-Person Research		en
120	status_va	Task	Did two-day research pilot at Library of Virginia.		en
121	status_va	Task	Extracted boundary change information from Commission on Local Government reports and databases.		en
122	status_va	Task	Extracted references from Code of Virginia's "Charters" extract.		en
123	status_va	Task	Obtained permission and extracted tabular information from Bain's "Annexation in Virginia" and "A Body Incorporate."		en
124	status_wv	Open Data	No		en
125	status_wv	Status	Studying		en
126	status_wv	Task	Abstracted municipal incorporation dates from 1987 Blue Book.		en
127	status_wv	Task	Extracted law references from 1906 Department of Archives and History report.		en
128	status_wi	Open Data	No		en
129	status_wi	Status	Studying		en
130	status_wi	Task	Obtained information from the Department of Administration's Municipal Data System.		en
131	law	Text	<p>Citations are modeled on the format used by the <a href="https://www.palrb.gov/">Legislative Reference Bureau of Pennsylvania</a> to cite session laws (e.g., see <a href="https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/101/chapter25/chap25toc.html&d=#25.52.">101 Pa. Code § 25.52</a>), with deviations noted below.</p><table style="text-align: center; margin: 0 auto;"><tr class="b" style="font-size: 95%;"><td style="border-bottom: 1pt solid black;">Type</td><td></td><td style="border-bottom: 1pt solid black;">Session</td><td></td><td style="border-bottom: 1pt solid black;">Source</td><td></td><td style="border-bottom: 1pt solid black;">Number</td><td></td><td style="border-bottom: 1pt solid black;">Section</td><td></td></tr><tr class="i"><td>Act of </td><td>January 2, 1934</td><td>(1st Sp.Sess., </td><td>56 </td><td>Ex. Laws</td><td> 78, </td><td>No. 90, </td><td>January 15, 1934)</td><td>, § 10 </td><td>[11-120]</td></tr><tr class="b" style="font-size: 95%;"><td></td><td style="border-top: 1pt solid black;">Date</td><td></td><td style="border-top: 1pt solid black;">Volume</td><td></td><td style="border-top: 1pt solid black;">Page</td><td></td><td style="border-top: 1pt solid black;">Published</td><td></td><td style="border-top: 1pt solid black;">Context</td></tr></table><br>		en
132	date	Text	<p>Many municipal incorporation compilations use <span class="b">Incorporation Date</span>, generally based on the date of the incorporation law, court decree, proclamation, or local government enactment, in relation to events. In contrast, this resource uses <span class="b">Effective Date</span>, which is based on when an event took effect under law. These dates often differ, sometimes by over a year. When statutes provided for a transition period where a government existed as a legal entity for certain purposes but its territory retained its previous government temporarily, the date when this transition period ceased is used. In some cases, the actual effective date may be ambiguous, particularly when based on a clerical action such as filing or recording a document in a particular office. When this occurs, the best possible date is used. For transparency, how an effective date is determined is shown when possible.</p><p>Under <span class="b">Event Year(s)</span>, this resource separately tracks the years between when a proposed change was initiated and when it either took effect or failed. When no effective date is entered, this year range is often used instead of the effective date. For sorting purposes, an exact sort date is assigned to each event, although the full sort date is only displayed in timelapses mapped in the Government pages.</p><p>With three exceptions, dates are recorded using the calendar in effect at the time of the event or source document. For areas under British control, dates before the effective date of the <a href="https://en.wikipedia.org/wiki/Calendar_(New_Style)_Act_1750">Calendar (New Style) Act 1750</a> will use the Julian Calendar and will reflect the beginning of the year as March 25. The following exceptions to this rule substitute the <a href="https://en.wikipedia.org/wiki/Proleptic_Gregorian_calendar">Proleptic Gregorian calendar</a>:</p><ul><li>Years in the Statistics pages.</li><li>Undisplayed sort dates.</li><li>Timelapses mapped in the Government pages, which use sort dates.</li></ul>		en
133	nameabbreviation	Text	<p>When possible, abbreviations used in this resource are modeled on the <a href="https://law.resource.org/pub/us/code/blue/IndigoBook.html">Indigo Book</a>. The names and types of governments are never abbreviated, although articles (e.g., "The") and formulaic portions of the corporate style, such as the "Mayor and Council of," are omitted. In particular, words such as <span style="font-weight: bold;">Mount</span> and <span style="font-weight: bold;">Saint</span> are spelled out in government names even if primary source documents abbreviate them.</p><p>Some governments may have used different name spelling variants over time. If there is no evidence of a formal name change event and the variance in name spelling is minor, only the modern spelling is used.</p><p>In many states in the Northeastern and Midwestern United States, the terms Town and Township were interchangeably used, particularly in the colonial era. In most cases, where there was no clear shift in law between one term and the other, the project will apply the term Town or Township to all governments of the same kind within a jurisdiction based on current usage under law, being mindful of primary source references to unincorporated cadastral units using similar terminology.</p>		en
134	adjudicationgovernmentactionrecordeddocument	Text	<p>The project database acts simultaneously as a citation repository and an aid for future research. Agencies may hold copies of records from other agencies, and non-governmental sources like county histories and newspapers may contain references or transcriptions of government documents. In some cases, a reference to an adjudication, government action, or recorded document may not derive from that agency's records, but from alternate sources. In limited cases, when the law would have required one of these documents to effectuate the event, placeholder references are added to facilitate later database improvement.</p><p></p><p>For Adjudications, a Location that does not have question marks or other adverse notations generally indicates that a record was found among the tribunal's records and examined.</p><p></p><p>For Government Actions, a complete Action with type and title generally indicates that an original or certified copy was found and examined from government records, regardless of agency, or from a copy contemporaneously published according to law. Sometimes, a Location that does not have question marks or other adverse notations, combined with a full Date, may indicate the same.</p><p></p><p>For Recorded Documents, a complete Location and Date without an Alternate Location generally indicate that the document was found among the recording office's records and examined. In some cases, a certified copy may have been found and examined as specified under Alternate Location.</p>		en
