metesdescriptionid	metesdescriptiontype	metesdescriptionsource	metesdescriptionbeginningpoint	metesdescriptionstateplane	metesdescriptionlongitude	metesdescriptionlatitude	metesdescriptionangle	metesdescriptionquality	metesdescriptionnotes	metesdescriptionname	event	metesdescriptionacres
34	shape	act	black oak on the bank of the mill-dam	100007	-79.8882008	40.8589895	3.65				221	0
35	shape	report of commissioners (county history)	chestnut at the then corner of Howard and Walker townships	100007	-77.5799410	41.0469654	-2				223	-1
36	shape	act	westerly shore of the north-east branch of the river Susquehanna, at the point where the road leading from Salem to Berwick intersects the town line of Berwick at the river	100007	-76.2261060	41.0569440	-3.2				228	0
37	shape	act	corner in the line dividing the county of Columbia from the county of Schuylkill	100007	-76.3071728	40.8017256	0				229	0
38	shape	act	post in the centre of the road leading from Adams street to Middle Spring	100007	0.0000000	0.0000000	0				242	0
39	shape	act	white oak at the south-east end of said town	100007	-77.5739800	39.7530230	9.4				245	0
40	line after	report of commissioners, re-review (docket)	post on the Lebanon Township line, near to Jacob May's, on land of Henry Krall	100007	-76.3427930	40.3270740	-1.3				250	0
41	shape	act	summit of the Blue mountain, where the Franklin county line crosses the same	100007	0.0000000	0.0000000	0				253	-1
42	shape	act	[so much of the townships of East Hanover and Bethel, in the county of Dauphin as lies north of the Blue of Kittatiny mountain, shall be and compose a part of the county of Lebanon, and that part of East Hanover township which is hereby annexed to Lebanon county, shall be attached to East Hanover township, in the said county of Lebanon, and that part of Bethel township which is hereby annexed to Lebanon county, shall be attached to Bethel township, in the said county of Lebanon]	100007	0.0000000	0.0000000	0	m			259	0
43	whole after	act	south east corner of the old town plot	100007	-76.4227679	40.3356966	-7	m			261	0
44	shape	act	post south of the Wellsburg road, and on the line between Galbreath Stewart and Jacob Walter's land	100007	-80.4320562	40.2455820	10				285	-1
45	shape	act	west corner of the Montrose plot, agreeably to the map on record in the recorder's office of Susquehanna county, in Deed Book No. 1, page 288	100007	-75.8836200	41.8336500	-4.9				289	0
46	shape	report of commissioners (county history)	Thomas Huston's line	100007	-77.6577866	40.8829924	-3				314	-1
47	shape	act	post on the river bank	100007	-77.2436500	41.1902230	0				315	-1
48	shape	act	north-east corner of an out lot of John Reibsam	100007	0.0000000	0.0000000	0				317	-1
49	shape	act	stake on Henry Neal's land	100007	-80.0516308	39.9308567	2.75				328	-1
50	shape	act	post on a line of the heirs of Jacob Brobst	100007	-77.0526020	40.9125480	-1.1				329	-1
51	shape	act	north west corner of a lot of John Riebsam, in the middle of the main street or road leading from Muncy bridge south through said borough	100007	-76.7863280	41.2073790	-1.65				330	0
52	shape	act	stake, on lands of Peter Graham, north west of said Graham's house	100007	-75.5523562	41.6646735	-0.45	m			340	0
53	shape	act	post in the turnpike, half a mile north west of the centre of said town	100007	-76.6100580	40.1575350	-3.7				341	0
54	shape	act	post on the lands of William and Joseph Feay, standing on the south side of the river Juniata	100007	-78.2039934	40.4653889	-0.45				359	0
55	shape	act	corner of Penn and Washington streets, on Alexander Laughlin's land	100007	0.0000000	0.0000000	0				363	0
56	shape	act	post at the east corner of a bridge, over George Barnett's mill race	100007	0.0000000	0.0000000	0				379	0
57	shape	act	north corner of Franklin and Washington street	100007	-78.9170292	40.3268390	0				382	0
58	line after	report of commissioners (docket, Lebanon Co.)	black oak, on the top of the Blue Mountain	100007	-76.6557741	40.4163061	-3				385	0
59	line after	act	summit of Black Log mountain, where the Huntingdon county line crosses the same	100007	0.0000000	0.0000000	0				391	-1
60	shape	act	post at the north west corner of Henry Fetter's garden	100007	-77.3083510	40.3423740	-0.7				392	0
61	shape	act	corner on lands of Robert Smith, Esq.	100007	-77.9054040	39.8310680	0				394	-1
62	shape	act	spruce tree on the corner of land belonging to Bennett and Walton, adjoining lands of Wetherill, and others	100007	-76.2547800	40.6908470	-6.5				395	0
63	whole after	act	post, the north west corner of a lot of John Riebsam, in the middle of the Main street or road leading from Muncy bridge south, through said borough	100007	-76.7863065	41.2073630	0.15				396	0
64	shape	act	stone standing on the lands of John Flanagan	100007	-77.5713620	39.7562080	0				400	-1
65	shape	act	stake at the corner of land of Porter's and Dougherty's heirs	100007	-80.4133344	40.1132148	4.25				402	0
66	line after	report of commissioners (docket)	stake at Maidencreek on lands of Philip Fisher	100007	-75.8797359	40.5549110	-2.45				409	0
67	shape	act	post on the bank of the Susquehanna river, being the southwest boundary of the town of Liverpool	100007	-76.9908249	40.5707487	-1.45				413	0
68	shape	report of commissioners	Ten Mile Creek at the line between James Hook & Wm T Hays	100007	0.0000000	0.0000000	0				416	0
69	shape	act	post adjoining lands of Frederick Eichelberger	100007	-77.0327430	40.1129340	1.8				426	-1
70	shape	act	mouth of the creek, commonly called Hook creek, at low water mark, on the river Delaware	100007	0.0000000	0.0000000	0	m			430	-1
71	shape	act	white oak stump	100007	-79.5688784	40.4066932	0				432	0
72	shape	act	a stone in land late the property of the Reverend Ebenezer Dickey, deceased	100007	-75.9875020	39.7781670	-4.7				433	0
73	shape	act	post at the edge of the Tulpehocken creek	100007	-76.1978030	40.3720936	-2.95				441	0
74	shape	act	point on the Monongahela river	100007	-79.8975700	40.0703500	3				450	0
75	shape	act	post on the bank of the Juniata river	100007	-77.7393745	40.4968170	-0.5				453	-1
76	shape	act	stones	100007	-76.6777470	39.7781570	-3	m			460	0
77	shape	act	white oak	100007	-75.9792352	40.7977134	-3.6				461	0
78	shape	petition (recorded)	walnut tree on the west bank of Beaver Creek, forming the York County line, about seventy perches north of the bridge on the York and Gettysburg turnpike	100007	-76.9845164	39.8902705	-3.1	m			467	0
79	shape	petition (recorded)	low water mark on Big Beaver Creek at the line between out Lots No. 38 & 39 on one side and 40 & 41 on the other side	100007	-80.2978492	40.7094830	5.95				468	0
80	shape	act	[so much of the said district as lies west of the centre of Third street]	100007	0.0000000	0.0000000	0	m		3nd Ward	499	0
81	shape	act	[so much of the said district as lies south of the centre of the railroad of the "Southwark railroad company," as at present located]	100007	0.0000000	0.0000000	0	m		5th Ward	499	0
82	shape	act	[so much of the said district as lies west of the centre of Third street]	100007	0.0000000	0.0000000	0	m		4th Ward	499	0
83	shape	act	[so much of the said district as lies east of the centre of Third street]	100007	0.0000000	0.0000000	0	m		2nd Ward	499	0
84	shape	act	[so much of the said district as lies east of the centre of Third street]	100007	0.0000000	0.0000000	0	m		1st Ward	499	0
85	shape	act	[the boundary of which shall include the entire limit of the present town plot of said town]	100007	0.0000000	0.0000000	0	m			504	0
86	shape	act	corner of Ezekiel Walton's, and the heirs of William M'Carty, deceased	100007	-76.7901560	41.2075100	-1.75				510	0
87	shape	act	a post at the Delaware river	100007	-74.9518554	40.3674905	-6	p			511	-1
88	shape	act	post on the western line of Main street, forty feet south of the extreme southerly boundary of a lot of Benedict Stevens, on the lands of Alexander Dysart	100007	-77.8745639	40.2931892	-1.15				514	0
89	line after	report of commissioners (docket)	Button Wood tree standing on the south side of a run or wast way at its junction with the Chester Creek and near John Duttons Mill	100007	-75.4092520	39.8695620	-5				521	0
90	shape	act	a stone on the middle of a public road, a corner of lands of Josiah Y. Shaw and Abraham Garges	100007	-75.1256706	40.3060916	-4.05	m			522	0
91	shape	act	point on the division line between the counties of Adams & Franklin, marked by stones	100007	0.0000000	0.0000000	0				527	-1
92	shape	act	post on the bank of Samuel Lehman's tail race	100007	-76.3955989	40.1529440	-3.6	m			531	0
93	shape	act	east bank of the Big Beaver river on the south line of tract number ninety-one in Daniel Leet's district of depreciation lands	100007	-80.3052100	40.7205660	2.65				534	-1
94	shape	act	a point on the south side of Bridge street in the middle of Newtown creek	100007	-74.9382437	40.2278970	-5.45	p			535	-1
95	line after	report of commissioners (docket)	stone a corner of George Warners land and lands late the Estate of John Downes deceased and near the Township line	100007	-75.3260958	39.9069978	0				539	0
96	shape	act	post on the bank of the Kiskeminetas	100007	-79.4516069	40.4887456	0				540	0
97	shape	act	a buttonwood tree, on the borough line, at the head of a small island in the river Delaware	100007	-74.9503183	40.3690187	0				541	-1
98	shape	petition (recorded)	post at the South west corner of Beans addition to the aforesaid Town	100007	-80.3954840	41.4011630	2.3				543	-1
99	shape	act	post at Schuylkill Street	100007	-75.9813058	40.5554582	-3.2	m		Tract 1	546	0
100	shape	act	post on the bank of the river Schuylkill	100007	-75.9926677	40.5509639	-3.9	m		Tract 2	546	0
101	shape	report of commissioners (docket)	corner of Maidencreek and Richmond Townships, and on the line of Ruscombmanor	100007	-75.8545017	40.4479999	-1.05				560	0
102	shape	act	post standing in Peter Schell's meadow	100007	-78.6389297	40.0473615	0				562	-1
103	shape	act	post the southwest corner of lot number three	100007	-79.3945365	41.2134264	0				567	-1
104	shape	act (1835)	"the township of Lebanon, in the county of Lebanon, be and the same is hereby divided into two election districts, in the manner following, to wit: all that part of the said township lying south of the Berks and Dauphin turnpike road, to compose one district, and all that part of said township lying north of the Berks and Dauphin turnpike road to comprise one district"	100007	0.0000000	0.0000000	0				574	0
105	line after	report of commissioners (county history)	pine on the top of the Ridge on the Clinton County (formerly Lamar township) line	100007	-77.5586619	41.0213095	-4				576	-1
106	shape	act	low water mark in the Monongahela river	100007	-79.9938690	39.9937050	3.3				577	-1
107	shape	act	[so much of the said township, as lies south of the centre of Carpenter street]	100007	0.0000000	0.0000000	0	m		4th Ward	578	0
108	shape	act	[so much of the said township, as lies between the centre of Seventh street]	100007	0.0000000	0.0000000	0	m		2nd Ward	578	0
109	shape	act	[so much of the said township, as lies west of the centre of Eleventh street]	100007	0.0000000	0.0000000	0	m		3rd Ward	578	0
110	shape	act	[so much of the said township, as lies east of the centre of Seventh street]	100007	0.0000000	0.0000000	0	m		1st Ward	578	0
111	shape	act	on Big Beaver, at the lower line of the borough of New Brighton	100007	0.0000000	0.0000000	0				587	0
112	shape	report of commissioners (docket)	stone corner (formerly a Hickory tree corner) now on land of John Hock being a corner for Rockland and Maxatawny townships	100007	-75.7505715	40.4696476	-0.7				588	1400
113	shape	report of commissioners (docket)	corner heretofore held as the dividing corner between Maidencreek and Richmond townships (marked A) on a line of Ruscombmanor	100007	-75.8504680	40.4452900	-7.1				589	0
114	shape	act	state road leading to Harrisburg, at a point where the state road leading to Rohresburg intersects the same	100007	-76.1753476	40.6265557	-6				590	0
115	shape	report of commissioners (county history)	where the line between Boggs and Howard townships crosses Beech Creek, west of the Allegheny Mountain	100007	0.0000000	0.0000000	0				591	-1
116	shape	act	western extremity of the alley opposite the south west corner of lot number twenty three, in the plan of the said town	100007	-79.6584430	40.3110660	2.8	m			599	0
117	shape	exhibit (recorded)	post on the North East side of the Butler and Mercer Turnpike	100007	-80.0664280	41.0719910	2.75				601	417.025
118	shape	act	point on the West branch of the Susquehanna river, at low water mark, six perches West of Hanna street, in said village	100007	-77.4364180	41.1386540	6.5				612	0
119	whole after	act	post on the Juniata river	100007	-77.7386221	40.5000091	-1.5				613	-1
120	line	report of commissioners (docket)	mouth of Tobyhanna Creek	100007	0.0000000	0.0000000	0				618	-1
121	shape	petition (recorded)	Tunkhannock creek Bridge	100007	0.0000000	0.0000000	0				622	0
122	shape	act	corner of Thomas Y. Brinton's land, where the division line of Aston and Concord townships intersects the southern line of Thornbury township	100007	0.0000000	0.0000000	0				628	-1
123	shape	act	from stones on the present line, aforesaid borough, on or near the lands of Henry Wasmus	100007	-77.2261190	39.8294070	-1.75				632	0
124	shape	petition (recorded)	mouth of the Youghiogheny river	100007	-79.8682450	40.3465560	2.2				637	-1
125	shape	act	post on the western boundary line of lands of Simeon Kern, at the north east corner of said village	100007	-77.5662890	40.3073040	-34.6				639	0
126	shape	decree (recorded)	locust tree on the Bank of the Allegheny River	100007	-79.9356380	40.4928930	0.95	m			643	-1
127	shape	decree (recorded)	Low water mark on the Allehy River	100007	-79.7648191	40.5948185	0				646	-1
128	shape	act	white oak on a line between Joseph M'Farran and Christopher Jordan	100007	-80.4705814	40.6016542	0				664	-1
129	line	report of commissioners (docket)	stone on the Hamilton Township lin[e] one hundred and eighteen perches wes of the Pocono Bridge near Jeremy Mackey's	100007	0.0000000	0.0000000	0				665	-1
130	line after	act	road leading from New Castle to Pulaski, in Mercer county, where the line between David Summerville and John Greer crosses said road	100007	0.0000000	0.0000000	0				667	-1
131	shape	petition (recorded)	intersection of Pasture Lane and Strawberry lane	100007	-80.0181060	40.4643860	1.9				668	0
132	shape	act	junction of the Bald Eagle and Spring creek, at low water mark	100007	-77.7885250	40.9387740	-2.1				670	0
133	shape	act	point at the confluence of the Tuscarora creek and the Juniata river	100007	-77.3778900	40.5254660	0				673	0
134	shape	act	state road leading to Harrisburg, at the point where the state road leading to Roehrersburg intersects the same	100007	-76.1771876	40.6235482	-4.050000000000001				676	0
135	line after	report of commissioners (docket)	north bank of the Swatara creek, opposite to Mish's Mill, in the road leading from said Mill to Yergers tavern	100007	-76.5029559	40.3903295	-4				677	0
136	shape	petition (recorded)	stone set for a corner in the line of Penn Township	100007	-75.1695085	40.0154745	-4.9				693	0
137	line after	act	west boundary line of Salem township	100007	0.0000000	0.0000000	0				694	-1
138	shape	report of commissioners (docket)	Lancaster and Lebanon County line at the forks of the Public road adjoining lands of Michael Sharp in the Township of Heidelberg	100007	-76.2151837	40.2911474	-4	m		report	705	0
139	line after	act	Lancaster and Lebanon county line, at the forks of a public road, adjoining lands of Michael Sharp, in the township of Heidelberg	100007	-76.2151837	40.2911474	0	m		act	705	0
140	shape	report of commissioners (county history)	Miles township line	100007	0.0000000	0.0000000	0				707	-1
141	shape	act	corner, on the shore of the Susquehanna river, on the southern side thereof, and on the northern side of Washington street	100007	-77.0292449	40.3886134	0				709	0
142	shape	petition (recorded)	North East corner at a post	100007	-80.1353850	40.9310240	2.3				710	0
143	shape	act	northwest corner of Texas township, a corner of Canaan and Dyberry townships	100007	-75.3382300	41.5855010	-2.25				711	-1
144	unknown	act	[Property of Hugh Craig, 1 acres, 140 perches]	100007	0.0000000	0.0000000	0				712	-1
145	shape	act	[on the north by the south line of Venango township]	100007	0.0000000	0.0000000	0				722	640
146	line	report of commissioners (docket)	Killinger's Run, being the dividing line between Londonderry and Annville townships, where the Berks and Dauphin Turnpike road	100007	-76.5549660	40.3212490	-0.1				723	0
147	shape	act	river Lehigh, at the fording place immediately above Jones' island	100007	0.0000000	0.0000000	0	m			725	0
148	shape	act	hickory stump on Tuscarora Creek, near the mouth of Horse Valley run	100007	-77.6007485	40.3728197	0				729	0
149	line after	report of commissioners (county history)	hemlock on the Marion township line	100007	-77.6236670	41.0167474	-2.3				737	-1
150	shape	act	rock in and above the surface of the ground, about six roads southwesterly from the dwelling house of John Crater	100007	-75.4422990	41.7343510	-12.65				744	-1
151	shape	petition (recorded)	chestnut tree	100007	-80.5131833	41.2396505	1.75				746	-1
152	shape	act	[so much of the Fourth ward, Moyamensing, in the county of Philadelphia, lying south of the centre of Washington street, in said township]	100007	0.0000000	0.0000000	0	m			769	0
153	line	report of commissioners (docket)	on the line between Chestnuthill and Tobyhanna Townships about midway between Sterner's Gap and the Wilkesbarre Turnpike, on Pocono Mountain (at which place we put up a good stone corner and marked it well)	100007	0.0000000	0.0000000	0				775	-1
154	shape	petition (recorded)	south west corner at an oak tree	100007	-80.0502720	40.9000720	0.2				776	0
155	line after	act	Ohio state line, from three and one-half to four miles south of the northwest corner of Mahoning township	100007	0.0000000	0.0000000	0				777	-1
156	shape	act	centre of the Ridge road, in the township of Girard, in the county of Erie, at the place where the east line of Miron Hutchinson's land intersects said Ridge road	100007	-80.3112870	42.0040959	2.3				794	0
157	shape	act	cherry tree, near a spring at the tan yard of John and William Orr	100007	-77.6107370	40.0589600	0				808	0
158	line after	report of commissioners (county history)	pine on the top of said mountain on the line between Centre and Huntingdon Counties	100007	-78.1161787	40.7393471	-1.75				814	-1
159	line after	act	on the township line now dividing the aforesaid townships, at the Erie county line, where the aforesaid Spring and Beaver townships line intersects with said Erie county line, for a distance of one mile	100007	0.0000000	0.0000000	0				820	0
160	line after	act	pine tree corner in the present county line, on the top of the Blue mountain, and corner of East Brunswick township, in the county of Schuylkill, and Albany township, in the county of Berks	100007	0.0000000	0.0000000	0				821	-1
161	shape	act	[Broad street shall be the western boundary of the Third and Fourth wards of the township of Moyamensing; and the said Fourth ward shall be extended southward to the southern boundary of said township, as fixed by the eighth section of this act]	100007	0.0000000	0.0000000	0	m		3rd and 4th Wards	841	0
162	line after	act	point on the river Delaware, two hundred feet south of M'Kean street, as laid out, but not yet opened	100007	0.0000000	0.0000000	0	m		Tract	841	0
163	shape	act	[all that portion of said township lying west of Broad street]	100007	0.0000000	0.0000000	0	m		5th Ward	841	0
164	line	report of commissioners (docket)	corner of Stroud + Pocono Townships where they intersect Price Township near Michael Rausberry's	100007	0.0000000	0.0000000	0				848	-1
165	shape	act	bank of the Monongahela river, at low water mark, where the western line of the borough of Birmingham strikes said river	100007	0.0000000	0.0000000	0				851	0
166	shape	act	point thirty rods south of the dwelling house of Andrew Grass	100007	-78.5604940	41.4149680	-0.9				853	0
167	whole after	act	western extremity of Mauch Chunk street	100007	-75.9788328	40.7962352	-6				854	0
168	line after	report of commissioners (county history)	small maple on the summit of Muncy Mountain	100007	-78.0640148	40.7759662	-1.15				861	-1
169	line after	act	pine tree, a corner in the present county line, on the top of the Blue mountain, and corner of old Brunswick township, in Schuylkill county, and Albany township, in Berks county	100007	0.0000000	0.0000000	0				864	-1
170	shape	act	western bank of the river Susquehanna, at a point about fourteen rods below the mouth of the Mahoning creek	100007	-76.6326140	40.9663160	-3.3				870	-1
171	shape	act	[on the east by George Dorancey east line]	100007	0.0000000	0.0000000	0				877	0
172	shape	act	stake and stones on the lands of Joshua Gurney, in the township of Middletown	100007	-76.0301743	41.9178933	-4.5	m			879	0
173	line after	act	[the Erie extension of the Pennsylvania canal shall be the dividing line]	100007	0.0000000	0.0000000	0				881	-1
174	shape	act	Juniata river, on the division line of Perry and Juniata counties	100007	0.0000000	0.0000000	0				886	0
175	shape	act	post on the line between Butler and Mercer counties, at the corner of Wolfcreek and Slipperyrock townships, in Mercer county	100007	0.0000000	0.0000000	0				887	-1
176	shape	petition exhibit (recorded)	post near the old stone church	100007	-77.4871302	41.1001407	-3				892	0
177	shape	act	spruce tree, for a corner, on lands now or late belonging to Bennett and Walton, adjoining lands of Wetherells and others	100007	-76.2547470	40.6906870	-5.25				895	0
178	shape	act	Susquehanna river	100007	-76.9711860	40.4515650	14.4				896	0
179	shape	act	the river Schuylkill at a point fixed by the committee on survey	100007	0.0000000	0.0000000	0				901	-1
180	shape	act	French creek at the west end of the private road running between the lots of Charles D. M'Gill and William P. M'Gill's heirs	100007	-80.1447920	41.7251820	2.35				905	640
181	shape	act	[all that portion of the said ward, bounded on the south by the southern boundary of the district of Southwark]	100007	0.0000000	0.0000000	0	m		5th Ward	907	0
182	shape	act	[remainder of said ward, bounded on the south by the southern boundary of the said district of Southwark]	100007	0.0000000	0.0000000	0	m		6th Ward	907	0
183	shape	petition (recorded)	south west? corner of West Brownsville on line of Samuel Krepps on the bank of the Monongahela River	100007	-79.8923500	40.0208980	3.15				913	0
184	shape	act	the north-east corner thereof, at Adams' spring, at or near the Berks county line	100007	-76.0446729	40.2485110	-4.1	m			917	0
185	shape	act	river Schuylkill, where the line dividing the city of Reading and Alsace township strikes the said river, on lands of Isaac Eckert and company, called the Henry Clay furnace property	100007	-75.9212724	40.3215929	-3				919	-1
186	shape	act	in the township of Plymouth at a low water mark of the river Schuylkill, at the distance of one-half mile measured on a direct line at right angles from the middle of the Whitemarsh and Plymouth turnpike road, which is on the township line between said townships [of Plymouth and Whitemarsh]	100007	-75.3154013	40.0760294	0	m			935	0
187	shape	act	from the eastern boundary thereof	100007	-80.3113541	42.0040403	0				942	0
188	shape	act	post	100007	-76.9299600	40.4404590	-3.2				952	0
189	shape	petition (recorded)	southern line of Mauch Chunk Township at its point of intersection with the western line of a tract of land in the warrantee name of Jane Coats	100007	-75.7560960	40.8491810	-5.45				954	-1
190	shape	act	at the corner of lands of Edward Lewis, Isaac Cochran, Andrew T. Walker, and John Hill, on the south side of the Philadelphia and Baltimore State road, in the township of Upper Providence	100007	0.0000000	0.0000000	0	m			956	0
191	line	act	[portion of the townships of Montour, Hemlock and Madison, lying westward of the following line] Leiby's saw mill, on the bank of the river Susquehanna	100007	0.0000000	0.0000000	0			Line 1	959	-1
192	line	act	[part of Roaring Creek township, lying south and west of a line] south-eastern corner of Franklin township	100007	0.0000000	0.0000000	0			Line 2	959	-1
193	shape	act	post a corner of land of Charles Lloyd and the free school lot	100007	-76.9267564	41.2514838	-8	m			960	0
194	shape	act	north-west corner of the present limits of said borough, at a post	100007	0.0000000	0.0000000	0				966	0
195	shape	act	corner of John Moyer's land on the Centre turnpike	100007	-76.0236633	40.5783458	0				970	-1
196	shape	act	post north-east corner of James Winslow's land	100007	-78.9761825	40.9450208	0				972	0
197	line after	act	river Delaware at the south side of Mifflin street as laid out but not yet opened, through the said districts of Southwark and Moyamensing	100007	0.0000000	0.0000000	0	m			979	0
198	shape	act	north-west corner of tract number one thousand three hundred and sixty-six, now in Athens township	100007	0.0000000	0.0000000	0				981	0
199	shape	act	post on the northern side of the Allegheny Portage railroad below the engine house, at plane number five on said road	100007	-78.5739610	40.4555470	-8.95				982	0
200	shape	act	stone in line of land being church property, and land late of Henry Filbert, deceased	100007	-76.1129057	40.4354734	-4.5	m			986	0
201	shape	act	a low water-mark of the river Schuylkill, in said township [of Upper Merion]	100007	-75.3469520	40.1092867	-4.25	m			988	0
202	shape	act	post	100007	-79.5533030	41.1276520	0				989	-1
203	line after	act	southern side of said township on the western bank of French creek	100007	0.0000000	0.0000000	0				990	0
204	shape	act	mouth of Sewickly creek on the Ohio river, where the line crosses dividing the counties of Beaver and Allegheny	100007	0.0000000	0.0000000	0				998	0
205	shape	act	post on land of George Anstine	100007	-76.5965500	39.7566530	-5.4				1006	-1
206	shape	act	number one, a corner of Daniel Maurer's land or out-lot	100007	-76.5126937	40.1071978	-4.75				1008	0
207	shape	act	north-east corner at a maple tree, said maple standing and situated at or near the corner of lands owned by John Condit and one Law	100007	-80.2022392	41.4456940	-0.55				1017	-1
208	shape	resolution	stump at Crooked creek	100007	-79.2991997	40.6535489	0				1018	0
209	whole after	plan (recorded)	[corner of Youghiogheny River and Thos Robertson land]	100007	-79.7653180	40.2187737	0			After	1020	0
210	line after	report of commissioners (docket)	River Schuylkill, in said township at a point just below or at the abutment of the Harrisburg bridge in lands of Samuel Bell	100007	-75.9375215	40.3354319	-3.55				1021	0
211	shape	act	northeast corner of Thomas Young's wood lot	100007	-79.3213530	41.2044030	6.5				1023	0
212	shape	act	south-east corner of lot numbered twenty-seven on a draft or plot of the allotment of a tract of land called "Elkforest"	100007	0.0000000	0.0000000	0				1026	0
213	shape	ordinance (code, 1857)	northwest corner of Jefferson and Jackson streets	100007	0.0000000	0.0000000	0				1033	0
214	shape	act	corner stone on the Pittsburg and Morgantown road, between the farms of Thomas H. Fowler, Peter Flick, and John M. Jenkins	100007	0.0000000	0.0000000	0				1037	0
215	shape	act	stone at the York and Baltimore turnpike, on line of Jacob N. Hiltebrant, and Blymire and others	100007	-76.7093990	39.8445920	-5				1061	0
216	shape	act	Juniata river	100007	0.0000000	0.0000000	0				1066	0
217	whole after	act	south-west corner of Daniel Maurer's out-lot	100007	-76.5129083	40.1074686	-5.25				1068	303.01875
218	shape	act	post in the public road leading from Elizabethtown to Manheim	100007	-76.4009246	40.1668685	-4.65				1079	10.8875
219	shape	act	township of Hayfield, at French creek, the southeast corner of Jacob Keplar's land	100007	0.0000000	0.0000000	0				1097	0
220	shape	decree (recorded)	post on the line Herman Gross	100007	-78.9540840	39.9227790	0.25				1112	0
221	shape	decree (recorded)	point in the river Lehigh at low water mark	100007	0.0000000	0.0000000	0	m			1117	0
222	shape	act	a cedar tree on the Darby and Haverford road, on a line between A. Worrall and Lincoln to Darby Creek	100007	0.0000000	0.0000000	0				1126	-1
