sourcecitationid	source	sourcecitationdate	sourcecitationdatetype	sourcecitationdaterange	sourcecitationdaterangetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	sourcecitationurl	sourcecitationtypetitle	sourcecitationperson	sourcecitationgovernmentreferences	sourcecitationarchiveslotfilm	sourcecitationarchivecarton	sourcecitationstatus	sourcecitationissue	sourcecitationname
80	5						535	535		Footnote 11		Berks;;Lower Alsace township;Mount Penn borough;;;;;;					
81	5						535	535		Footnote 12		Berks;;Mohnton borough;;;;;;;					
82	5						536	536		Footnote 1		Berks;;Shillington borough;;;;;;;					
83	5						536	536		Footnote 2		Berks;;Spring township;West Reading borough;Wyomissing borough;;;;;					
84	5						536	536		Footnote 3		Berks;;West Leesport borough;;;;;;;					
85	5						536	536		Footnote 4		Blair;;ALL;;;;;;;					
86	5						536	536		Footnote 5		Blair;;Altoona city;Logan township;;;;;;					
87	5						536	536		Footnote 6		Bucks;;Chalfont borough;New Britain township;;;;;;					
88	2						310	310				Cumberland;;Penn township;;;;;;;					
89	5						536	536		Footnote 7		Bucks;;Doylestown borough;Doylestown township;;;;;;					
90	5						536	536		Footnote 8		Bucks;;Ivyland borough;;;;;;;					
91	4						343	343		Footnote 1		McKean;;ALL;;;;;;;					
92	5						536	536		Footnote 9		Bucks;;Milford township;;;;;;;					
93	5						537	537		Footnote 1		Bucks;;Trumbauersville borough;;;;;;;					
94	5						541	541		Footnote 5		Erie;;Platea borough;;;;;;;					
95	5						537	537		Footnote 2		Bucks;;Warminster township;;;;;;;					
96	5						537	537		Footnote 3		Butler;;ALL;;;;;;;					
97	5						537	537		Footnote 4		Butler;;Adams township;Callery borough;;;;;;					
98	5						537	537		Footnote 5		Butler;;Brady township;West Liberty borough;;;;;;					
99	5						537	537		Footnote 6		Butler;;Bruin borough;Eau Claire borough;Parker township;;;;;					
100	5						537	537		Footnote 7		Butler;;Cherry Valley borough;Venango township;;;;;;					
102	5						537	537		Footnote 9		Cambria;;ALL;;;;;;;					
103	5						537	537		Footnote 10		Cambria;;ALL;;;;;;;					
104	5						537	537		Footnote 11		Cambria;;Blacklick township;Jackson township;;;;;;					
105	5						537	537		Footnote 12		Cambria;;Brownstown borough;;;;;;;					
106	5						537	537		Footnote 13		Cambria;;Cassandra borough;;;;;;;					
107	5						537	537		Footnote 14		Cambria;;Cresson borough;Cresson township;Sankertown borough;;;;;					
108	5						537	537		Footnote 15		Cambria;;Johnstown city;;;;;;;					
109	5						537	537		Footnote 16		Cambria;;Lower Yoder township;;;;;;;					
110	5						537	537		Footnote 17		Cambria;;Middle Taylor township;;;;;;;					
111	5						537	537		Footnote 18		Cambria;;Stonycreek township;;;;;;;					
112	5						538	538		Footnote 1		Cambria;;Upper Yoder township;;;;;;;					
113	5						538	538		Footnote 2		Cambria;;Vintondale borough;;;;;;;					
114	5						538	538		Footnote 3		Cambria;;Washington township;;;;;;;					
115	5						538	538		Footnote 4		Cambria;;West Taylor township;;;;;;;					
116	5						538	538		Footnote 5		Centre;;Snow Shoe borough;Snow Shoe township;;;;;;					
117	5						539	539		Footnote 1		Clarion;;Hawthorn borough;;;;;;;					
118	5						539	539		Footnote 2		Clearfield;;ALL;;;;;;;					
119	5						539	539		Footnote 3		Clinton;;Avis borough;Pine Creek township;;;;;;					
120	5						539	539		Footnote 4		Columbia;;Briar Creek township;West Berwick borough;;;;;;					
121	5						539	539		Footnote 5		Crawford;;ALL;;;;;;;					
122	5						540	540		Footnote 1		Crawford;;Meadville city;;;;;;;					
123	5						540	540		Footnote 2		Cumberland;;ALL;;;;;;;					
124	5						540	540		Footnote 3		Cumberland;;East Pennsboro township;Wormleysburg borough;;;;;;					
125	5						540	540		Footnote 4		Cumberland;;Lemoyne borough;Lower Allen township;;;;;;					
128	5						540	540		Footnote 7		Dauphin;;Harrisburg city;;;;;;;					
129	5						540	540		Footnote 8		Dauphin;;Highspire borough;;;;;;;					
130	5						540	540		Footnote 9		Dauphin;;Lower Swatara township;;;;;;;					
131	5						540	540		Footnote 10		Dauphin;;Steelton borough;;;;;;;					
132	5						540	540		Footnote 11		Dauphin;;Susquehanna township;;;;;;;					
133	2						311	311				Dauphin;;Derry township;;;;;;;					
134	5						540	540		Footnote 12		Dauphin;;Swatara township;;;;;;;					
135	5						540	540		Footnote 13		Delaware;;ALL;;;;;;;					
136	5						541	541		Footnote 1		Delaware;;Eddystone borough;Ridley township;Ridley Park borough;;;;;					
137	5						541	541		Footnote 2		Delaware;;Millbourne borough;Upper Darby township;;;;;;					
138	5						541	541		Footnote 3		Erie;;East Springfield borough;;;;;;;					
139	5						541	541		Footnote 4		Erie;;Erie city;Erie city;;;;;;					
140	5						541	541		Footnote 6		Fayette;;ALL;;;;;;;					
141	5						541	541		Footnote 7		Fayette;;Connellsville borough;;;;;;;					
142	5						541	541		Footnote 8		Fayette;;Dunbar township;Vanderbilt borough;;;;;;					
143	5						541	541		Footnote 9		Fayette;;Everson borough;Upper Tyrone township;;;;;;					
144	5						541	541		Footnote 10		Fayette;;South Brownsville borough;;;;;;;					
145	5						541	541		Footnote 11		Franklin;;Chambersburg borough;;;;;;;					
146	5						542	542		Footnote 1		Franklin;;Guilford township;;;;;;;					
147	5						542	542		Footnote 2		Franklin;;Hamilton township;;;;;;;					
148	5						542	542		Footnote 3		Franklin;;Mercersburg borough;Montgomery township;;;;;;					
149	5						542	542		Footnote 4		Franklin;;Montgomery township;;;;;;;					
150	5						542	542		Footnote 6		Greene;;East Waynesville borough;Franklin township;;;;;;					
151	5						542	542		Footnote 7		Greene;;Jefferson township;Rices Landing borough;;;;;;					
152	5						542	542		Footnote 8		Huntingdon;;Brady township;Mill Creek borough;;;;;;					
153	5						542	542		Footnote 9		Huntingdon;;Carbon township;Wood township;;;;;;					
154	5						542	542		Footnote 10		Indiana;;ALL;;;;;;;					
155	5						542	542		Footnote 11		Indiana;;Cherryhill township;Clymer borough;;;;;;					
156	5						542	542		Footnote 12		Indiana;;Creekside borough;Washington township;;;;;;					
157	5						542	542		Footnote 13		Indiana;;Plumville borough;South Mahoning township;;;;;;					
158	5						542	542		Footnote 14		Jefferson;;Falls Creek borough;;;;;;;					
159	5						543	543		Footnote 1		Jefferson;;Greater Punxsutawney borough;;;;;;;					
160	5						543	543		Footnote 2		Jefferson;;Greater Punxsutawney borough;;;;;;;					
161	5						543	543		Footnote 3		Jefferson;;Sykesville borough;Winslow township;;;;;;					
162	5						543	543		Footnote 4		Jefferson;;Washington township;;;;;;;					
163	5						543	543		Footnote 5		Lackawanna;;ALL;;;;;;;					
164	5						543	543		Footnote 6		Lackawanna;;Lackawanna township;;;;;;;					
165	5						543	543		Footnote 7		Lackawanna;;Madison township;Moscow borough;;;;;;					
166	5						543	543		Footnote 8		Lackawanna;;Scranton city;;;;;;;					
167	5						543	543		Footnote 9		Lackawanna;;Taylor borough;;;;;;;					
168	5						543	543		Footnote 10		Lancaster;;Columbia borough;;;;;;;					
169	5						543	543		Footnote 11		Lancaster;;Denver borough;East Cocalico township;;;;;;					
170	5						543	543		Footnote 12		Lancaster;;East Earl township;;;;;;;					
172	5						544	544		Footnote 2		Lancaster;;Mountville borough;;;;;;;					
173	5						544	544		Footnote 3		Lancaster;;Terre Hill borough;;;;;;;					
174	5						544	544		Footnote 4		Lancaster;;West Hempfield township;;;;;;;					
175	5						544	544		Footnote 5		Lawrence;;ALL;;;;;;;					
176	5						552	552		Footnote 5		Washington;;North Strabane borough;;;;;;;					
177	5						544	544		Footnote 6		Lawrence;;Hazel Dell borough;Wayne township;;;;;;					
178	5						544	544		Footnote 7		Lawrence;;Neshannock township;New Castle city;;;;;;					
179	5						544	544		Footnote 8		Lawrence;;Shenango township;South New Castle borough;;;;;;					
180	5						544	544		Footnote 9		Lebanon;;ALL;;;;;;;					
181	5						544	544		Footnote 10		Lebanon;;Annville township;North Annville township;South Annville township;;;;;					
182	5						544	544		Footnote 11		Lebanon;;Millcreek township;Richland borough;;;;;;					
183	5						544	544		Footnote 12		Lehigh;;Allentown city;;;;;;;					
184	5						544	544		Footnote 13		Lehigh;;Bethlehem borough;;;;;;;					
185	5						612	612				;;WINDBER;;;;;;;					
186	5						544	544		Footnote 14		Lehigh;;Catasauqua borough;Hanover township;;;;;;					
187	5						544	544		Footnote 15		Lehigh;;Salisbury township;;;;;;;					
188	5						545	545		Footnote 1		Lehigh;;South Allentown borough;;;;;;;					
189	5						545	545		Footnote 2		Lehigh;;South Whitehall township;;;;;;;					
190	5						545	545		Footnote 3		Luzerne;;ALL;;;;;;;					
191	5						545	545		Footnote 4		Luzerne;;Conyngham borough;Sugarloaf township;;;;;;					
193	5						545	545		Footnote 6		Luzerne;;Duryea borough;;;;;;;					
194	5						545	545		Footnote 7		Luzerne;;Edwardsville borough;;;;;;;					
195	5						545	545		Footnote 8		Luzerne;;Hazel township;Hazleton city;;;;;;					
196	5						545	545		Footnote 9		Luzerne;;Kingston township;Pringle township;;;;;;					
197	5						545	545		Footnote 10		Luzerne;;Larksville borough;;;;;;;					
198	5						545	545		Footnote 11		Luzerne;;Nuangola borough;;;;;;;					
199	5						545	545		Footnote 12		Luzerne;;Parsons borough;Plains township;;;;;;					
200	5						545	545		Footnote 13		Luzerne;;Plymouth township;;;;;;;					
201	5						546	546		Footnote 1		Luzerne;;Wright township;;;;;;;					
202	5						546	546		Footnote 2		Luzerne;;Yatesville borough;;;;;;;					
203	5						546	546		Footnote 3		McKean;;ALL;;;;;;;					
204	5						546	546		Footnote 4		Mercer;;ALL;;;;;;;					
206	5						546	546		Footnote 6		Mercer;;Hickory township;;;;;;;					
207	5						546	546		Footnote 7		Mercer;;Sharon borough;;;;;;;					
208	5						547	547		Footnote 1		Mercer;;South Sharon borough;;;;;;;					
209	5						547	547		Footnote 2		Mifflin;;Derry township;Lewistown borough;;;;;;					
210	5						547	547		Footnote 3		Montgomery;;ALL;;;;;;;					
211	5						547	547		Footnote 4		Montgomery;;East Norriton township;West Norriton township;;;;;;					
212	5						547	547		Footnote 5		Montgomery;;Lower Pottsgrove township;Upper Pottsgrove township;West Pottsgrove township;;;;;					
213	5						547	547		Footnote 6		Montgomery;;Norristown borough;;;;;;;					
214	5						547	547		Footnote 7		Montgomery;;Perkiomen township;Schwenskville borough;;;;;;					
215	5						547	547		Footnote 8		Montgomery;;Red Hill borough;Upper Hanover township;;;;;;					
216	5						548	548		Footnote 1		Northampton;;ALL;;;;;;;					
217	5						548	548		Footnote 2		Northampton;;Allen township;;;;;;;					
218	5						548	548		Footnote 3		Northampton;;Bethlehem borough;;;;;;;					
219	2						309	309				Clarion;;Monroe township;;;;;;;					
220	5						548	548		Footnote 4		Northampton;;Easton city;;;;;;;					
221	2						311	311				Dauphin;;Halifax borough;;;;;;;					1
222	5						548	548		Footnote 5		Northampton;;Forks township;;;;;;;					
223	5						548	548		Footnote 6		Northampton;;Lehigh township;Walnutport borough;;;;;;					
224	5						548	548		Footnote 7		Northampton;;Lower Saucon township;Northampton Heights borough;;;;;;					
225	5						548	548		Footnote 8		Northampton;;North Catasauqua borough;;;;;;;					
226	5						548	548		Footnote 9		Northampton;;Northampton borough;;;;;;;					
227	5						548	548		Footnote 10		Northampton;;Stockertown borough;;;;;;;					
228	5						548	548		Footnote 11		Northampton;;Williams township;;;;;;;					
229	5						548	548		Footnote 12		Northumberland;;ALL;;;;;;;					
230	5						548	548		Footnote 13		Northumberland;;Herndon borough;Jackson township;;;;;;					
231	4						336	336		Footnote 9		Clearfield;;Osceola borough;;;;;;;					
232	5						548	548		Footnote 14		Northumberland;;Marion Heights borough;Mount Carmel township;;;;;;					
233	5						549	549		Footnote 1		Pike;;Matamoras borough;Westfall township;;;;;;					
234	5						549	549		Footnote 2		Potter;;Oswayo borough;Oswayo township;;;;;;					
235	5						549	549		Footnote 3		Potter;;Sharon township;Shingle House borough;;;;;;					
236	5						549	549		Footnote 4		Schuylkill;;ALL;;;;;;;					
237	5						549	549		Footnote 5		Schuylkill;;Coaldale borough;;;;;;;					
238	5						549	549		Footnote 6		Schuylkill;;Pottsville borough;;;;;;;					
239	5						550	550		Footnote 1		Schuylkill;;Rahn township;;;;;;;					
240	5						550	550		Footnote 2		Schuylkill;;Ringtown borough;Union township;;;;;;					
241	5						550	550		Footnote 3		Somerset;;Boswell borough;Jenner township;;;;;;					
242	5						550	550		Footnote 4		Somerset;;Paint borough;Paint township;Windber borough;;;;;					
243	5						550	550		Footnote 5		Sullivan;;Laporte borough;Laporte township;;;;;;					
244	5						550	550		Footnote 6		Tioga;;ALL;;;;;;;					
245	5						551	551		Footnote 1		Tioga;;Fall Brook borough;;;;;;;					
246	5						551	551		Footnote 2		Tioga;;Rutland township;;;;;;;					
248	5						551	551		Footnote 4		Venango;;ALL;;;;;;;					
249	5						551	551		Footnote 5		Venango;;Frenchcreek township;Polk borough;;;;;;					
250	5						551	551		Footnote 6		Venango;;Plum borough;;;;;;;					
251	5						551	551		Footnote 7		Warren;;Pleasant township;Warren borough;;;;;;					
252	5						551	551		Footnote 8		Washington;;ALL;;;;;;;					
253	5						551	551		Footnote 9		Washington;;ALL;;;;;;;					
254	5						551	551		Footnote 10		Washington;;Canton township;;;;;;;					
255	5						551	551		Footnote 11		Washington;;Carroll township;Donora borough;;;;;;					
256	5						551	551		Footnote 12		Washington;;Centerville borough;;;;;;;					
257	5						551	551		Footnote 13		Washington;;Chartiers township;;;;;;;					
258	5						551	551		Footnote 14		Washington;;Cokeburg township;;;;;;;					
259	5						551	551		Footnote 15		Washington;;East Pike Run township;;;;;;;					
260	5						552	552		Footnote 1		Washington;;Ellsworth borough;;;;;;;					
261	5						552	552		Footnote 2		Washington;;Houston borough;;;;;;;					
262	5						552	552		Footnote 3		Washington;;Marianna borough;;;;;;;					
263	5						552	552		Footnote 4		Washington;;Midway borough;Robinson borough;;;;;;					
264	262	1973-05-21															
265	5						552	552		Footnote 6		Washington;;Somerset township;;;;;;;					
266	5						552	552		Footnote 7		Washington;;South Strabane township;;;;;;;					
267	5						552	552		Footnote 8		Washington;;Washington borough;;;;;;;					
268	5						552	552		Footnote 9		Washington;;West Bethlehem township;;;;;;;					
269	5						552	552		Footnote 10		Washington;;West Brownsville borough;;;;;;;					
270	5						552	552		Footnote 11		Washington;;West Pike Run township;;;;;;;					
271	5						552	552		Footnote 12		Westmoreland;;ALL;;;;;;;					
272	5						552	552		Footnote 13		Westmoreland;;Allegheny township;East Vandergrift borough;;;;;;					
273	5						552	552		Footnote 14		Westmoreland;;Derry township;;;;;;;					
274	5						552	552		Footnote 15		Westmoreland;;Greensburg borough;;;;;;;					
275	5						552	552		Footnote 16		Westmoreland;;Hempfield township;;;;;;;					
276	5						552	552		Footnote 17		Westmoreland;;Latrobe borough;;;;;;;					
277	5						552	552		Footnote 18		Westmoreland;;McMahan borough;Rostraver township;;;;;;					
278	5						552	552		Footnote 19		Westmoreland;;North Huntingdon township;Penn township;;;;;;					
279	5						552	552		Footnote 20		Westmoreland;;St. Clair township;;;;;;;					
280	5						553	553		Footnote 1		Westmoreland;;Seward borough;;;;;;;					
281	5						553	553		Footnote 2		Westmoreland;;Sewickley township;Suterville borough;;;;;;					
282	5						553	553		Footnote 3		Westmoreland;;Smithton borough;South Huntingdon township;;;;;;					
283	5						553	553		Footnote 4		Westmoreland;;Trafford borough;;;;;;;					
284	5						553	553		Footnote 5		Westmoreland;;Unity township;;;;;;;					
287	5						553	553		Footnote 8		Westmoreland;;Youngwood borough;;;;;;;					
288	5						553	553		Footnote 9		Wyoming;;Braintrim township;Laceyville borough;;;;;;					
289	5						553	553		Footnote 10		York;;Hallam borough;Hellam township;;;;;;					
290	5						553	553		Footnote 11		York;;Spring Garden township;;;;;;;					
291	5						553	553		Footnote 12		York;;West Manchester township;;;;;;;					
292	5						553	553		Footnote 13		York;;West York borough;;;;;;;					
293	5						553	553		Footnote 14		York;;Windsor borough;Windsor township;;;;;;					
294	5						553	553		Footnote 15		York;;York city;;;;;;;					
295	4						331	331		Footnote 1		Allegheny;;Elliott borough;Esplen borough;Sheraden borough;;;;;					
296	4						331	331		Footnote 2		Allegheny;;Emsworth borough;;;;;;;					
297	4						331	331		Footnote 3		Allegheny;;Etna borough;Millvale borough;Shaler township;;;;;					
298	4						331	331		Footnote 4		Allegheny;;Killbuck township;;;;;;;					
299	4						331	331		Footnote 5		Allegheny;;Lincoln township;Port Vue borough;;;;;;					
300	4						331	331		Footnote 6		Allegheny;;Lower St. Clair township;Mt. Oliver borough;;;;;;					
301	4						331	331		Footnote 7		Allegheny;;McKeesport city;;;;;;;					
302	4						331	331		Footnote 8		Allegheny;;McKees Rocks borough;Stowe township;;;;;;					
303	4						331	331		Footnote 9		Allegheny;;Mifflin borough;;;;;;;					
304	4						331	331		Footnote 10		Allegheny;;Montooth borough;West Liberty borough;;;;;;					
305	4						331	331		Footnote 11		Allegheny;;North Braddock borough;Rankin borough;Swissvale borough;;;;;					
306	4						331	331		Footnote 12		Allegheny;;North Fayette township;Oakdale borough;South Fayette township;;;;;					
307	4						331	331		Footnote 13		Allegheny;;North Versailles township;;;;;;;					
308	4						331	331		Footnote 14		Allegheny;;O'Hara township;;;;;;;					
309	4						331	331		Footnote 15		Allegheny;;Patton township;;;;;;;					
310	4						331	331		Footnote 16		Allegheny;;Pitcairn borough;;;;;;;					
311	4						331	331		Footnote 17		Allegheny;;Pittsburg city;;;;;;;					
312	4						331	331		Footnote 18		Allegheny;;Reserve township;;;;;;;					
313	4						331	331		Footnote 19		Allegheny;;Sterrett borough;;;;;;;					
314	4						331	331		Footnote 20		Allegheny;;Stowe township;;;;;;;					
315	4						331	331		Footnote 21		Allegheny;;Turtle Creek borough;;;;;;;					
316	4						331	331		Footnote 22		Allegheny;;Versailles borough;;;;;;;					
317	4						331	331		Footnote 23		Allegheny;;Versailles township;;;;;;;					
318	4						343	343		Footnote 2		McKean;;Bradford city;;;;;;;					
319	4						331	331		Footnote 24		Allegheny;;Wilkins township;;;;;;;					
320	4						331	331		Footnote 25		Allegheny;;Wilkinsburg borough;;;;;;;					
321	4						331	331		Footnote 26		Armstrong;;Applewood borough;East Franklin township;;;;;;					
322	4						331	331		Footnote 27		Armstrong;;Ford City borough;;;;;;;					
323	4						330	330		Footnote 1		Adams;;Arendtsville borough;Fairfield borough;;;;;;					
324	4						330	330		Footnote 2		Adams;;Fairfield borough;Hamiltonban township;;;;;;					
325	4						330	330		Footnote 3		Allegheny;;ALL;;;;;;;					
326	4						330	330		Footnote 4		Allegheny;;Allegheny city;;;;;;;					
327	4						330	330		Footnote 5		Allegheny;;Aspinwall borough;;;;;;;					
328	4						330	330		Footnote 6		Allegheny;;Avalon borough;;;;;;;					
329	4						330	330		Footnote 7		Allegheny;;Ben Avon borough;;;;;;;					
330	4						330	330		Footnote 8		Allegheny;;Braddock borough;;;;;;;					
331	4						330	330		Footnote 9		Allegheny;;Braddock township;;;;;;;					
332	4						330	330		Footnote 10		Allegheny;;Carnegie borough;;;;;;;					
333	4						330	330		Footnote 11		Allegheny;;Chartiers township;;;;;;;					
334	4						330	330		Footnote 12		Allegheny;;Crafton borough;;;;;;;					
335	4						330	330		Footnote 13		Allegheny;;Duquesne borough;;;;;;;					
336	4						330	330		Footnote 14		Allegheny;;East McKeesport borough;;;;;;;					
337	4						330	330		Footnote 15		Allegheny;;East Pittsburg borough;;;;;;;					
338	4						332	332		Footnote 1		Armstrong;;Manor township;;;;;;;					
339	4						332	332		Footnote 2		Armstrong;;Manor township;;;;;;;					
340	4						332	332		Footnote 3		Armstrong;;Rayburn township;Valley township;;;;;;					
341	4						332	332		Footnote 4		Beaver;;ALL;;;;;;;					
342	4						332	332		Footnote 5		Beaver;;Aliquippa borough;Hopewell township;;;;;;					
343	4						332	332		Footnote 6		Beaver;;College Hill borough;White township;;;;;;					
344	4						332	332		Footnote 7		Beaver;;Daugherty township;Eastvale borough;North Sewickley township;Pulaski township;;;;					
345	4						332	332		Footnote 8		Beaver;;Freedom borough;;;;;;;					
347	4						332	332		Footnote 10		Beaver;;Monaca borough;;;;;;;					
348	4						332	332		Footnote 11		Beaver;;Patterson township;Patterson Heights borough;;;;;;					
349	4						332	332		Footnote 12		Bedford;;Broadtop township;Hopewell borough;;;;;;					
350	4						332	332		Footnote 13		Bedford;;Lincoln township;Union township;;;;;;					
351	4						332	332		Footnote 14		Berks;;Alsace township;Lower Alsace township;;;;;;					
352	4						332	332		Footnote 15		Berks;;Bechtelsville borough;;;;;;;					
353	4						333	333		Footnote 1		Berks;;Washington township;;;;;;;					
354	4						333	333		Footnote 2		Blair;;ALL;;;;;;;					
355	4						338	338		Footnote 7		Delaware;;Colwyn borough;Yeadon borough;;;;;;					
356	4						333	333		Footnote 3		Blair;;Allegheny township;Blair township;Duncansville borough;;;;;					
357	4						333	333		Footnote 4		Blair;;Allegheny township;Blair township;;;;;;					
358	4						333	333		Footnote 5		Blair;;Juniata borough;Logan township;;;;;;					
359	4						333	333		Footnote 6		Blair;;Snyder township;;;;;;;					
360	4						333	333		Footnote 7		Blair;;Tyrone borough;;;;;;;					
361	4						333	333		Footnote 8		Blair;;Willamsburg borough;Woodbury township;;;;;;					
362	4						333	333		Footnote 9		Blair;;Woodbury township;;;;;;;					
363	4						333	333		Footnote 10		Bradford;;Athens township;Sayre borough;;;;;;					
364	4						333	333		Footnote 11		Bucks;;Attleboro borough;Langhorne Manor borough;Middletown township;;;;;					
365	4						333	333		Footnote 12		Bucks;;Bristol township;Falls township;;;;;;					
