adjudicationid	adjudicationtype	adjudicationnumber	adjudicationterm	adjudicationlong	adjudicationshort	adjudicationnotes	adjudicationstatus
135	9	21	1954-03	In re: Appeals from Annexation Ordinance No. 142 of the Borough of Wormleysburg - Complaints of (1) East Pennsboro Township, et al. Appeal of the Borough of Wormleysburg			
136	9	23	1954-03				
137	9	24	1954-03				
138	9	25	1954-03				
139	9	26	1954-03				
140	9	27	1954-03				
141	9	28	1954-03				
142	9	29	1954-03				
143	9	30	1954-03				
144	9	31	1954-03				
145	9	32	1954-03				
146	9	33	1954-03				
147	9	21	1956-03				
148	9	26	1959-03				
149	9	54	1964-03				
150	9	126	1966-03				
151	9	20	1967-03	In re: Ordinance No. 148 for annexation of a portion of Carroll Township, a second class township, by the Borough of Dillsburg			
152	11	8	1898-02				
153	11	27	1904-02				
154	12	13	1898-01				
155	12	29	1900-01				
156	12	4	1900-01				
157	12	6	1900-01				
158	12	58	1903-01				
159	12	9	1905-01				
160	12	63	1908-03	Patrick Higgins, collector of school taxes for the School District of Lackawanna Township, v. Luther Price			
161	12	15	1909-03				
162	12		1949				
163	12	30	1951-02				
164	12	31	1951-02				
165	12	10	1957-02				
166	12	11	1957-02				
167	13	154	1897-04				
168	13	64	1897-04				
169	13	167	1898-04				
170	13	95	1898-04				
171	13	54	1899-04				
172	13	63	1899-04				
173	13	138	1901-04				
174	13	70	1902-04				
175	13	97	1902-04				
176	13	17	1903-04				
177	13	99	1903-04				
178	13	123	1904-04				
179	13	143	1904-04				
180	13	64	1904-04				
181	13	86	1904-04				
182	13	47	1906-04				
183	13	140	1907-04				
184	13	37	1907-04	In the matter of the petition of the City of Pittsburgh for uniting, annexing and consolidating the City of Allegheny to and with the said City of Pittsburgh. Appeal of D. Hunter, Jr., Robert K. Cochrane, John A. Sauer and Herman W. Heckleman, Exceptants.			
185	13	39	1907-04				
186	13	55	1907-04				
187	13	143	1909-04				
188	13	102	1911-04				
189	13	136	1915-04				
190	13	115	1916-04				
191	13	45	1916-04				
192	13	93	1916-04				
193	13	66	1919-04				
194	13	67	1919-04				
195	13	32	1920-04	Appeal of Upper Yoder Township et al.			
196	13	44	1920-04				
197	13	95	1920-04				
198	13	63	1927-04				
199	13	189	1930-04				
200	13	212	1930-04				
201	13	102	1931-04	In re: Annexation of part of Baldwin Township, Allegheny County, Pennsylvania, to the City of Pittsburgh, Allegheny County, Pennsylvania. Appeal of the Township of Baldwin.			
202	13	103	1931-04	In re: Annexation of part of Baldwin Township, Allegheny County, Pennsylvania, to the City of Pittsburgh, Allegheny County, Pennsylvania. Appeal of Joseph J. Holland, Adam Yecko, A. H. Willis, Willliam Hartman and S. A. Hamel			
203	13	137	1934-04				
204	13	187	1936-04				
205	13	225	1936-04				
206	13	17	1940-12				
207	13	106	1942-04	In the matter of the annexation to the Borough of Wikinsburg of a portion of Braddock Township, a contiguous township of the first class, in Allegheny County, Pennsylvania			
208	13	154	1945-04				
209	13	11	1946-04				
210	13	129	1947-04				
211	13	20	1947-04				
212	13	25	1947-04				
213	13	26	1947-04				
214	13	27	1947-04				
215	13	87	1947-04				
216	13	127	1948-04				
217	13	144	1948-04				
218	13	16	1948-04				
219	13	173	1948-04				
220	13	20	1948-04				
221	13	21	1948-04				
222	13	22	1948-04				
223	13	227	1948-04				
224	13	159	1949-04				
225	13	58	1949-04				
226	13	59	1949-04				
227	13	60	1949-04				
228	13	61	1949-04				
229	13	140	1950-04	In the matter of the annexation of a portion of Plum Township, a township of the second class, to the Borough of Oakmont. Appeal of Township of Plum.			
230	13	161	1950-04				
231	13	162	1950-04				
232	13	83	1950-04				
233	13	85	1950-04	In re: Annexation by the Borough of Derry of certain territory in Derry Township adjoining said borough on the northerly side			
234	13	98	1950-04				
235	13	176	1951-04	In re: Annexation by the Borough of Irwin of adjacent land in North Huntingdon Township adjoining the Borough of Irwin on the east. Appeal of the Borough of Irwin.			
236	13	182	1951-04	In re: Annexation by the Borough of Irwin of adjacent land in North Huntingdon Township adjoining the Borough of Irwin on the east. Appeal of the School District of the Borough of Irwin.			
237	13	84	1951-04				
238	13	134	1954-04				
239	13	149	1954-04				
240	13	165	1957-04				
241	13	156	1958-04				
242	13	157	1958-04				
243	13	53	1958-04				
244	13	71	1959-04				
245	13	112	1960-04				
246	13	266	1963-04				
247	13	263	1964-04				
248	13	347	1965-04				
249	13	52	1965-04				
250	13	53	1965-04				
251	13	17	1966-04				
252	13	256	1966-04				
253	13	159	1967-04				
254	13	160	1967-04				
255	13	278	1967-04				
256	13	313	1967-04				
257	13	314	1967-04				
258	13	52	1969-04				
259	13		1970				
260	13	141	1970-04				
261	13	149	1970-04				
262	13	236	1970-04				
263	13	281	1970-04				
264	13	3	1970-04	In re: Incorporation of the Borough of New Stanton. Appeal of Township of Hempfield.			
265	13	300	1970-04				
266	13	301	1970-04				
267	13	302	1970-04				
268	13	469	1970-04				
269	13	498	1970-04				
270	13	511	1970-04				
271	13	72	1970-04				
272	13	748	2005	Fort Cherry School District and Borough of McDonald vs. John C. Gedman, Robin M. Gedman, County of Allegheny, West Allegheny School District, and North Fayette Township			
273	14	336	1960	In re: Petition of John R. Hines, Jr. and Gayle L. Hines, his wife, representing all the residents of Horseshoe Drive for the determination of the boundary line between Allegheny County and Westmoreland County, and possible relocation thereof			
274	14	367	1961	In re: Boundary line between Cambria County and Blair County, Pennsylvania			
275	15	349					
276	15		1920				
277	16	4	1842-03	In the matter of the incorporation of the Borough of Germantown			
278	16	25	1842-07				
279	16	339	1857-01				
280	16	293	1860-01	In the matter of the new Township of Alba			
281	16	324	1860-01	In the matter of the Borough of Little Meadows			
282	16	126	1866-07				
283	16	91	1869-01	In the matter of the erection of a new township out of parts of East Caln and Valley Townships in the County of Chester (Certiorari on behalf of Edwin S. Hamersly, Samuel Greenwood and others			
284	16	236	1884-01				
285	16	194	1885-01		Hatfield Township School District		
286	16	194	1885-07	In the matter of the petition for appointment of viewers to run and ascertain the line between Benner and Union Townships			
287	16	78	1885-07				
288	16	9	1885-07				
289	16	14	1886-01	In re: Incorporation of the town of Coalport, Clearfield County, as a borough			
290	16	181	1886-01				
291	16	247	1886-01		Darby versus Sharon Hill		
292	16	30	1886-01	In the matter of the incorporation of the town of West Clearfield into a borough			
293	16	150	1888-01	In re Incorporation of the Borough of Pennsburg			
294	16	242	1888-01				
295	16	96	1888-01				
296	16	158	1890-07				
297	16	159	1890-07				
298	16	201	1890-07				
299	16	27	1891-07		Plunketts Creek Line w/Shrewsbury		
300	16	76	1891-07				
301	16	418	1892-01				
302	16	461	1892-01				
303	16	187	1894-01				
304	16	325	1894-01				
305	16	107	1894-07		In re: Incorporation of the Borough of Prospect Park		
306	16	84	1894-07				
307	16	344	1895-01				
308	16	409	1895-01				
309	16	413	1895-01				
310	16	484	1895-01		In re: Annexation of a Portion of Chester Township to the City of Chester		
311	16	23	1895-07				
312	16	24	1895-07				
313	16	96	1896-01				
314	16	210	1898-01				
315	16	82	1898-01				
316	16	288	1906-01				
317	16	259	1911-01				
318	16	319	1914-01	Commonwealth of Pennsylvania, ex rel, John C. Bell, Attorney General, v. City of South Bethlehem, Mitchell Walters, Mayor; William Miller, Controller; Samuel Strauss, A. W. Leh, Chas. Drumbore, and Adam Brinker, Councilmen; George Getter, M. P. Cashner, Hugh Kelly, John M. Enright, and Mark Delvin, Aldermen			
319	16	26	1915-01				
320	16	300	1915-01				
321	16	178	1920-01				
322	16	47	1930-01				
323	16	9	1932-01			Allentown Ordinance 2637	
324	16	109	1953-01				
325	16	113	1953-01				
326	16	202	1953-01				
327	16	203	1953-01				
328	16	204	1953-01				
329	16	205	1953-01				
330	16	272	1953-01				
331	16	337	1955-01				
332	16	338	1955-01				
333	16	339	1955-01				
334	16	204	1960-01				
335	16	25	1960-01				
336	16	409	1960-01				
337	16	255	1961-01				
338	16	260	1961-01				
339	16	261	1961-01				
340	16	262	1961-01				
341	16	263	1961-01				
342	16	264	1961-01				
343	16	265	1961-01				
344	16	266	1961-01				
345	16	267	1961-01				
346	16	93	1961-01				
347	16	94	1961-01				
348	16	158	1963-01				
349	16	15	1964-01				
350	16	95	1964-01				
351	16	485	1971-01				
352	16	78	1990				
353	18	420	1992				
354	18	473	1994				
355	18	228	1995				
356	18	724	2014				
357	19	29	1845-05	In the matter of the division of Bethel Township			
358	19	79	1845-05				
359	19	8	1914-05	Commonwealth of Pennsylvania ex relatione, John C. Bell, Attorney General, v. City of Pottsville, a municipal corporation, F. Pierce Mortimer, mayor; Harry K. Portz, controller; Hugh Dolan, A. L. Eckert, James M. Shellhammer, Joseph H. Nichter, councilmen; and F. S. Freiler, P. J. Martin, Frank Little, Horace McCool, Joseph Johnson, T. E. Hummel and C. Ackerman, aldermen, officers of said City of Pottsville			
360	19	20	1957-05				
361	19	30	1966-05				
362	19	46	1974-05				
363	19	47	1974-05				
364	19	126	2014				
365	20	64A	1956				
366	20	127	2015				
367	21		1904				
368	21		1904				
369	21		1906				
370	21		1916				
371	21		1919				
372	21	108	1971				
373	21	204	1983	In re: Incorporation of Borough of Seven Fields. Cranberry Township v. Canterbury Village, Inc.			
374	21	716	1999				
375	21	299	2004				
376	21	410	2010				
377	21	415	2013				
378	21	24	2016				
379	22	39	1841-09		In the Matter of the District of the City of Pittsburgh		
380	22	11	1849-09	Commonwealth of Pennsylvania ex relatione John Aspey + Daniel Todd v. Samuel Fullerton + Joseph Funk			
381	22	22	1853-09				
382	22	94	1853-09				
383	22	79	1858-10				
384	22	34	1867-10	Mt. Pleasant Boro. Town Council vs. Jas. Shields et al.			
385	22	70	1867-10				
386	22	17	1871-10	In re: Petition for Independent School Dist. in Wilkins township			
387	22	132	1875-10				
388	22	255	1876-10	In re: Division of Plum Tp.			
389	22	78	1878-10	Borough of McKeesport vs. Francis Owens et al.			
390	22	32	1882-10				
391	22	59	1882-10				
392	22	50	1886-10				
393	22	160	1888-10	Appeal of T. M. Richards, Burgess of Ebensburg			
394	22	139	1889-10	In re: Incorporation of the Borough of Jeannette			
395	22	265	1889-10				
396	22	266	1889-10				
397	22	10	1890-10	In re: Incorporation of the Borough of Edgewood			
398	22	287	1891-10	In re: Division of Valley Township			
399	22	300	1891-10	In re: Incorporation of the Village of Duquesne			
400	22	112	1892-10	In re: Petition for incorporation of Village of Ohiotown or West Reynoldsville			
401	22	47	1893-10	In re: Incorporation of Versailles Borough			
402	22	8	1893-10	In re: Incorporation of the Borough of Mentone (afterwards changed to the Borough of Ben Avon)			
403	22	93	1900-10				
404	22	201	1904-10				
405	22	22	1907-10				
406	22	56	1916-10				
407	22	81	1918-10				
409	22	178	1931-03				
410	22	179	1931-03				
412	22	186	1931-03				
413	22	37	1931-03				
415	22	183	1947-03				
416	22	184	1947-03				
417	22	185	1947-03				
419	22	36	1947-03				
420	22	37	1947-03				
421	22	44	1953-03				
422	22	63	1953-03				
423	22	100	1958-03				
424	22	70	1959-03				
425	22	196	1960-03				
426	22	223	1960-03				
427	22	229	1960-03				
428	22	48	1961-03				
429	22	236	1962-03	In re: Annexation of portion of South Pymatuning Township to Borough of Clarksville			
430	22	8	1962-03				
431	22	12	1963-03				
432	22	125	1963-03	In re: Annexation of part of Penn Township by Manor Borough			
433	22	220	1963-03				
434	22	211	1964-03				
437	22	212	1964-03				
438	22	260	1966-03				
439	22	160	1969-03				
440	22	161	1969-03				
441	22	246	1969-03				
442	22	83	1972-03				
443	22	12	2016				
444	23	81	1897-05	In re: Incorporation of the Borough of Linton			
445	23	117	1905-04	Thomas G. Sample, Caspar C. Heckel and John M. Allen v. The City of Pittsburg, a municipal corporation, and William B. Hays, Mayor, James S. Wrightman, President of Select Council and R. B. Ward, President of Common Councils of the City of Pittsburg			
446	23	625A	1930-08				
447	23	762A	1934-02				
448	23	1214A	1942-04	In the matter of the annexation to the Borough of Wikinsburg of a portion of Braddock Township, a contiguous township of the first class, in Allegheny County, Pennsylvania			
449	23	1391A	1945				
450	23	1441A	1946				
451	23	1468A	1947				
452	23	1469A	1947				
453	23	1470A	1947				
454	23	1549A	1948				
455	23	1779A	1951				
456	23	1783A	1951				
457	23	1790A	1951				
458	23	2043A	1955				
459	23	2806A	1966				
460	23	2860A	1967				
461	23	3239A	1970				
462	23	3341A	1970				
463	23	3343A	1971				
464	23	3344A	1971				
465	23	3390A	1971				
466	25	738	1901-10				
467	24	1229	1915-01				
468	24		1873-11				
469	1253	1	1884-09				
470	25	711	1900-04				
471	25	671	1900-10	Corey v. Borough of Edgewood			
472	25	235	1901-07				
473	1252	538	1908-02				
474	24	222	1963-07				
475	26	9	1931-03				
476	26	75	1931-06				
477	27	172	1879-02				
478	28	53	1914-10				
479	29	1002	1909	Thomas D. Fister, William S. Kutz, David S. Keck, Edwin S. Kutz and William G. Kemp vs. Borough of Kutztown, Henry W. Saul, Chief Burgess, and Lewis S. Stein, William F. Stimmel, Nicholas M. Rahn, William B. Schaeffer, Stephen W. Keinert and Pierce S. Schell, Town Council			
480	29	1082	1912	Anna Eliza Treichler, Rosa A. Butz, Edwin S. Kutz, Jacob S. Swoyer, Mahlon W. Spangler, and Edgar S. Dietrich vs. Borough of Kutztown, Henry W. Saul, Chief Burgess, and Lewis A. Stein, Frank Butz, Pierce Shell, Warren Fisher, Benjamin D. Druckenmiller and Benjamin Deibert, Town Council			
481	29	1107	1913	Anna Eliza Treichler, James G. Treichler and David L. Treichler vs. The Borough of Kutztown, the School District of the Borough of Kutztown, and Charles A. Frey, Collector of Taxes of the Borough of Kutztown			
482	30		1860-07				
483	30	62	1905-06				
484	30	114	1967-01				
485	31	276	1911-09		Doty Hill ISD: Re-establishment		
486	31	38	1912-09		LeCanville ISD: Re-establishment		
487	31	60	1920-12		LeCanville ISD: Abolished		
488	31	289	1933-05		Overton: Abolished		
489	31	41	1938-09	In re: Merger of the School District of Burlington Borough with the School District of Burlington Township			
490	31	42	1938-09	In re: Merger of the School District of Rome Borough with the School District of Rome Township			
491	31	31	1940-09		Doty Hill ISD: Abolished		
492	32		1838-04		Doylestown Bo Election Returns		
493	32		1838-04		Newton Bo Election Ret		
494	33	38	1938-06	In re: Merger of Fairview Borough School District with the Fairview Township School District			
495	33	39	1938-06	In re: Merger of the Cherry Valley School District with the Eau Claire Borough School District			
496	34	3	1888-06				
497	35	478	1907				
498	35	533	1909				
499	35	534	1909				
500	36	332	1872-07	In the matter of the application to change the name of the Borough of "Springville" to the name of the "Borough of Spring City"			
501	940	1	1915-08				
502	940	20	1916-04				
503	37	62	1911-08		Creation of Foxburg Independent School District		
504	37	157	1930-05	In the matter of the abolishment of the Foxburg Independent School District			
505	38	96	1905-09				
506	39	2	1878-12				
507	40	6	1869-09	Petition for incorporation of the town of Logansville into a borough			
508	40	1	1870-05		Report of commissioners auditing the indebtedness of Grove Township, partly in Cameron County and partly in Clinton County, pursuant to the Act of April 1, 1868		
509	40	1	1872-09	Petition to annex a part of Lamar Township to Dunnstable			
510	40	1	1887-02	Petition of the Chief Burgess and Town Council of Beech Creek Borough to amend their Charter			
511	40	3	1887-09				
512	40	4	1888-02	Petition for a change of the corporate style and title of  the Borough of Logansville to the title of Loganton			
513	40	1	1892-01	Petition of citizens of Flemington to be incorporated into a Borough			
514	40	1	1892-09				
515	40	5	1894-09	Petition of citizens of the Township of Chapman to or for the annexation to the Boro. of Renovo			
516	40	3	1908-04	In the matter of the incorporation of the town of Avis, Pine Creek Township, Clinton County, Pennsylvania, into a Borough			
517	40	10	1920-01				
518	40	4	1938-04				
519	40	2	1943-04				
520	40	3	1948-01	Petition for annexation of part of Castanea Township Clinton Co. Pa. to the City of Lock Haven, Pa.			
521	40	5	1960-10	In the matter of the annexation of a portion of Bald Eagle Township, Clinton County, Pennsylvania, which annexed land is solely owned and contiguous to the Borough of Mill Hill			
522	41	8	1938-08	In re: Merger of the Pine Township School District with the Linesville Borough School District			
523	41	49	1943-09		Penn Line ISD		
524	41	81	1948-09		Richmond ISD		
525	41	118	1953-02		Putnam ISD		
526	42	2	1884				
527	43		1938	In re: Merger of the Cooke Township School District with the Penn Township School District			
528	43	154	1961-05	In the matter of the holding of offices in Cumberland County, Pennsylvania			
529	44	2	1914	Commonwealth of Pennsylvania ex relatione, John C. Bell, Attorney General, v. City of Pottsville, a municipal corporation, F. Pierce Mortimer, mayor; Harry K. Portz, controller; Hugh Dolan, A. L. Eckert, James M. Shellhammer, Joseph H. Nichter, councilmen; and F. S. Freiler, P. J. Martin, Frank Little, Horace McCool, Joseph Johnson, T. E. Hummel and C. Ackerman, aldermen, officers of said City of Pottsville			
530	44	173	1950	Francis Barrett, Bridget Shea, and Alfred Hoover, vs. Francis B. Haas, Superintendent of Public Instruction; State Council of Education; T. McKean Chidsey, Attorney General; School District of Lackawanna Township, a corporation; and School District of the City of Scranton, a corporation	Equity No. 1943		
531	44	166	1951	School District of Susquehanna Township vs. Department of Public Instruction State Council of Education			
532	44	52	1954	Elmer L. Esbenshade and The School District of the City of Lancaster, Pennsylvania vs. Department of Public Instruction State Council of Education			
533	44	53	1954	The School District of the City of Lancaster, Pennsylvania vs. Department of Public Instruction State Council of Education			
534	1263	9	1893-09				
535	45	176	1899-06				
536	45	99	1946-06		Appointment of School Directors for Borough of Chester Heights		
537	46	4	1870-05	R.S. Battles, George C. Gallowhur and Erastus Hathaway vs. The Burgess and Town Council of the borough of Girard			
540	47	175	1911-12				
541	49	568	1902-01	Commonwealth ex rel. John J. Coyne vs. County Commissioners of Lackawanna County			
542	49	63	1906-05	Commonwealth ex rel. William R. Lewis, District Attorney, vs. William Parsons			
543	49	654	1907-01		A. M. Harris vs. Taylor Borough School District		
544	49	351	1907-09	Patrick Higgins, collector of school taxes for the School District of Lackawanna Township, v. Luther Price			
545	49	1040	1926-01	In re: Independent School District of Abington			
546	49	754	1938-05	In re: Merger of the School District of the Township of North Abington with the Independent School District of Abington			
547	49	346	1952-01	Hubert Gordon, Michael Butler and Patrick A. McLane vs School District of Lackawanna Township, Charles Sipple, Chester Diskin, and Bart Cusick			
548	50	1	1879-05	Peter Walsh vs. The Boro of Blakely, The Boro of Jermyn, The Boro of Dickson City, The Boro of Winton, The Boro of Archbald, The Boro of Olyphant			
549	50	2	1879-05	Patrick Jordan vs. Archbald Borough, Blakely Borough, Winton Borough, Olyphant Borough, Dickson Borough, Jermyn Borough			
550	50	2	1881-04	C. Smith and others as their interests appear vs. The School District of the Borough of Archbald, The School District of the Borough of Blakely, The School District of the Borough of Winton, The School District of the Borough of Olyphant, The School District of the Borough of Dickson + The School District of the Borough of Jermyn			
551	50	7	1882-06	The Burgess and Town Council of the Borough of Glenwood vs. The Township of Carbondale			
552	50	2	1889-11	Borough of Dunnings vs. Township of Roaring Brook			
553	50	3	1894-05	Township of Lackawanna vs. Borough of Taylor			
554	50	3	1894-11	John Hale, who brings this action as well for himself as for other taxpayers of the City of Scranton who may wish to join and become parties to said bill vs. James Butler, Tax Collector of Lackawanna Township			
555	50	1	1895-05	The Borough of Taylor vs. The Township of Old Forge			
556	50	3	1896-03	The School District of Carbondale Township vs. Carbondale City School District			
557	50	7	1900-09	The Township of Fell vs. Borough of Vandling			
558	50	5	1901-03	The Borough of Old Forge vs. The Township of Old Forge, through its supervisors, John Naegli and H. Schulthies			
559	50	10	1903-05	The Township of Lackawanna vs. The Borough of Moosic			
560	50	9	1913-10	Lackawanna Township vs. Borough of Moosic, Borough of Taylor, City of Scranton			
561	51	31	1852-07		New Castle Boro Surrender of Special Charter		
562	52	2	1915-03				
563	53		1849-06				
564	53	5	1912-09		Edinburg ISD		
565	54	78	1889-03		Hoffman vs. Matthes et al.		
566	55	4	1885	North Cornwall Township vs. Cornwall Township			
567	55	8	1896	Cornwall Township vs. West Cornwall Township			
568	57				The Township of Jenkins v. The Borough of Yatesville		
569	57		1885-04				
570	57		1886-08		Woodward et al. v. The City of Wilkes-Barre		
571	57		1888-06		The Township of Kingston v. The Borough of Luzerne et al.		
572	57	45	1892-05				
573	57	282	1893-05				
574	57		1898-11		Hunlock v. Jones et al.		
575	57		1899-03		Commonwealth ex rel. McManus v. Ricketts		
576	57		1899-03		Commonwealth ex rel. Wright v. Hillman et al.		
577	57		1901-01		Commonwealth ex rel. Yeager v. Nichols		
578	57		1901-02		Commissioners of the Township of Plymouth v. Sweeney et al.		
579	57		1901-06		Commonwealth ex rel. v. Rooney et al.		
580	57	41	1905-12				
581	57	882	1911-10		Namcarrow v. Smith et al., Co. Com.		
582	57	198	1912-01		McDonough et al. v. Murray et al.		
583	57	805	1921-07				
584	58	5	1908-02				
585	58	1	1916-02				
586	59	1	1919-06				
587	60	5	1909-03	Township of West Norriton vs. Township of East Norriton			
588	60	6	1910-03	The Borough of Jenkintown vs. The Township of Abington			
589	60	5	1912-03		Township of Upper Gwynedd vs. Borough of North Wales		
590	60	6	1915-12		Blank, et al. v. Borough of Souderton		
591	60	9	1927-11		The Township of Upper Merion, Montgomery County, Pa. et al, vs. The Borough of Bridgeport, Montgomery County, Pa., et al.		
592	61	44	1899-06				
593	528	2	1913-04				
594	61	28	1914-02	Commonwealth of Pennsylvania, ex rel, John C. Bell, Attorney General, v. City of South Bethlehem, Mitchell Walters, Mayor; William Miller, Controller; Samuel Strauss, A. W. Leh, Chas. Drumbore, and Adam Brinker, Councilmen; George Getter, M. P. Cashner, Hugh Kelly, John M. Enright, and Mark Delvin, Aldermen			
595	528		1918		Wilson A. Coleman vs. William H. Yeakel et al.		
596	62	146	1909-12				
597	62	204	1911-09		Formation of Dalmatia Independent School District		
598	62	449	1934-05	In re: Dalmatia Independent School District			
599	63	294	1907				
600	63	340	1911	John Murray, Anthony Dane, William Murhpy, W. E. Kearney, W. J. Buggy, M. J. Concannon, Joseph Rehnert, Andrew Lechleitner and Martha Jones v. Wm. H. R. Smink, Chief Burgess, and Samuel McElwee, Ralph Smith, A. G. Shissler, William Smith, George Culp, George W. Dyer, Edward Earley, Arthur Adams, George Schroyer, William Williams, Evan R. Edwards, Christopher Golden, James Long, William Witmer, John Malick, J. E. Dockey, George A. Shipe, Ralph Zimmerman, A. A. Reed, George O. Auman, members of the Town Council of the Borough of Shamokin, in sad County of Northumberland, and the Borough of Shamokin			
601	63	393	1914				
603	65	1	1868-06				
604	65	5	1870-03				
605	65	2	1870-09				
606	65	4	1871-03				
607	65	1	1876-09				
608	65	3	1896-11				
609	65	3	1906-05				
610	67	220	1964-05				
611	67	624	1964-05				
612	70		1856-04	In the matter of the application of the citizens of Wellersburg for charter of incorporation			
613	70		1857-04	In the matter of the application of the citizens of Salisbury for charter of incorporation			
