lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
52	359	1917	143	76		To amend sections one, three, and five of article three of an act, entitled "An act providing for the incorporation, regulation, and government of cities of the third class; regulating nomination and election of municipal officers therein; and repealing, consolidating, and extending existing laws in relation thereto," approved the twenty-seventh day of June, Anno Domini one thousand nine hundred thirteen	1917-05-03				f					\N
54	361	1844	599	16		Relative to the boundary line of Mauch Chunk and Lausanne township, in the county of Carbon	1844-03-02				f					\N
55	359	1845	292	202		Incorporating East Waterford, in the county of Juniata, into a borough	1845-04-02				f					\N
56	359	1842	374	116		Concerning the Trust Estate of Hugh Roberts, deceased, and for other purposes	1842-07-16				f					\N
57	359	1846	241	201		To incorporate the borough of Girard, in the county of Erie	1846-04-03				f					\N
58	448	17	480	2391		To organize the provisional counties of Beaver, Butler, Mercer and Erie, for judicial purposes	1803-04-02				f					\N
59	359	1846	24	23		To divide Cedar Ward, in the city of Philadelphia, into three wards	1846-02-04				f					\N
60	359	1931	1206	331		Concerning townships of the first class; amending, revising, consolidating, and changing the law relating thereto	1931-06-24	1931-07-01			f					\N
61	359	1869	1216	1204		To change the southern boundary line of the borough of Curwensville, in the county of Clearfield	1869-04-24				f					\N
62	359	1827-1828	89	51		To incorporate the borough of Williamsburg, in Huntingdon county	1828-02-19				f					\N
63	359	1860	531	439		To annex a part of the township of New Castle to the township of East Norwegian, in the county of Schuylkill	1860-04-02				f					\N
64	359	1827-1828	47	35		To incorporate the town of Mount Pleasant, in the county of Westmoreland, into a borough	1828-02-07				f					\N
65	359	1873	266	274		A further supplement to an act to extend the limits of the borough of Indiana, approved May twenty-second, one thousand eight hundred and sixty-seven, changing the limits as fixed in the supplement to said act, approved May first, Anno Domini one thousand eight hundred and sixty-eight	1873-03-12				f					\N
67	359	1854	790	715		To incorporate the village of Columbus, in Warren county, into a borough	1853-02-03				f					\N
68	359	1871	122	135		Dividing the Twentieth ward of the city of Philadelphia, and to create the Twenty-ninth ward in said city	1871-02-23				f					\N
69	359	1866	574	548		For the extension of the boundaries of the borough of Carrolltown, in the county of Cambria	1866-04-11				f					\N
70	359	1869	13	12		To settle, determine and locate the southern boundary line of this Commonwealth	1869-03-20				f					\N
71	359	1873	762	846		To repeal an act to lay out and make a state road in Clearfield county, and to regulate the application of taxes on the lands therein named	1873-04-10				f					\N
72	361	1851	744	9		Relative to a new county to be called "Forrest"	1848-04-11				f					\N
73	359	1870	619	601		To incorporate the city of Lock Haven	1870-03-28				f					\N
74	447	16	64	1986		For erecting part of the County of Northampton into a separate county	1798-03-21				f					\N
75	359	1832-1833	222	115		Relative to supervisors in Loyalsock township, Lycoming county, and collectors in certain townships, in Fayette county, and for other purposes	1833-04-08				f					\N
76	359	1859	642	638		To run and define a part of the boundary line between the counties of Mifflin and Huntingdon	1859-04-14				f					\N
77	358	1812-1813	136	108		To incorporate the district of Spring Garden	1813-03-22				f					\N
78	359	1853	188	135		Relative to defining the limits of the borough of Venango, in Crawford county; to the sale of real estate in Montgomery county; to the inspection of ground black oak bark; relative to the boundary line between Centre, Mifflin, and Huntingdon counties; and repealing the act attaching the farm of Levi Bull to the township of Nantmeal, Chester county, for school purposes, and relative to the Northern Liberties and Penn Township railroad company	1853-03-15				f					\N
79	359	1852	405	258		To erect a new election district out of parts of Coal Brook and Chapman townships, in Clinton county; to extend the limits of the borough of North East, in the county of Erie; erecting the borough of Centreville, Butler county, into a separate election district; regulating certain districts in the counties of Cumberland and Lawrence; incorporating the Philadelphia Institute; fixing the time and place for the election of officers to conduct the affairs of the Lackawanna and Susquehanna railroad company, and relative to the collection of State and county taxes in Spring township, Berks county	1852-04-23				f					\N
81	359	1851	14	16		Extending the limits of the borough of Coudersport	1851-01-28				f					\N
82	359	1842	449	128		To provide for the education of the poor in the non-accepting school districts of this Commonwealth, and for other purposes	1842-07-30				f					\N
83	359	1872	636	584		To repeal an act to transfer the farm of Jacob Renner, for the purpose of taxation, from Spring Hill to Gilmore township, in Greene county	1872-03-29				f					\N
84	359	1843	48	22		Regulating Election Districts	1843-03-07				f					\N
85	359	1844	142	95		Incorporating the borough of Frankfort Springs, in Beaver county	1844-03-19				f					\N
86	358	1820-1821	41	33		To erect the town of Lebanon, in the county of Lebanon, into a borough	1821-02-20				f					\N
87	359	1830-1831	351	170		To alter the boundaries of the borough of Jersey Shore, in the county of Lycoming	1831-04-02				f					\N
88	359	1826-1827	341	150		To incorporate the towns of Jefferson and Hamilton, in Greene county, into a borough	1827-04-14				f					\N
89	359	1847	150	108		Relating to election districts	1847-02-24				f					\N
90	359	1871	766	699		To incorporate Gouldsborough	1871-05-12				f					\N
91	359	1865	518	502		To change the name of Brady township, in Union county	1865-03-21				f					\N
92	359	1870	242	234		To extend the boundaries of the city of Erie	1870-02-25				f					\N
93	449	18	120	2665		To organize the provisional County of Indiana	1806-03-10				f					\N
94	359	1860	545	451		Confirming the charter of the borough of Manchester	1860-04-02				f					\N
95	359	1860	358	351		Relative to borough of Franklin	1860-03-30				f					\N
96	359	1866	1034	995		To incorporate the city of Scranton	1866-04-23				f					\N
97	359	1870	761	698		To attach a certain farm in Lykens township, Dauphin county, to Washington township, Dauphin county, to Washington township, Dauphin county, for school and all other purposes	1870-04-01				f					\N
98	359	1852	722	416		To incorporate the village of Turnersville, in Crawford county, into a borough	1851-04-15				f					\N
99	359	1852	466	290		To authorize the commissioners of Butler county to borrow money; and relative to the boundaries of the borough of Kittanning	1852-04-27				f					\N
100	359	1830-1831	38	32		To erect the village of Honesdale, in the county of Wayne, into a borough	1831-01-28				f					\N
101	328	1880	503	340		To provide for the settlement of the boundary lines between the State of New York and the States of Pennsylvania and New Jersey, respectively	1880-05-20				f					\N
102	359	2011	610	132		Amending the act of August 9, 1955 (P.L.323, No.130), entitled, as amended, "An act relating to counties of the first, third, fourth, fifth, sixth, seventh and eighth classes; amending, revising, consolidating and changing the laws relating thereto; relating to imposition of excise taxes by counties, including authorizing imposition of an excise tax on the rental of motor vehicles by counties of the first class; and providing for regional renaissance initiatives," further providing for classification of counties	2011-12-22				f					\N
103	359	1848	409	305		To incorporate the town of New Buffalo, in the county of Perry, into a borough	1848-04-08				f					\N
104	358	1812-1813	106	80		To erect the town of Orwigsburg, in the county of Schuylkill, into a borough	1813-03-12				f					\N
105	358	1811-1812	195	141		To alter a certain line between the counties of Mifflin and Huntingdon, on the river Juniata	1812-03-30				f					\N
106	359	1860	846	685		To incorporate the borough of New Columbus, in the county of Luzerne	1859-04-11				f					\N
107	359	1851	216	163		A Supplement to the act erecting parts of Bedford county into a separate county, to be called Fulton, approved the nineteenth day of April, Anno Domini, one thousand eight hundred and fifty	1851-03-24				f					\N
108	359	1849	235	195		To incorporate the Island, in Conemaugh township, Cambria county, into a borough, to be called Conemaugh	1849-03-23				f					\N
109	358	1817-1818	207	105		To incorporate the city of Lancaster	1818-03-20				f					\N
110	359	1827-1828	14	10		To repeal the act entitled, "An act to incorporate the borough of Selinsgrove, in Union county, and the town of Berlin, in the county of Somerset, so far as relates to the borough of Selinsgrove	1828-01-11				f					\N
111	358	1819-1820	176	120		Appointing commissioners to run and mark the division line between the counties of Centre and Union	1820-03-28				f					\N
112	359	1830-1831	343	168		To erect Youngstown, in the county of Westmoreland, into a borough	1831-04-02				f					\N
113	359	1859	238	245		A Supplement To the Charter of the borough of Harrisburg	1859-03-24				f					\N
114	359	1866	1231	1124		To incorporate the city of Williamsport	1866-01-15				f					\N
115	359	1861	222	226		Supplement to an act of the twenty-seventh April, one thousand eight hundred and forty-four, to extend the limits of the borough of Prompton, in Wayne county	1861-03-29				f					\N
116	359	1846	86	73		Regulating election districts	1846-03-07				f					\N
117	359	1848	34	33		To incorporate the village of Coudersport into a borough	1848-02-07				f					\N
118	359	1840	146	59		For the better ascertaining and establishing the boundary line between the counties of Jefferson, Warren, M'Kean and Clearfield, and for other purposes	1840-03-17				f					\N
119	447	6	214	481		For erecting the southern suburbs of the City of Philadelphia into the District of Southwark, for making the streets and roads already laid out therein public roads and highways, and for regulating such other streets and roads as the inhabitants may hereafter lay out, and for other uses and purposes therein mentioned	1762-03-26				f					\N
120	359	1858	346	384		In regard to the name of Nelson Township, Tioga countty	1858-04-20				f					\N
121	359	1850	1051	474		To incorporate the village of Conshohocken, in the Townships of Plymouth and Whitemarsh, in Montgomery County, to be called the Borough of Conshohocken ; and relative to the Borough of Mauch Chunk	1850-05-15				f					\N
122	359	1850	113	99		Regulating certain election districts	1850-02-28				f					\N
123	358	1820-1821	145	83		Annexing to Lebanon county that part of East Hanover and Bethel townships which lies north of the Blue or Kittatiny mountain in Dauphin county	1821-03-29				f					\N
124	359	1829-1830	161	99		To organize the provisional county of Jefferson for judicial purposes	1830-04-02				f					\N
125	359	1853	146	116		To erect the village of Darby, Delaware county, into a borough.	1853-03-03				f					\N
126	359	1848	429	313		Relative to the supervisors of Franklin township, Armstrong county, the supervisors of South Lebanon township, Lebanon county, and to extend the boundaries and police power of the borough of Erie	1848-04-10				f					\N
127	359	1867	979	905		A supplement to an act annexing the borough of Manchester to Allegheny city, approved March twelfth, one thousand eight hundred and sixty-seven	1867-04-09				f					\N
128	359	1861	335	317		Re-annexing part of Brady township, in Lycoming county, to Union county	1861-04-17				f					\N
129	359	1965	1656	581		Concerning boroughs, and revising, amending and consolidating the law relating to boroughs	1966-02-01				f					\N
130	359	1842	222	79		Erecting a new county out of the northern part of Luzerne County, to be called Wyoming	1842-04-04				f					\N
131	447	11	359	1107		For erecting the southwestern part of the county of Cumberland into a new county	1784-09-09				f					\N
132	359	1850	305	243		To incorporate the borough of Leechburg, in the county of Armstrong; and relative to treasurer's sales	1850-03-22				f					\N
133	448	17	107	2271		To erect the town of Beaver, in the county of Beaver, into a borough, and for other purposes	1802-03-29				f					\N
134	359	1862	284	289		To enlarge the boundaries of the borough of West Greenville, in Mercer county	1862-04-05				f					\N
135	359	1871	283	264		For the further regulation of boroughs	1871-06-02				f					\N
136	359	1852	401	256		To incorporate the village of Port Carbon, in the county of Schuylkill, into a borough	1852-04-23				f					\N
137	359	1845	222	159		To incorporate the village of Pleasant Mount, in the county of Wayne, into a borough	1845-03-27				f					\N
138	359	1868	542	505		To incorporate the borough of Baden, in Beaver county	1868-04-01				f					\N
139	359	1905	221	161		Providing that where two cities are contiguous, and in the same county, the smaller may be annexed to the larger; prescribing the method of proceeding and the effect of annexation; providing for the division of such enlarged cities into wards, for the apportionment of common council, and for the indebtedness of such cities	1905-04-20				f					\N
140	359	1861	186	183		To repeal an act to change the name of Brownsville	1861-03-22				f					\N
141	359	1861	104	108		Revising the charter of the municipal corporation of the city of Reading	1861-03-13				f					\N
142	477	1887/1	238	2		To provide for the acceptance and confirmation of the reports of the joint boundary commission of the boundary lines between West Virginia and Pennsylvania	1887-05-06	1887-08-02			f					\N
143	359	1854	303	284		Declaring certain lands lying in Clarion county, to be attached to Venango county	1854-04-06				f					\N
144	359	1852	445	279		To incorporate the Tioga and Elmira Plank Road Company; relative to roads in Oliver and Miller townships, in Perry county; to elections in M'Candless township, Allegheny county; to James M'Combs, of Lancaster county; to streets in the borough of Indiana; and to the pay of poor house directors, of Blair county	1852-04-27				f					\N
145	359	1869	195	171		To repeal an act, entitled "An Act to annex the real estate of William M'Sherry, in Germany township, Adams county, to the borough of Littlestown, for school purposes	1869-02-18				f					\N
146	358	1817-1818	130	67		To annex parts of Columbia and Luzerne counties, to the county of Schuylkill	1818-03-03				f					\N
147	359	1834-1835	106	75		To change a part of the line between the counties of Franklin and Cumberland, to establish the division line between the counties of Huntingdon and Mifflin, and relative to the line between Perry and Juniata	1835-04-04				f					\N
148	359	1866	238	217		To change the limits of the Saegerstown school district, in Crawford county	1866-03-16				f					\N
149	359	1844	572	373		Regulating election districts	1844-05-08				f					\N
150	359	1844	429	287		To incorporate the borough of Woodcock, in the county of Crawford	1844-04-27				f					\N
151	359	1862	602	553		To incorporate the town of Newburg, Cumberland county, into a borough	1861-04-17				f					\N
152	359	1861	566	527		To change the boundaries of the borough of Stewartstown, York county	1861-05-01				f					\N
153	359	1853	484	293		To amend the charter of the city of Erie; relating to the borough of Waterford; authorizing the Marvin's Mills Plank Road company to borrow money; changing the place of holding elections in Concord township, and authorizing the school directors of said township to lay a special school tax; relating to road tax in Mill Creek township, in Erie county	1853-04-18				f					\N
154	358	1809-1810	23	24		To erect the town of Washington, in the county of Washington, into a borough	1810-02-12				f					\N
155	359	1859	117	111		A further supplement for the division of the Borough of Allentown into wards	1859-03-08				f					\N
156	359	1827-1828	308	137		To erect the town of Mechanicsburg, in the county of Cumberland, into a borough	1828-04-12				f					\N
157	359	1833-1834	520	234		Extending the bounds of the borough of Erie	1834-04-15				f					\N
158	359	1844	170	113		To alter the boundary lines of the borough of Orwigsburg	1844-03-29				f					\N
159	359	1850	106	95		To erect and regulate certain townships and election districts in Beaver and Lawrence counties; and relative to the road laws in certain counties	1850-02-28				f					\N
160	359	1830-1831	222	120		Erecting the village of Athens, in the county of Bradford, into a borough	1831-03-29				f					\N
161	449	18	909	3008		To alter a certain part of the line which divides the counties of Mercer and Crawford	1808-03-28				f					\N
162	447	15	248	1811		To erect the town of Bedford, in the county of Bedford, into a borough	1795-03-13				f					\N
163	359	1853	642	359		To appoint commissioners to run and mark the county lines between Bedford, Fulton and Huntingdon	1853-04-20				f					\N
164	358	1818-1819	111	77		To reannex part of Mifflin county to the county of Union	1819-03-16				f					\N
165	359	1939	430	242		Providing a method of annexation of parts of townships of the first class, in counties of the second class, not in excess of twenty per centum of the assessed value of any such township in counties of the second class, to contiguous cities of the second class, boroughs, or other contiguous townships of the first class, and regulating the proceedings pertaining thereto	1939-06-19				f					\N
166	359	1849	227	192		To incorporate the village of Providence, in the county of Luzerne, into a borough	1849-03-14				f					\N
167	359	1853	124	101		A further supplement to the act of Assembly incorporating the borough of Allentown	1853-02-26				f					\N
168	359	1847	256	199		To erect part of Norwegian township, in Schuylkill county, into a new township, to be called East Norwegian township, and for other purposes	1847-03-08				f					\N
169	359	1844	386	260		To incorporate the borough of Conneautville, in the county of Crawford	1844-04-25				f					\N
170	359	1859	83	77		Authorizing the appointment of commissioners to run the boundary lines between the counties of Clinton and Centre	1859-02-25				f					\N
171	359	1871	1051	945		Relating to the borough of East Conemaugh, in the county of Cambria	1871-05-22				f					\N
172	359	1847	224	172		To incorporate the borough of Titusville, in the county of Crawford	1847-03-06				f					\N
173	359	1867	1233	1163		To annex that part of the farm of William Nickle, which is situate in South Mahoning township, Indiana county, to East Mahoning township, in said county	1867-04-13				f					\N
174	447	8	143	644		For erecting a part of the counties of Lancaster, Cumberland, Berks, Northampton and Bedford into a separate county	1772-03-21				f					\N
175	358	1813-1814	146	93		To erect the towns of Bellefonte and Smithfield in Centre county into a borough, and to repeal the act heretofore passed incorporating the borough of Bellefonte	1814-03-18				f					\N
176	359	1860	529	438		To appoint commissioners to run and mark the county line between Juniata and Perry counties	1860-04-02				f					\N
177	358	1810-1811	114	86		To establish the boundary lines of Ontario county	1811-03-28				f					\N
178	359	1893	465	337		Making an appropriation to mark with a permanent monument the point known as Cherrytree or Canoe Place	1893-06-16				f					\N
179	359	1845	88	68		Supplementary to "An Act to incorporate the city of Pittsburg"	1845-03-01				f					\N
180	359	1843	192	96		To erect Newton Hamilton, in the county of Mifflin, into a borough	1843-04-12				f					\N
181	359	1847	421	346		Regulating election districts.	1847-03-16				f					\N
182	359	1911	309	191		To establish a public school system in the Commonwealth of Pennsylvania, together with the provisions by which it shall be administered, and prescribing penalties for the violation thereof; providing revenue to establish and maintain the same, and the method of collecting such revenue; and repealing all laws, general, special or local, or any parts thereof, that are or may be inconsistent therewith	1911-05-18				f					\N
183	359	1840	100	36		To incorporate the town of Newport, in the county of Perry, into a Borough	1840-03-10				f					\N
184	359	1867	388	374		To incorporate the city of Allentown	1867-03-12				f					\N
185	359	1832-1833	313	142		Provisionally to organize the county of Potter, and for other purposes	1833-04-08				f					\N
186	359	1836-1837	262	90		Authorizing the chief burgess of the borough of Sunbury to sell and convey a portion of the bank of the river opposite said borough, and relative to the boroughs of Carlisle, New Alexandria, Reading and Hollidaysburg, and for other purposes.	1837-04-03				f					\N
187	359	1848	388	297		A supplement to the act, entitled "An act to incorporate the borough of West Philadelphia," approved the seventeenth day of February, Anno Domini one thousand eight hundred and forty-four, and relative to the borough of Tamaqua, and the erection of a poor house in the township of Mahoning, in the county of Columbia	1848-04-08				f					\N
188	359	1867	740	691		To incorporate Sugar Notch and Warrior Run into a borough	1867-04-03				f					\N
189	358	1814-1815	21	15		A further supplement to an act, entitled "An act to erect the town of Canonsburg, in the county of Washington, into a borough"	1815-01-16				f					\N
190	359	1861	424	394		To run and fix a portion of the line between Luzerne and Columbia counties	1861-05-01				f					\N
191	447	16	230	2045		To erect the town of Lebanon, in the county of Dauphin, into a borough	1799-03-28				f					\N
192	359	1851	44	45		Erecting the villages of Mount Joy and Richland, and their vicinity, in the county of Lancaster, into a borough, to be called the borough of Mount Joy	1851-02-10				f					\N
193	359	1927	519	336		Concerning boroughs, and revising, amending, and consolidating the law relating to boroughs	1927-05-04	1927-07-01			f					\N
194	359	1846	168	141		A supplement to an act, entitled "An Act erecting the village of Loretto, in the county of Cambria, into a borough"	1846-03-24				f					\N
195	359	1859	302	302		To define the limits of the borough of Lock Haven	1859-03-30				f					\N
196	359	1903	316	242		To further amend an act, entitled "An act authorizing the cities of this Commonwealth to purchase, acquire, take, use and appropriate private property for public park purposes," approved the twenty-sixth day of June, Anno Domini eighteen hundred and ninety-five, so that poorhouse property may be taken for park purposes	1903-04-25				f					\N
197	358	1814-1815	50	41		To erect Kutztown, in the county of Berks, into a borough	1815-03-01				f					\N
199	359	1860	802	656		To incorporate the town of Jefferson, in the county of Cambria, into a borough, to be called the borough of Wilmore	1859-02-10				f					\N
200	359	1883	86	79		To repeal an act, entitled "An act to annex the farm of Daniel Sell in the township of Germany, county of Adams, and State of Pennsylvania, to the borough of Littlestown, for school purposes," approved the eighth day of April, Anno Domini one thousand eight hundred ane sixty-seven	1883-06-05				f					\N
201	447	13	319	1435		For annexing part of the county of Washington to the county of Allegheny	1789-09-17				f					\N
202	359	1856	510	543		Relative to Elections in the borough of Meadville, and for other purposes	1856-04-22				f					\N
203	359	1849	119	124		To erect Phoenixville, in Chester county, into a borough	1849-03-06				f					\N
204	359	1845	541	350		Appointing commissioners to run and establish the line between the counties of Warren and M'Kean, and for other purposes	1845-04-16				f					\N
205	359	1854	288	266		To re-annex certain farms to Clarksville Borough, in Mercer county	1854-04-06				f					\N
206	359	1855	492	526		To repeal the act incorporating the borough of Pleasant Mount, in Wayne county	1855-05-07				f					\N
207	359	1872	291	280		A Supplement to an act incorporating the borough of Jamestown, in the county of Mercer	1872-03-09				f					\N
208	359	1840	336	144		Regulating Election Districts and for other purposes	1840-04-14				f					\N
209	359	1860	129	144		To annex a portion of land in Horse Valley, in the county of Franklin, to Saint Thomas township	1860-03-08				f					\N
210	359	1833-1834	59	44		Incorporating the town of Lawrenceville into a borough	1834-02-18				f					\N
211	359	1841	236	99		To erect Gaysport, in the county of Huntingdon, into a borough	1841-04-21				f					\N
212	358	1812-1813	67	52		Erecting parts of Dauphin and Lancaster counties into a separate county, to be called Lebanon	1813-02-16				f					\N
213	359	1867	1073	1003		Relating to public schools in the borough of Wattsburg, in the county of Erie	1867-04-10				f					\N
214	359	1860	522	428		To change the limits of the borough of Sunbury, in the county of Northumberland	1860-04-02				f					\N
215	359	1851	139	108		Relative to school and election districts	1851-03-11				f					\N
216	359	1828-1829	287	176		Erecting the town of the Northern Liberties of Pittsburg into a borough	1829-04-23				f					\N
217	358	1820-1821	303	163		Establishing and altering certin election districts	1821-04-02				f					\N
218	359	1861	499	468		To annex a part of the township of Norwegian, in the county of Schuylkill, to the borough of Pottsville, and to establish a new ward in said borough	1861-05-01				f					\N
219	359	1829-1830	341	175		For the appointment of commissioners to run, mark and fix the division line between the township of Cattawissa, in the county of Columbia, and the township of Shamokin, in Northumberland county	1830-04-07				f					\N
220	359	1867	457	437		Legalizing the action of the burgess and town council of the borough of Montrose, Susquehanna county, and to fix the limits of said borough	1867-03-14				f					\N
221	359	1868	749	694		To annul the borough charter of Highspire	1868-04-08				f					\N
222	359	1851	805	495		Erecting parts of Bedford county into a separate county, to be called "Fulton"	1850-04-19				f					\N
223	359	1864	653	552		To appoint Commissioners to run and establish the County Line between Westmoreland and Somerset counties	1864-04-28				f					\N
224	449	18	44	2634		To alter the limits of the Borough of Beaver	1806-01-27				f					\N
225	359	1872	276	263		To incorporate the borough of Hulmeville, in Bucks county	1872-03-08				f					\N
226	359	1911	755	318		Amending the first and second sections of an act, approved the fourteenth day of April, Anno Domini one thousand nine hundred and five, entitled "An act to provide for the running, relocating, changing, fixing, and marking of county lines," by changing the number of surveyors on the commission	1911-06-09				f					\N
227	359	1838-1839	590	197		Regulating election districts, and for other purposes	1839-07-02				f					\N
228	359	1843	342	163		A Further Supplement to the act, entitled "An Act to incorporate the district of Southwark"	1843-04-19				f					\N
229	359	1848	248	208		Extending the limits of the borough of Bedford	1848-03-25				f					\N
230	359	1849	98	87		To erect Danville, in Columbia county, into a borough	1849-02-27				f					\N
231	359	1841	143	73		For the relief of certain associations of individuals, and for other purposes	1841-04-03				f					\N
232	359	1905	216	158		To amend section one of an act, entitled "An act for the annexation of any city, borough, township, or part of a township, to a contiguous city, and providing for the indebtedness of the same," approved the twenty-eighth day of April, Anno Domini one thousand nine hundred and three, providing for percentage of petitioners	1905-04-19				f					\N
233	359	1874	477	359		To re-organize the local government of the city of Pittsburg, extending its boundaries, enlarging its corporate powers and perfecting its municipal organization, &c.	1874-01-07				f					\N
234	359	1917	160	93		To amend an act, approved the fourteenth day of May, one thousand nine hundred fifteen, entitled "An act providing a system of government for boroughs, and revising, amending, and consolidating the law relating to boroughs."	1917-05-10				f					\N
235	449	18	274	2708		To erect the town of Bellefonte, in Centre county, into a borough	1806-03-28				f					\N
