sourceid	sourcetype	sourceshort	sourceshortpart	sourcebookshort	sourceurlsubstitute	sourcegovernment	sourcelawtype	sourceperson	sourcesectiontitle	sourcetitle	sourceidentifier	sourcepublisherlocation	sourcepublisher	sourcepublisheryear	sourcelawisbynumber	sourcelawhasspecialsession	sourceabbreviationverified	sourcetemporarynote
17	census reports	1970 Cns. Rep.			17	{1}		U.S. Department of Commerce, Bureau of the Census		1970 Census of Population. Vol. I, Characteristics of the Population		Washington, D.C.	GPO	1973	f	f	f	
18	census databases	Bd'y Ax. Surv.			18	{1}		U.S. Department of Commerce, Bureau of the Census, Geography Division		Boundary and Annexation Survey					f	f	f	
19	census reports	1980 Cns. Rep.			19	{1}		U.S. Department of Commerce, Bureau of the Census		1980 Census of Population. Vol. 1, Characteristics of the Population. Ch. A, Number of Inhabitants. [PC80-1-A40]		Washington, D.C.		1982	f	f	f	
21	census reports	1990 Cns. Rep.			21	{1}		U.S. Department of Commerce, Bureau of the Census		1990 Census of Population and Housing. Population and Housing Unit Counts. Pennsylvania. [1990 CPH-2-40]		Washington, D.C.		1992	f	f	f	
22	census reports	1990s boundary changes			22	{1}		U.S. Department of Commerce, Bureau of the Census, Population Division		1990s boundary changes				20 October 2000	f	f	f	
24	census reports	2000s Geographic Change Notes			24	{1}		U.S. Department of Commerce, Bureau of the Census, Geography Division, Geographic Standards and Criteria Branch		Geographic Change Notes for United States (Current as of January 1, 2013)	Accessed 25 March 2018			1 January 2013	f	f	f	
26	court reporters	A.			26	{1,8,9,10,21,22,31,32,40,41,53466,47}				Atlantic Reporter		St. Paul, Minn.	West Publishing Company		f	f	f	
30	cadastral maps	Adams 1858			30	{2287}				Map of Adams Co., Pa.	Pennsylvania State Archives Manuscript Group 11 (Map Collection), Map No. 22; Library of Congress Land Ownership Map 696			1858?	f	f	f	
32	county histories	Africa 1883			32	{2293,2317}		Africa, J. Simpson		History of Huntingdon and Blair Counties, Pennsylvania		Philadelphia, Pa.	Louis H. Everts	1883	f	f	f	
33	county histories	Aldrich 1887			33	{2303}		Aldrich, Lewis Cass, ed.		History of Clearfield County, Pennsylvania: with illustrations and biographical sketches of some of its prominent men and pioneers		Syracuse, N.Y.	D. Mason &amp; Co.	1887	f	f	f	
34	county publications	Allegheny Hist. Form.			34	{2288}		Allegheny County (Pa.) Department of Public Works		Allegheny County Pennsylvania History of Formations &amp; Subdivision		Pittsburgh, Pa.	Allegheny County (Pa.) Department of Public Works	1920s?	f	f	f	
37	municipal publications	Allentown 1902			37	{3280}		Allentown (Pa.)		A Digest of the Laws and Ordinances for the Government of the Municipal Corporation of the City of Allentown, Pennsylvania, in force September 1, 1901		Allentown, Pa.	Leader Publishing Co.	1902	f	f	f	
38	municipal publications	Allentown 1913			38	{3280}		Allentown (Pa.)		[Digest of Laws and Ordinances]				1913	f	f	f	
39	municipal publications	Allentown 1947			39	{3280}		Allentown (Pa.)		Code of Ordinances of the City of Allentown, Pennsylvania, 1946		Charlottesville, Va.	Michie City Publications Company	1947	f	f	f	
40	newspapers	Allentown Dem.			40	{3280}				Allentown (Pa.) Democrat					f	f	f	
41	newspapers	Allentown Morning Call			41	{3280}				Morning Call		Allentown, Pa.			f	f	f	
42	newspapers	Altoona Mirror			42	{3284}				Altoona (Pa.) Mirror					f	f	f	
43	newspapers	Ambridge Citizen			43	{3286}				Citizen		Ambridge, Pa.			f	f	f	
44	newspapers	Ambridge Daily Citizen			44	{3286}				Daily Citizen		Ambridge, Pa.			f	f	f	
46	newspapers	Annville J.			46	{3292}				Annville (Pa.) Journal					f	f	f	
52	state agency reports	Pa. Op. Att'y Gen.			52	{40}		Pennsylvania		Report and official opinions of the Attorney General of Pennsylvania		Harrisburg, Pa.	Wm. Stanley Ray, State Printer		f	f	f	
58	county histories	Battle Columbia-Montour 1887			58	{2305,2333}		Battle, J. H., ed.		History of Columbia and Montour Counties, Pennsylvania, containing a history of each county; their townships, towns, villages, schools, churches, industries, etc.; portraits of representative men; biographies; history of Pennsylvania, statistical and miscellaneous matter, etc		Chicago, Ill.	A. Warner &amp; Co.	1887	f	f	f	
59	county histories	Bausman 1904			59	{2290}		Bausman, Joseph H.		History of Beaver County, Pennsylvania and its Centennial Celebration		New York, N.Y.	Knickerbocker Press	1904	f	f	f	
60	county histories	Bean 1884			60	{2332}		Bean, Theodore W., ed.		History of Montgomery County, Pennsylvania		Philadelphia, Pa.	Everts &amp; Peck	1884	f	f	f	
61	newspapers	Beaver Argus Radical			61	{3356}				Argus and Radical		Beaver, Pa.			f	f	f	
62	newspapers	Beaver Cty. Times			62	{3356}				Beaver County Times		Beaver, Pa.			f	f	f	
63	county histories	Beaver Hist. 1888			63	{2290}				History of Beaver County, Pennsylvania: including its early settlement; its erection into a separate county; its subsequent growth and development; sketches of its boroughs, villages and townships; portraits of some of its prominent men; biographies of many of its representative citizens; statistics; etc		Philadelphia, Pa.	A. Warner &amp; Co.	1888	f	f	f	
64	newspapers	Beaver Star			64	{3356}				Semi-Weekly Star		Beaver, Pa.			f	f	f	
65	newspapers	Beaver Times			65	{3356}				Beaver (Pa.) Times					f	f	f	
67	cadastral maps	Beers 1865			67	{2306}		Beers, F. W. (Frederick W.)		Map of Crawford Co., Pennsylvania: from actual surveys	Library of Congress Land Ownership Map 732	Philadelphia, Pa.	A. Pomeroy &amp; S.W. Treat	1865	f	f	f	
68	cadastral maps	Beers 1866			68	{2303}		Beers, D. G. (Daniel G.)		Map of Clearfield Co., Pennsylvania: from actual surveys &amp; official records	Library of Congress Land Ownership Map 728	Philadelphia, Pa.	A. Pomeroy	1866	f	f	f	
73	cadastral maps	Beers Allegheny 1862			73	{2288}		Beers, S. N.		Map of Allegheny Co., Pennsylvania: from actual surveys	Pennsylvania State Archives Manuscript Group 11 (Map Collection), Map No. 30; Library of Congress Land Ownership Map 701	Philadelphia, Pa.	Smith, Gallupp &amp; Hewitt	1862	f	f	f	
76	cadastral maps	Beers Sullivan 1872			76	{2343}		Beers, F. W. (Frederick W.)		Topographical map of Sullivan Co., Pennsylvania: from recent and actual surveys and records	Library of Congress Land Ownership Map 798	New York, N.Y.	A. Pomeroy &amp; Co.	1872	f	f	f	
80	county histories	Bell 1891			80	{2335}		Bell, Herbert C., ed.		History of Northumberland County, Pennsylvania, including its aboriginal history; the colonial and revolutionary periods; early settlement and subsequent growth; political organization; agricultural, mining, and manufacturing interests; internal improvements; religious, educational, social, and military history; sketches of its boroughs, villages, and townships; portraits and biographies of pioneers and representative citizens, etc., etc.		Chicago, Ill.	Brown, Runk &amp; Co.	1891	f	f	f	
81	court reporters	Berks Cty. L. J.			81	{2292}				Berks County Law Journal					f	f	f	
82	newspapers	Boyertown Berks Cty. Dem.			82	{3447}				Berks County Democrat		Boyertown, Pa.			f	f	f	
83	newspapers	Bethlehem Globe			83	{3407}				Globe		South Bethlehem, Pa.			f	f	f	
84	county histories	Blackman 1873			84	{2344}		Blackman, Emily C.		History of Susquehanna County, Pennsylvania. From a period preceding its settlement to recent times, including the annals and geography of each township. With maps and numerous illustrations. Also, a sketch of woman's work in the county for the United States Sanitary Commission, and a list of the soldiers of the National Army furnished by many of the townships		Philadelphia, Pa.	Claxton, Remsen &amp; Haffelfinger	1873	f	f	f	
85	newspapers	Bloomsburg Columbian			85	{3435}				Columbian		Bloomsburg, Pa.			f	f	f	
86	newspapers	Bloomsburg Dem. Sentinel			86	{3435}				Democratic Sentinel		Bloomsburg, Pa.			f	f	f	
87	county histories	Boucher 1906			87	{2351}		Boucher, John N.		History of Westmoreland County, Pennsylvania		New York, N.Y.	The Lewis Publishing Company	1906	f	f	f	
88	newspapers	Boyertown Dem.			88	{3447}				Boyertown (Pa.) Demokrat					f	f	f	
89	county histories	Bradsby 1891			89	{2294}		Bradsby, H. C.		History of Bradford County, Pennsylvania, with biographical selections		Chicago, Ill.	S. B. Nelson &amp; Co.	1891	f	f	f	
90	county histories	Bradsby 1893			90	{2326}		Bradsby, H. C., ed.		History of Luzerne County, Pennsylvania, with biographical selections		Chicago, Ill.	S. B. Nelson &amp; Co.	1893	f	f	f	
92	county histories	Brenckman 1918			92	{2299}		Brenckman, Fred		History of Carbon County, Pennsylvania; Also Containing a Separate Account of the Several Boroughs and Townships in the County, With Biographical Sketches		Harrisburg, Pa.	James J. Nungesser	1918	f	f	f	
94	cadastral maps	Bridgens 1860			94	{2324}		Bridgens, H. F. (Henry F.)		Map of Lebanon County, Pennsylvania	Pennsylvania State Archives Manuscript Group 11 (Map Collection), Map No. 51; Library of Congress Land Ownership Map 765	Philadelphia, Pa.	H'y F. Bridgens	1860	f	f	f	
96	county histories	Brown 1895			96	{2296}				History of Butler County, Pennsylvania, embracing its physical features; aborigines and explorers; public lands and surveys; pioneers; early settlement and subsequent growth; organization and civil administration; political affairs; the legal and medical professions; the press; schools and school laws; internal improvements; agriculture; the temperance cause; military history; the Butler oil and gas fields; sketches of boroughs, townships and villages; religious, educational, social and material progress; biographies and portraits of pioneers and representative citizens, etc., etc.		[Chicago, Ill.]	R. C. Brown &amp; Co.	1895	f	f	f	
99	newspapers	Bristol Bucks Cty. Gaz.			99	{3477}				Bucks County Gazette		Bristol, Pa.			f	f	f	
100	newspapers	Butler Am. Citizen			100	{3518}				American Citizen		Butler, Pa.			f	f	f	
101	newspapers	Canonsburg Daily Notes			101	{3538}				Daily Notes		Canonsburg, Pa.			f	f	f	
102	session laws	Pa. Carey & Bioren 1803			102	{40}	Letters Patent	Carey, M., and J. Bioren		Laws of the Commonwealth of Pennsylvania, from the fourteenth day of October, one thousand seven hundred, to the sixth day of April, one thousand eight hundred and two		Philadelphia, Pa.	J. Bioren	1803	t	f	f	
105	court reporters	Cent.			105	{34,32,40,9,22,10}				Central Reporter					f	f	f	
106	newspapers	State College Centre Daily Times			106	{5408}				Centre Daily Times		State College, Pa.			f	f	f	
108	newspapers	Chambersburg Valley Spirit			108	{3586}				Valley Spirit		Chambersburg, Pa.			f	f	f	
109	newspapers	Crafton Chartiers Valley Mirror			109	{3729}				Chartiers Valley Mirror		Crafton, Pa.			f	f	f	
110	county databases	Chester Cty. Eq.			110	{2301}		Chester County (Pa.) Archives and Records Services		Court of Common Pleas of Chester County, Pennsylvania: Equity Dockets, 1844-1940 (Microsoft Access Database)	Accessed 4 January 2011	West Goshen, Pa.	Chester County (Pa.) Archives and Records Services	8 April 2010	f	f	f	
111	county databases	Chester Cty. Misc. Q.Sess.			111	{2301}		Chester County (Pa.) Archives and Records Services		Court of Quarter Sessions of the Peace of Chester County, Pennsylvania: Miscellaneous Quarter Sessions Papers, 1869-1952 (Microsoft Access Database)	Accessed 4 January 2011	West Goshen, Pa.	Chester County (Pa.) Archives and Records Services	6 November 2007	f	f	f	
112	county databases	Chester Cty. Twp., Sch., Elec. Dist.			112	{2301}		Chester County (Pa.) Archives and Records Services		Court of Quarter Sessions of the Peace of Chester County, Pennsylvania: Township, Schools and Election Districts index (Microsoft Access Database)	Accessed 4 January 2011	West Goshen, Pa.	Chester County (Pa.) Archives and Records Services	29 June 2009	f	f	f	
114	newspapers	Chester Times			114	{3609}				Chester (Pa.) Times					f	f	f	
115	newspapers	Clairton Crucible			115	{3621}				Clairton (Pa.) Crucible					f	f	f	
117	newspapers	Clearfield Progress			117	{3634}				Progress		Clearfield, Pa.			f	f	f	
118	newspapers	Conshohocken Rec.			118	{3703}				Conshohocken (Pa.) Recorder					f	f	f	
122	county histories	Crumrine 1882			122	{2349}		Crumrine, Boyd		History of Washington County, Pennsylvania, with biographical sketches of many of its pioneers and prominent men		Philadelphia, Pa.	L. H. Everts &amp. Co.	1882	f	f	f	
125	county histories	Cushing 1889			125	{2288}		Cushing, Thomas, ed.		History of Allegheny County, Pennsylvania: including its early settlement and progress to the present time; a description of its historic and interesting localities; its cities, towns and villages; religious, educational, social and military history; mining, manufacturing and commercial interests; improvements, resources, statistics, etc.; also portraits of some of its prominent men, and biographies of many of its representative citizens. In two parts		Chicago, Ill.	A. Warner &amp; Co.	1889	f	f	f	
126	municipal publications	Daly & Weinberg 1966			126	{2337,5002}		Daly, John, and Allen Weinberg		Genealogy of Philadelphia County Subdivisions, 2nd ed		Philadelphia, Pa.	City of Philadelphia, Department of Records	1966	f	f	f	
127	court reporters	Dauphin Cty. Rep.			127	{2308}				Dauphin County Reports					f	f	f	
129	county histories	Davis 1887			129	{2302}		Davis, A. J., ed.		History of Clarion County, Pennsylvania: with illustrations and biographical sketches of some of its prominent men and pioneers		Syracuse, N.Y.	D. Mason &amp; Co.	1887	f	f	f	
130	cadastral maps	Davison 1858			130	{2314}		Davison, D. H.		Map of Franklin County, Pennsylvania: from actual survey	Library of Congress Land Ownership Map 751			1858	f	f	f	
131	state agency files	Pa. Dep't Cmty. Econ. Dev. Cty. Bd'y F.		DCED.Co.Bd'y.F.	131	{40}		Pennsylvania Department of Community and Economic Development		Boundary Change Files					f	f	f	
132	state agency files	Pa. Dep't Cmty. Econ. Dev. Cty. Bd'y F.	Rep.		132	{40}		Pennsylvania Department of Community and Economic Development		Boundary Change Files					f	f	f	
133	state agency files	Pa. Dep't Cmty. Econ. Dev. HmR. F.		DCED.HR.F.	133	{40}		Pennsylvania Department of Community and Economic Development		Home Rule Files					f	f	f	
134	state agency files	Pa. Dep't Cmty. Econ. Dev. Opt. Pl. F.		DCED.OP.F.	134	{40}		Pennsylvania Department of Community and Economic Development		Optional Plan Files					f	f	f	
135	court reporters	Del. Cty. Rep.			135	{2309}				Delaware County Reporter					f	f	f	
136	session laws	Del. Laws			136	{9}	Act	Delaware		Laws of the State of Delaware					f	f	f	
137	newspapers	Media Del. Cty. Am.			137	{4630}				Delaware County American		Media, Pa.			f	f	f	
138	newspapers	Dillsburg Wkly. Bull.			138	{3797}				Weekly Bulletin		Dillsburg, Pa.			f	f	f	
139	encyclopedias	Dodd 1918			139	\N				New International Encyclopedia, Second Edition		New York, N.Y.	Dodd, Mead and Company	1918	f	f	f	
140	newspapers	Donora Am.			140	{3805}				Donora (Pa.) American					f	f	f	
141	newspapers	Donora Herald-Am.			141	{3805}				Herald-American		Donora, Pa.			f	f	f	
142	newspapers	Doylestown Daily Intelligencer			142	{3813}				Daily Intelligencer		Doylestown, Pa.			f	f	f	
144	newspapers	Ebensburg Dem. Sentinel			144	{3914}				Democrat and Sentinel		Ebensburg, Pa.			f	f	f	
145	county histories	Egle 1883			145	{2308,2324}		Egle, William Henry		History of the Counties of Dauphin and Lebanon in the Commonwealth of Pennsylvania: Biographical and Genealogical		Philadelphia, Pa.	Everts &amp; Peck	1883	f	f	f	
146	newspapers	St. Marys Elk Cty. Gaz.			146	{5206}				Elk County Gazette		St. Marys, Pa.			f	f	f	
147	county histories	Ellis 1882			147	{2312}		Ellis, Franklin, ed.		History of Fayette County, Pennsylvania, with biographical sketches of many of its pioneers and prominent men		Philadelphia, Pa.	L. H. Everts &amp. Co.	1882	f	f	f	
148	county histories	Ellis 1886			148	{2320,2330,2336,2341,2346}				History of that part of the Susquehanna and Juniata Valleys, embraced in the Counties of Mifflin, Juniata, Perry, Union and Snyder, in the Commonwealth of Pennsylvania		Philadelphia, Pa.	Everts, Peck &amp. Richards	1886	f	f	f	
151	cadastral maps	Fagan 1860			151	{2292}		Fagan, L.		Map of Berks County, Pennsylvania: from actual surveys	Library of Congress Land Ownership Map 711			1860	f	f	f	
154	county histories	Futhey & Cope 1881			154	{2301}		Futhey, J. Smith, and Gilbert Cope		History of Chester County, Pennsylvania, with Genealogical and Biographical Sketches		Philadelphia, Pa.	Louis H. Everts	1881	f	f	f	
158	newspapers	Gettysburg Times			158	{4091}				Gettysburg (Pa.) Times					f	f	f	
160	municipal histories	Gilchrist 1927			160	{5817}		Gilchrist, Harry C.		History of Wilkinsburg, Pennsylvania		Pittsburgh, Pa.		1927	f	f	f	
164	serials	Good Rd.			164	\N				Good Roads					f	f	f	
165	county histories	Goodrich 1880			165	{2350}		Goodrich, Phineas G.		History of Wayne County		Honesdale, Pa.	Haines &amp; Beardsley	1880	f	f	f	
166	court reporters	Grant			166	{40}									f	f	f	
168	county histories	Hain 1922			168	{2336}		Hain, H. H.		History of Perry County, Pennsylvania, Including Descriptions of Indian and Pioneer Life from the Time of Earliest Settlement		Harrisburg, Pa.	Hain-Moore Company	1922	f	f	f	
169	municipal publications	Harrisburg Laws 1906			169	{4190}		Richards, Louis	A Digest of the General Acts of Assembly of Pennsylvania for the incorporation and government of cities of the third class, 3rd ed.	A Digest of the Laws and Ordinances for the Government of the Municipal Corporation of the City of Harrisburg, Pennsylvania in force August 1, A. D. 1906		Newark, N.J.	Soney &amp; Sage	1906	f	f	f	
172	newspapers	Hatboro Public Spirit			172	{4200}				Public Spirit		Hatboro, Pa.			f	f	f	
173	newspapers	Harrisburg Patriot			173	{4190}				Patriot		Harrisburg, Pa.			f	f	f	
174	newspapers	Harrisburg Star-Indep.			174	{4190}				Star-Independent		Harrisburg, Pa.			f	f	f	
175	cadastral maps	Henry 1854			175	{2292}		Henry, M. S.		Map of Berks County, Pennsylvania: from surveys	Library of Congress Land Ownership Map 710	Reading, Pa.?		1854	f	f	f	
176	newspapers	Pitts. Hill Top Rec.			176	{5029}				Hill Top Record		Pittsburgh, Pa.			f	f	f	
177	serials	Hist. Rev. Berks Cty.			177	{5817}				Historical Review of Berks County		Reading, Pa.	The Historical Society of Berks County, Pennsylvania		f	f	f	
178	newspapers	Homestead Messenger			178	{4248}				Messenger		Homestead, Pa.			f	f	f	
179	cadastral maps	Hopkins Northumberland 1874			179	{2335}		Hopkins, Griffith Morgan, Jr.		Map of Northumberland County, Pennsylvania: from actual surveys	Library of Congress Land Ownership Map 781	Montandon, Pa.	J.A.J. Cummings	1874	f	f	f	
190	county histories	Ingham 1899			190	{2343}		Ingham, Thomas J.		History of Sullivan County, Pennsylvania		Chicago, Ill.	The Lewis Publishing Company	1899	f	f	f	
192	inventories	Pa. Cty. Arc.			192	{40}		U.S. Work Projects Administration, Pennsylvania Historical Survey		Inventory of the County Archives of Pennsylvania					f	f	f	
195	newspapers	Jim Thorpe Times News			195	{4346}				Jim Thorpe (Pa.) Times News					f	f	f	
196	newspapers	Johnstown Trib. Dem.			196	{4348}				Tribune Democrat		Johnstown, Pa.			f	f	f	
199	newspapers	Mifflintown Juniata Sentinel & Repub.			199	{4664}				Juniata Sentinel and Republican		Mifflintown, Pa.			f	f	f	
200	county histories	Kelker 1907			200	{2308}		Kelker, Luther Reily		History of Dauphin County, Pennsylvania		New York, N.Y.	Lewis Publishing Company	1907	f	f	f	
201	cadastral maps	Kennedy 1856			201	{2301}		Kennedy, T. J.		Map of Chester County, Pennsylvania	Library of Congress Land Ownership Map 724	Philadelphia, Pa.	R.L. Barnes	1856	f	f	f	
202	cadastral maps	Kennedy 1860			202	{2301}		Kennedy, T. J.		Map of Chester Co., Pennsylvania	Library of Congress Land Ownership Map 725			1860	f	f	f	
205	cadastral maps	Krebs 1890			205	{2288,2290,2349,2351}		Krebs, Otto		Map of Allegheny County, Pennsylvania, 1890: with adjoining parts of Westmoreland, Washington &amp; Beaver counties	Library of Congress Land Ownership Map 703	Pittsburgh, Pa.	Otto Krebs	1890	f	f	f	
206	law indexes	Kulp 1874			206	{2326,2321}		Kulp, George B.		A digest of titles of local laws, passed by the Legislature of Pennsylvania, titles of corporations chartered by the same authority; also, by the courts and under the mining and manufacturing laws of Pennsylvania, for the County of Luzerne between the years 1700 and 1874 inclusive; giving the dates of acts of incorporation, and of the passage of local laws, with the several supplements thereto, with a reference to the pages of the Pamphlet Laws, deed books, mining and manufacturing books, and other books where they may be found		Wilkes-Barre, Pa.		1874	f	f	f	
207	newspapers	Kutztown Patriot			207	{4391}				Kutztown (Pa.) Patriot					f	f	f	
208	court reporters	Lack. L. N.			208	{2321}				Lackawanna Legal News					f	f	f	
209	court reporters	Lack. Jurist			209	{2321}				Lackawanna Jurist					f	f	f	
210	court reporters	Lackawanna Bar 1878			210	{2321}		Bar of Lackawanna County (Pa.)		Facts relating to the erection of Lackawanna County, and an argument sustaining the action of the Governor in recognizing it as a separate judicial district		Scranton, Pa.	Republican Printing-House and Book-Bindery	1878	f	f	f	
211	federal publications	Lackawanna WPA			211	{2321}		U.S. Work Projects Administration, Pennsylvania Branch Office, Area 1		A Geographical History of the Cities, Boroughs &amp; Townships and their Political Subdivisions in Lackawanna County, Pennsylvania		Scranton, Pa.		1939	f	f	f	
213	court reporters	Lanc. L. Rev.			213	{2322}				Lancaster Law Review		Lancaster, Pa.	Lancaster Bar Association		f	f	f	
215	newspapers	Latrobe Bull.			215	{4421}				Latrobe (Pa.) Bulletin					f	f	f	
216	newspapers	Lebanon Daily News			216	{4431}				Lebanon (Pa.) Daily News					f	f	f	
217	newspapers	Allentown Lecha Patriot			217	{3280}				Lecha Patriot		Allentown, Pa.			f	f	f	
219	county histories	Leeson Cameron-Elk-McKean-Potter 1890			219	{2298,2310,2328,2339}		Leeson, M. A., comp.		History of the Counties of McKean, Elk, Cameron and Potter, Pennsylvania		Chicago, Ill.	J. H. Beers &amp. Co.	1890	f	f	f	
220	court reporters	Legal Rec. Rep.			220	{2340}		Pilgram, Arthur J., and Lewis B. Walker		Legal Record Reports		Pottsville, Pa.			f	f	f	
221	court reporters	Leh. L. J.			221	{2325}				Lehigh Law Journal					f	f	f	
222	newspapers	Ligonier Echo			222	{4471}				Ligonier (Pa.) Echo					f	f	f	
223	county histories	Linn 1883			223	{2300,2304}		Linn, John Blair		History of Centre and Clinton Counties, Pennsylvania		Philadelphia, Pa.	Louis H. Everts	1883	f	f	f	
230	cadastral maps	Lake 1858			230	{2294}		Lake Ames &amp; Davison		Map of Bradford County, Pennsylvania	Pennsylvania State Archives Manuscript Group 11 (Map Collection), Map No. 334; Library of Congress Land Ownership Map 713?	Philadelphia, Pa.	William J. Barker	1858	f	f	f	
245	cadastral maps	Hopkins 1863			245	{2320,2330,2336}		Hopkins, G. M.		Map of the Counties of Perry, Juniata and Mifflin, Pennsylvania	Pennsylvania State Archives Manuscript Group 11 (Map Collection), Map No. 123; Library of Congress Land Ownership Map 782?	Philadelphia, Pa.	Smith, Gallup &amp; Hewitt	1863	f	f	f	
246	cadastral maps	Ellet 1843			246	{2337}		Ellet, Charles		A map of the county of Philadelphia	Library of Congress Land Ownership Map 784	Philadelphia, Pa.	Charles Ellet Jun'r	1843	f	f	f	
257	state agency files	Pa. Legis. Ref. Bur. HmR. F.		LRB.HR.F.	257	{40}		Pennsylvania Legislative Reference Bureau		Home Rule Files					f	f	f	
259	court reporters	Luz. Legal Reg. Rep.			259	{2326}		Kulp, George B.		Luzerne Legal Register Reports					f	f	f	
261	county publications	Mast 1971			261	{2325}		Mast Engineering Co., Inc.		Survey of Lehigh County: Report to County Commissioners		Allentown, Pa.		1 October	f	f	f	
262	county publications	Mast 1973			262	{2325}		Mast Engineering Co., Inc.		Description of the Lehigh County Boundary Line				21 May 19	f	f	f	
263	county histories	Mathews & Hungerford 1884			263	{2299,2325}		Mathews, Alfred, and Austin N. Hungerford		History of the Counties of Lehigh and Carbon, in the Commonwealth of Pennsylvania		Philadelphia, Pa.	Everts &amp; Richards	1884	f	f	f	
264	county histories	Mathews 1886			264	{2331,2338,2350}		Mathews, Alfred		History of Wayne, Pike and Monroe Counties, Pennsylvania		Philadelphia, Pa.	R. T. Peck &amp; Co.	1886	f	f	f	
275	cadastral maps	Melish-Whiteside Berks			275	{2292}				~Melish Whiteside Berks	Pennsylvania State Archives Record Series 17.534 (Melish-Whiteside Maps), Land Office Map No. 3347; Library of Congress Land Ownership Maps 708-709?				f	f	f	
281	cadastral maps	Melish-Whiteside Chester			281	{2301}				~Melish Whiteside Chester	Pennsylvania State Archives Record Series 17.534 (Melish-Whiteside Maps), Land Office Map No. 3353; Library of Congress Land Ownership Map 722?				f	f	f	
286	cadastral maps	Melish-Whiteside Delaware			286	{2309}				~Melish Whiteside Delaware	Pennsylvania State Archives Record Series 17.534 (Melish-Whiteside Maps), Land Office Map No. 3356; Library of Congress Land Ownership Map 737?				f	f	f	
318	newspapers	Monessen News			318	{4699}				Monessen (Pa.) News					f	f	f	
319	newspapers	Monessen Valley Indep.			319	{4699}				Valley Independent		Monessen, Pa.			f	f	f	
320	court reporters	Montg. Cty. L. Rep.			320	{2332}				Montgomery County Law Reporter, containing chiefly reports of cases decided by the courts of Montgomery County		Norristown, Pa.	Montgomery Bar Association		f	f	f	
321	county histories	Montgomery 1886			321	{2292}		Montgomery, Morton L.		History of Berks County, Pennsylvania		Philadelphia, Pa.	Everts, Peck &amp; Richards	1886	f	f	f	
