governmentsourceid	government	governmentsourcetype	governmentsourcebody	governmentsourcenumber	governmentsourceterm	governmentsourcetitle	governmentsourcepagefrom	governmentsourcepageto	governmentsourcedate	governmentsourcepreliminarydate	governmentsourceapproveddate	governmentsourceeffectivedate	governmentsourceapproved	governmentsourceeffectivenotes	governmentsourceadvertiseddate	source	governmentsourcevolume	sourcecitationvolumetype	governmentsourcevolumetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	governmentsourcename
140	40	Letters Patent				[Constituting the Borough of Johnstown, the Borough of Grubbtown, the Borough of Conemaugh, the Borough of Woodvale, the Borough of Prospect, the Borough of Millville, and the Borough of Cambria as a city of the third class by the name, style, and title of the City of Johnstown]			1889-12-18				t			\N							46
141	40	Letters Patent				[Constituting the Borough of Lebanon as a city of the third class by the name, style, and title of the City of Lebanon]			1885-11-25				t			\N							47
142	40	Letters Patent				[Constituting the Borough of McKeesport as a city of the third class by the name, style, and title of the City of McKeesport]			1891-01-15				t			\N							48
143	40	Letters Patent				[Constituting the Borough of Monessen as a city of the third class by the name, style, and title of the City of Monessen]			1921-01-18				t			\N							49
144	40	Letters Patent				[Constituting the Borough of Monessen as a city of the third class by the name, style, and title of the City of Monessen]			1921-09-16				t			\N							50
145	40	Letters Patent				[Constituting the Borough of Nanticoke as a city of the third class by the name, style, and title of the City of Nanticoke]			1925-09-11				t			\N							51
146	40	Letters Patent				[Constituting the Borough of New Kensington as a city of the third class by the name, style, and title of the City of New Kensington]			1933-11-10				t			\N							52
147	40	Letters Patent				[Constituting the Borough of Pittston as a city of the third class by the name, style, and title of the City of Pittston]			1894-12-10				t			\N							53
148	40	Letters Patent				[Constituting the Borough of Pottsville as a city of the third class by the name, style, and title of the City of Pottsville]			1911-03-22				t			\N							54
149	40	Letters Patent				[Constituting the Borough of Saint Marys and the Township of Benzinger as a city of the third class by the name, style, and title of the City of Saint Marys]			1992-06-18				t			\N							55
150	40	Letters Patent				[Constituting the Borough of Shamokin as a city of the third class by the name, style, and title of the City of Shamokin]			1949-02-21				t			\N							56
151	40	Letters Patent				[Constituting the Borough of Sharon as a city of the third class by the name, style, and title of the City of Sharon]			1918-12-17				t			\N							57
152	40	Letters Patent				[Constituting the Borough of South Bethlehem as a city of the third class by the name, style, and title of the City of South Bethlehem]			1913-09-10				t			\N							58
153	40	Letters Patent				[Constituting the Borough of South Bethlehem as a city of the third class by the name, style, and title of the City of South Bethlehem]			1915-12-08				t			\N							59
154	40	Letters Patent				[Constituting the Borough of Sunbury as a city of the third class by the name, style, and title of the City of Sunbury]			1920-12-29				t			\N							60
155	40	Letters Patent				[Constituting the Borough of Uniontown as a city of the third class by the name, style, and title of the City of Uniontown]			1913-12-19				t			\N							61
156	40	Letters Patent				[Constituting the Borough of Warren as a city of the third class by the name, style, and title of the City of Warren]			1988-12-20				t			\N							62
157	40	Letters Patent				[Constituting the Borough of Washington as a city of the third class by the name, style, and title of the City of Washington]			1923-04-05				t			\N							63
158	40	Letters Patent				[Constituting the Borough of York as a city of the third class by the name, style, and title of the City of York]			1887-01-11				t			\N							64
159	40	Letters Patent				[Constituting the Municipality of Bethlehem and the Municipality of South Bethlehem as a city of the third class by the name, style, and title of the City of Bethlehem]			1917-07-17				t			\N							65
160	48135	Letters Patent				[Erecting the Town of Lancaster into a Borough]			1742-05-01J				t			\N							4
161	48135	Minute	Provincial Council						1684-08-24QJ				t			395				1	124	124	1
162	40	Proclamation				[Establishing the County of Lackawanna]			1878-08-21				t			\N							1
163	40	Proclamation				[Ordering an election on the question of establishing a new county out of part of the County of Luzerne]			1878-07-08				t			\N							2
164	2287	Election				"Shall the properties comprising what is commonly known as the 'Hutton Orchard,' located within Menallen Township, Adams County, Pennsylvania, designated by the Menallen County Tax Assessment Office as parcel numbers F-5-67, F-5-44, and F-5-51A, as more particularly described in the Property Description maintained at the Bendersville Borough Offices, be annexed to and become a part of the Borough of Bendersville, Adams County, Pennsylvania?"			2006-05-16		2006-05-30		f			\N							1
165	2288	Agreement							1934-02-06				t			\N							1
166	2288	Agreement							1937-03-25				t			\N							2
167	2288	Election							1845-06-14				t			\N							1
168	2288	Election							1846-10-31				t			\N							2
169	2288	Election							1846-11-27				t			\N							3
170	2288	Election							1846-12-03				t			\N							4
171	2288	Election							1867-10-08				t			\N							5
172	2288	Election							1927-08-23				t			\N							6
173	2288	Election				"Shall a portion of Jefferson Township, Allegheny County, be annexed to the City of Clairton, a third class city, the portion as to be annexed being bounded and described as follows [...]"			1924-11-04				t			\N							7
174	2288	Election				"SHALL BETHEL TOWNSHIP BECOME A TOWNSHIP OF THE FIRST CLASS?"			1931-11-05				f			\N							8
175	2288	Election				"Shall Mifflin Township be divided into two separate Townships, one comprising the agricultural or farming land, and the other the residential or village section, as provided for in Petition filed at No 30 November Sessions 1920, Miscellaneous Docket, and as approved by the Commissioners appointed therein"			1921-05-31				f			\N							9
176	2288	Election				"Shall that portion of Baldwin Township, Allegheny County as described in the petition, filed at No. 61 June Sessions, 1911 Court of Quarter Sessions of said County be annexed to and become a part of the City of Pittsburgh"			1911-12-27				t			\N							10
177	2288	Election				"Shall the Borough of Brackenridge, the Borough of Tarentum and the Township of Harrison, (each of which is contiguous to each of the others and lies in the County of Allegheny and State of Pennsylvania) become a City of the Third Class, to be known as the City of Allegheny"	125	125	1955-11-08				f			\N	1						11
178	2288	Election				"Shall the Charter of 1874 of the Borough of Glenfield, Allegheny County be annulled?"	115	115	1953-05-19				f			\N	1						12
179	2288	Election				"Shall The City of Allegheny Be Consolidated To and With The City of Pittsburgh, Thus making One Consolidated City."			1906-06-12				t			\N							13
180	2288	Election				"SHALL THE NAME OF TOWNSHIP OF PENN, ALLEGHENY COUNTY, PENNSYLVANIA, BE CHANGED TO TOWNSHIP OF PENN HILLS?"	131	131	1957-11-05				t			\N	1						14
181	2288	Election				"Shall the Township of McCandless, Allegheny County, Pennsylvania, now a township of the second class become a township of the first class?"	112	112	1952-11-04				t			\N	1						15
182	2288	Election				"Shall The Township of Reserve Alleg. Co. Be Annexed to the City of Pittsburgh Second Class"			1931-11-24				f			\N							16
183	2288	Election				"Shall the Township of Robinson, Allegheny County, Pennsylvania, now a township of the second class, become a township of the first class?"	128	128	1956-11-06				t			\N	1						17
184	2288	Election				"Shall the Township of Scott be dividied in accordance with the division line appearing in the plan attached to the petition filed at No. 11 February Sessions 1914 Misc and described in said petition?"			1914-04-07				f			\N							18
185	2288	Election				"Shall the Township of Snowden, Allegheny County, Pennsylvania, now a township of the second class, become a township of the first class?"	131	131	1957-11-05				f			\N	1						19
186	2288	Election				"Shall the Township of Upper St. Clair, Allegheny County, Pennsylvania now a township of the second class, become a township of the first class?"	119	119	1955-11-03				t			\N	1						20
187	2288	Election				"Shall Wilkins Township be divided into two seperate Townships, the one comprising the agricultural or farm lands and the other the residential or village sections as provided in petition filed in the Court of Quarter Sessions of Allegheny County at No. 35 March Sessions 1917?"			1917-05-22				f			\N							21
188	2288	Election				[For and against annexation of the Borough of Port Vue to the City of McKeesport]			1928-11-06				f			\N							22
189	2288	Election				[For or against annexation of part of the 4th District of Baldwin Township to the City of Pittsburgh]			1930-12-16				t			\N							23
190	2288	Election				[For or against annexation of the Township of Union to the City of Pittsburgh]			1927-11-08				t			\N							24
191	2288	Election				[For or against division of the Township of East Deer]			1914-08-04				t			\N							25
192	2288	Election				[For or against the annexation of a part of Union Township to the City of Pittsburgh]			1908-12-15				t			\N							26
193	2288	Election				[For or against the annexation of Election District No. 5 of Scott Township to the City of Pittsburgh]			1908-11-03				t			\N							27
194	2288	Election				[For or against the annexation of part of Chartiers Township to the City of Pittsburgh]			1920-12-14				t			\N							28
195	2288	Election				[For or against the annexation of part of Versailles Township to the City of McKeesport]			1928-11-06				f			\N							29
196	2288	Election				[For or against the annexation of parts of the 4th and 8th Wards, Baldwin Township, to the City of Pittsburgh]			1930-05-20				t			\N							30
197	2288	Election				[For or against the annexation of Sterrett Township to the City of Pittsburgh]			1905-05-16				t			\N							31
198	2288	Election				[For or against the annexation of the Borough of Aspinwall to the City of Pittsburgh]			1908-11-03				t			\N							32
199	2288	Election				[For or against the annexation of the Borough of Beechview to the City of Pittsburgh]			1908-12-15				t			\N							33
200	2288	Election				[For or against the annexation of the Borough of Bellevue to the City of Pittsburgh]			1908-02-18				t			\N							34
201	2288	Election				[For or against the annexation of the Borough of Carrick to the City of Pittsburgh]			1915-11-02				f			\N							35
202	2288	Election				[For or against the annexation of the Borough of Carrick to the City of Pittsburgh]			1926-03-02				t			\N							36
203	2288	Election				[For or against the annexation of the Borough of Elliott to the City of Pittsburgh]			1904-06-04				t			\N							37
204	2288	Election				[For or against the annexation of the Borough of Esplen to the City of Pittsburgh]			1905-11-07				t			\N							38
205	2288	Election				[For or against the annexation of the Borough of Hays to the City of Pittsburgh]			1928-04-24				t			\N							39
206	2288	Election				[For or against the annexation of the Borough of Montooth to the City of Pittsburgh]			1906-11-06				t			\N							40
207	2288	Election				[For or against the annexation of the Borough of Mount Oliver to the City of Pittsburgh]			1907-02-19				t			\N							41
208	2288	Election				[For or against the annexation of the Borough of Mount Oliver to the City of Pittsburgh]			1928-11-28				f			\N							42
209	2288	Election				[For or against the annexation of the Borough of Overbrook to the City of Pittsburgh]			1929-06-11				t			\N							43
210	2288	Election				[For or against the annexation of the Borough of Saint Clair to the City of Pittsburgh]			1922-12-05				t			\N							44
211	2288	Election				[For or against the annexation of the Borough of Sheraden to the City of Pittsburgh]			1906-12-27				t			\N							45
212	2288	Election				[For or against the annexation of the Borough of Spring Garden to the City of Pittsburgh]			1919-12-09				t			\N							46
213	2288	Election				[For or against the annexation of the Borough of Swissvale to the City of Pittsburgh]			1918-03-30				f			\N							47
214	2288	Election				[For or against the annexation of the Borough of West Liberty to the City of Pittsburgh]			1907-02-19				t			\N							48
215	2288	Election				[For or against the annexation of the Borough of Westwood to the City of Pittsburgh]			1926-12-07				t			\N							49
216	2288	Election				[For or against the annexation of the Borough of Wilkinsburg to the City of Pittsburgh]			1908-05-26				f			\N							50
217	2288	Election				[For or against the division of Plum Township]			1901-08-17				f			\N							51
218	2288	Election				[For or against the division of Plum Township]\n			1902-02-18				f			\N							52
