eventid	eventtype	eventmethod	eventlong	eventfrom	eventto	eventgranted	eventeffective	eventeffectivetypestatutory	eventeffectivetypepresumedsource	eventisrelevant	eventeffectiveorder	eventismapped	eventismappedtype	government
122	30	1	Canonsburg Borough 1802 Creation	1802	1802	yes	1802-02-22	\N	1		0	f		\N
123	34	3	Orwell Township 1802 Creation	1802	1802	yes	1802-04-~01	\N	34		0	f		\N
124	4	3	Potter Township-Spring Township 1802 Boundary Ascertainment	1802	1802	yes	1802-04-~01	\N	34		0	f		\N
125	34	3	Halfmoon Township 1802 Creation	1801	1802	yes	1802-01-~18	\N	34		0	f		\N
126	30	1	Chambersburg Borough 1803 Creation	1803	1803	yes	1803-05-02	\N	4		0	f		\N
127	10	3	Sunbury Borough 1803 Separation	1803	1803	yes	1803-11-~01	\N	34		0	t		\N
128	36	3	Borough Township 1804 Creation	1804	1804	yes	1804-11-~01	\N	34		0	t		\N
129	36	3	Ceres Township 1804 Creation	1804	1804	yes	1804-08-~01	\N	34		0	t		\N
130	36	3	Chinclelcamousche Township 1804 Creation	1804	1804	yes	1804-08-~01	\N	34		0	t		\N
131	36	3	Hepburn Township 1821 Creation	1820	1821	yes	1821-02-01	\N	34		0	f		\N
132	30	1	Morrisville Borough 1804 Creation	1804	1804	yes	1804-04-16	\N	4		0	t		\N
133	4	3	Mahantongo Township-Pine Grove Township 1804 Boundary Ascertainment	1803	1804	yes	1804-04-19	\N	34		0	f		\N
134	36	3	Shenango Township 1804 Creation	1804	1804	yes	1804-08-~01	\N	34		0	t		\N
135	30	1	Somerset Borough 1804 Creation	1804	1804	yes	1804-03-05	\N	1		0	t		\N
136	4	3	Lower Merion Township-Upper Merion Township 1804 Boundary Realignment	1803	1804	yes	1804-05-16	\N	34		0	t		\N
137	30	1	Erie Borough 1805 Creation	1805	1805	yes	1805-03-29	\N	1		0	t		\N
138	30	1	Greencastle Borough 1805 Creation	1805	1805	yes	1805-05-07	\N	4		0	t		\N
139	36	3	Ohio Township 1805 Creation	1804	1805	yes	1805-05-~01	\N	34		0	f		\N
140	36	3	Lower Providence Township-Upper Providence Township 1805 Creation	1805	1805	yes	1805-11-12	\N	34		0	t		\N
141	36	3	Armstrong County 1806 Township Division	1805	1806	yes+	1806-09-18	\N	34		0	t		\N
142	30	1	Bellefonte Borough 1806 Creation	1806	1806	yes	1806-03-28	\N	1		0	f		\N
143	30	1	Connellsville Borough 1806 Creation	1806	1806	yes	1806-04-07	\N	4		0	t		\N
144	30	1	Gettysburg Borough 1806 Creation	1806	1806	yes	1806-05-06	\N	4		0	f		\N
145	36	3	Lower Mahanoy Township-Upper Mahanoy Township 1806 Creation	1806	1806	yes	1806-08-~01	\N	34		0	f		\N
146	36	3	Pottsgrove Township 1806 Creation	1806	1806	yes	1806-08-20	\N	34		0	t		\N
147	30	1	Wilkes-Barre Borough 1806 Creation	1806	1806	yes	1806-05-06	\N	1		0	t		\N
148	30	1	Williamsport Borough 1806 Creation	1806	1806	yes	1806-03-01	\N	1		0	t		\N
149	36	3	Bradford Township-Beccaria Township 1807 Creation	1807	1807	yes	1807-08-~01	\N	34		0	f		\N
150	36	3	Latimore Township 1807 Creation	1806	1807	yes	1807-08-19	\N	34		0	f		\N
151	36	3	East Penn Township-Lausanne Township-Rush Township-West Penn Township 1807 Creation	1806	1807	yes	1807-01-21	\N	34		0	t		\N
152	36	3	Penn Township 1808 Creation	1808	1808	yes	1808-10-13	\N	37		0	t		\N
153	2	3	Abington Township-Nicholson Township Proposed 1808 Annexation	1808	1809	no		\N	\N		0	f		\N
154	36	3	Antis Township 1810 Creation	1808	1810	yes	1810-08-~01	\N	34		0	f		\N
155	36	3	Howard Township-Walker Township 1810 Creation	1809	1810	yes	1810-01-~01	\N	34		0	f		\N
156	4	1	Fayette County-Westmoreland County 1810 Boundary Ascertainment	1806	1810	yes		\N	\N		0	f		\N
157	36	3	Hamilton Township 1810 Creation	1810	1810	yes	1810-08-~01	\N	34		0	f		\N
158	36	3	North Middleton Township-South Middleton Township 1810 Creation	1810	1810	yes	1810-11-~01	\N	147		0	f		\N
159	36	3	Plumcreek Township 1810 Creation	1809	1810	yes	1810-06-20	\N	34		0	f		\N
160	4	1	Somerset County-Westmoreland County 1810 Boundary Ascertainment	1798	1810	yes		\N	\N		0	f		\N
161	36	3	Summerhill Township 1810 Creation	1810	1810	yes	1810-~03-~01	\N	25		0	f		\N
162	30	1	Washington Borough 1810 Creation	1810	1810	yes	1810-02-12	\N	1		0	t		\N
163	30	1	Northampton Borough 1811 Creation	1811	1811	yes	1811-05-06	\N	4		0	t		\N
164	33	1	Schuylkill County 1811 Creation	1811	1811	yes	1811-03-01	\N	1		0	t		\N
165	36	3	Beaver County 1812 Township Division	1812	1812	yes	1812-~03-~01	\N	25		0	t		\N
166	4	3	Dickinson Township-South Middleton Township 1812 Boundary Ascertainment	1812	1812	yes		\N	\N		0	f		\N
167	30	1	Marietta Borough 1812 Creation	1812	1812	yes	1812-04-14	\N	4		0	t		\N
168	30	1	Norristown Borough 1812 Creation	1812	1812	yes	1812-05-01	\N	4		0	t		\N
169	36	3	Lawrence Township-Pike Township 1813 Creation	1813	1813	yes	1813-11-~01	\N	34		0	f		\N
170	36	3	Decatur Township 1813 Creation	1812	1813	yes	1813-01-~01	\N	37		0	f		\N
171	36	3	Gibson Township 1813 Creation	1813	1813	yes	1813-11-~01	\N	34		0	f		\N
172	36	3	Little Mahanoy Township 1813 Creation	1812	1813	yes	1813-08-19	\N	34		0	f		\N
173	36	3	Pike Township-Warren Township-Windham Township 1813 Creation	1813	1813	yes	1813-08-~01	\N	34		0	f		\N
174	30	1	Orwigsburg Borough 1813 Creation	1813	1813	yes	1813-03-12	\N	1		0	f		\N
175	36	3	Pike Township 1813 Creation	1812	1813	yes	1813-11-~01	\N	34		0	t		\N
176	36	3	Silver Lake Township 1813 Creation	1813	1813	yes	1813-08-~01	\N	34		0	f		\N
177	36	3	Columbia Township-Springfield Township 1813 Creation	1813	1813	yes	1813-08-~01	\N	34		0	f		\N
178	32	1	Spring Garden District 1813 Creation	1813	1813	yes	1813-03-22	\N	1		0	t		\N
179	2	3	Sugarcreek Township-Buffalo Township to Kittanning Township Proposed 1813 Annexation	1813	1813	unknown		\N	\N		0	f		\N
180	36	3	Wells Township 1813 Creation	1813	1813	yes	1813-08-~01	\N	34		0	f		\N
181	36	3	Asylum Township 1814 Creation	1814	1814	yes	1814-11-~01	\N	34		0	f		\N
182	34	3	Auburn Township 1814 Creation	1814	1814	yes	1814-04-25	\N	34		0	f		\N
183	30	1	Bridgeport Borough 1814 Creation	1814	1814	yes	1814-05-10	\N	4		0	t		\N
184	36	3	Waterford Township 1814 Creation	1813	1814	yes	1814-04-~01	\N	34		0	f		\N
185	30	1	Columbia Borough 1814 Creation	1814	1814	yes	1814-04-05	\N	4		0	t		\N
186	36	3	Deerfield Township-Elkland Township 1814 Creation	1814	1814	yes	1814-~01-~01	\N	37		0	f		\N
187	36	3	Jenner Township-Perry Township-Rush Township 1814 Creation	1813	1814	yes	1814-04-~01	\N	34		0	f		\N
188	36	3	Lenox Township 1813 Creation	1813	1813	yes	1813-08-~01	\N	34		0	f		\N
189	30	1	McConnellsburg Borough 1814 Creation	1814	1814	yes	1814-03-26	\N	1		0	t		\N
190	30	1	Mercer Borough 1814 Creation	1814	1814	yes	1814-03-28	\N	1		0	t		\N
191	34	3	Springfield Township 1814 Creation	1814	1814	yes	1814-11-~01	\N	34		0	f		\N
192	2	3	North Beaver Township-Ohio Township Proposed 1813 Annexation	1813	1814	no		\N	\N		0	f		\N
193	33	1	Pike County 1814 Creation	1814	1814	yes	1814-10-01	\N	4		0	t		\N
194	36	3	Choconut Township-Middletown Township 1814 Creation	1813	1814	yes	1814-01-~01	\N	34		0	f		\N
195	36	3	Boggs Township-Covington Township 1814 Creation	1814	1814	yes	1814-08-~01	\N	34		0	f		\N
196	34	3	Great Bend Township 1814 Creation	1814	1814	yes	1814-11-28	\N	34		0	f		\N
197	2	3	Wysox Township-Athens Township 1813 Annexation	1813	1813	yes	1813-08-~01	\N	34		0	f		\N
198	2	3	Wysox Township-Ulster Township 1815 Annexation	1814	1815	yes	1815-02-~01	\N	34		0	f		\N
199	36	3	Brown Township 1815 Creation	1815	1815	yes	1815-05-03	\N	34		0	f		\N
200	30	1	Brownsville Borough 1815 Creation	1815	1815	yes	1815-04-04	\N	4		0	t		\N
201	34	3	Spring Township 1815 Creation	1815	1815	yes	1815-04-~01	\N	34		0	f		\N
202	36	3	Covington Township 1815 Creation	1815	1815	yes	1815-02-15	\N	37		0	f		\N
203	30	1	Hanover Borough 1815 Creation	1815	1815	yes	1815-04-11	\N	4		0	t		\N
204	36	3	Jackson Township (Susquehanna) 1815 Creation	1814	1815	yes	1815-12-~01	\N	34		0	f		\N
205	36	3	Jackson Township (Tioga) 1815 Creation	1815	1815	yes	1815-09-~01	\N	37		0	f		\N
206	34	3	Halfmoon Township 1815 Creation	1815	1815	yes	1815-01-26	\N	34		0	f		\N
207	30	1	Kutztown Borough 1815 Creation	1815	1815	yes	1815-04-07	\N	4		0	t		\N
208	30	1	Pottstown Borough 1815 Creation	1815	1815	yes	1815-04-11	\N	4		0	t		\N
209	2	3	Halfmoon Township-Rush Township 1815 Annexation	1814	1815	yes	1815-04-27	\N	34		0	f		\N
210	30	1	Stroudsburg Borough 1815 Creation	1815	1815	yes	1815-02-06	\N	1		0	t		\N
211	36	3	Troy Township 1815 Creation	1815	1815	yes	1815-12-~01	\N	34		0	f		\N
212	36	3	Turbett Township 1815 Creation	1815	1815	yes	1815-11-~01	\N	34		0	f		\N
213	2	1	Union County-Lycoming County 1815 Annexation	1815	1815	yes	1815-05-01	\N	4		0	f		\N
214	36	7	Green Township 1816 Creation	1816	1816	yes	1816-~01-~01	\N	144		0	f		\N
215	30	1	Indiana Borough 1816 Creation	1816	1816	yes	1816-03-11	\N	1		0	t		\N
216	36	3	Lawrence Township (PA) 1816 Creation	1816	1816	yes	1816-12-~01	\N	37		0	f		\N
217	31	1	Pittsburgh City 1816 Creation	1816	1816	yes	1816-07-09	\N	5		0	t		\N
218	30	1	Strasburg Borough 1816 Creation	1816	1816	yes	1816-04-02	\N	4		0	t		\N
219	36	3	Sullivan Township 1816 Creation	1816	1816	yes	1816-02-~01	\N	37		0	f		\N
220	30	1	Waynesburg Borough 1816 Creation	1816	1816	yes	1816-04-09	\N	4		0	t		\N
221	30	1	Butler Borough 1817 Creation	1817	1817	yes	1817-03-14	\N	4		0	t		\N
222	36	3	Covington Township-Gibson Township 1817 Creation	1816	1817	yes	1817-05-01	\N	34		0	f		\N
223	36	3	Lamar Township 1817 Creation	1817	1817	yes	1817-08-27	\N	34		0	f		\N
224	36	3	Madison Township 1817 Creation	1817	1817	yes	1817-08-07	\N	34		0	f		\N
225	30	1	Milton Borough 1817 Creation	1817	1817	yes	1817-03-14	\N	4		0	f		\N
226	30	1	Newville Borough 1817 Creation	1817	1817	yes	1817-05-06	\N	4		0	f		\N
227	36	3	Saville Township 1817 Creation	1817	1817	yes	1817-11-08	\N	34		0	f		\N
228	30	1	Berwick Borough 1818 Creation	1818	1818	yes	1818-04-07	\N	4		0	t		\N
229	2	1	Columbia County-Luzerne County to Schuylkill County 1818 Annexation	1818	1818	yes	1818-03-03	\N	1		0	t		\N
230	36	3	Covington Township 1818 Creation	1817	1818	yes	1818-01-~01	\N	34		0	f		\N
231	36	3	Doylestown Township 1819 Creation	1818	1819	yes	1819-03-04	\N	34		0	t		\N
232	31	1	Lancaster City 1818 Creation	1818	1818	yes	1818-05-15	\N	5		0	t		\N
233	2	1	Lycoming County-Centre County 1818 Annexation	1818	1818	yes	1818-05-01	\N	4		0	f		\N
234	36	3	Mount Pleasant Township 1818 Creation	1818	1818	yes	1818-04-08	\N	34		0	f		\N
235	36	7	Perry Township 1818 Creation	1818	1818	yes	1818-~01-~01	\N	144		0	f		\N
236	36	3	Ridgebury Township 1818 Creation	1817	1818	yes	1818-02-09	\N	34		0	f		\N
237	2	1	Berwick Borough-Salem Township 1819 Annexation	1819	1819	yes	1819-03-23	\N	1		0	t		\N
238	36	3	Blakely Township 1818 Creation	1817	1818	yes	1818-04-~01	\N	34		0	f		\N
239	36	3	Franklin Township 1819 Creation	1819	1819	yes	1819-09-~01	\N	34		0	f		\N
240	36	3	Logan Township 1819 Creation	1817	1819	yes	1819-~04-~01	\N	25		0	f		\N
241	36	3	Rush Township 1819 Creation	1819	1819	yes	1819-08-18	\N	34		0	f		\N
242	30	1	Shippensburg Borough 1819 Creation	1819	1819	yes	1819-01-21	\N	1		0	t		\N
243	2	3	Springfield Township-Lackawannock Township 1819 Annexation	1819	1819	yes	1819-11-~01	\N	34		0	t		\N
244	30	1	Stoystown Borough 1819 Creation	1819	1819	yes	1819-05-04	\N	4		0	t		\N
245	30	1	Waynesburg Borough 1819 Creation	1818	1819	yes	1819-05-04	\N	4		0	t		\N
246	36	3	Charleston Township 1820 Creation	1820	1820	yes	1820-12-~01	\N	34		0	f		\N
247	36	3	Findlay Township 1822 Creation	1819	1822	yes+	1822-01-~14	\N	34		0	t		\N
248	7	1	Greencastle Borough 1820 Charter Revival	1820	1820	yes	1820-03-28	\N	1		0	f		\N
249	30	1	Greersburg Borough 1820 Creation	1820	1820	yes	1820-03-28	\N	1		0	t		\N
250	36	3	Jackson Township 1820 Creation	1818	1820	yes	1820-04-05	\N	34		0	t		\N
251	32	1	Kensington District 1820 Creation	1820	1820	yes	1820-03-06	\N	1		0	t		\N
252	36	3	Monroe Township 1821 Creation	1819	1821	yes	1821-09-~01	\N	34		0	f		\N
253	33	1	Perry County 1820 Creation	1820	1820	yes	1820-09-01	\N	4		0	t		\N
254	36	3	Sheshequin Township 1820 Creation	1819	1820	yes	1820-05-~01	\N	34		0	f		\N
255	36	3	Barry Township 1821 Creation	1821	1821	yes	1821-08-01	\N	34		0	t		\N
256	30	1	Berlin Borough 1821 Creation	1821	1821	yes	1821-02-27	\N	1		0	t		\N
257	30	1	Bethany Borough 1821 Creation	1821	1821	yes	1821-05-11	\N	4		0	t		\N
258	34	7	Concord Township 1821 Creation	1821	1821	yes	1821-~01-~01	\N	144		0	f		\N
259	2	1	Dauphin County-Lebanon County 1821 Annexation	1821	1821	yes	1821-03-29	\N	1		0	t		\N
260	30	1	Kittanning Borough 1821 Creation	1821	1821	yes	1821-04-02	\N	1		0	t		\N
261	5	1	Lebanon Borough 1821 Charter Amendment	1821	1821	yes	1821-05-07	\N	4		0	t		\N
262	36	3	Litchfield Township 1821 Creation	1820	1821	yes	1821-12-~01	\N	34		0	f		\N
263	34	3	Fox Township 1821 Creation	1821	1821	yes	1821-04-26	\N	34		0	f		\N
264	36	3	Sinnemahoning Township 1821 Creation	1820	1821	yes	1821-01-25	\N	34		0	f		\N
265	36	3	Perry Township 1821 Creation	1820	1821	yes	1821-~04-~02	\N	25		0	t		\N
266	34	3	Tulpehocken Township-Upper Tulpehocken Township 1821 Creation	1821	1821	yes	1821-~09-~10	\N	25		0	t		\N
267	36	3	Wayne Township 1821 Creation	1820	1821	yes	1821-03-19	\N	34		0	f		\N
268	36	3	Westfield Township 1821 Creation	1821	1821	yes	1821-12-~01	\N	37		0	f		\N
