sourceitemid	source	sourceitemedition	sourceitemvolume	sourceitemyear	sourceitemurl	sourceitemurlcomplete	sourceitemurlcompletepart	sourceitempublicdomain	sourceitempublicdomainreason	sourceitemreferenceyearfrom	sourceitemreferenceyearto	sourceitemreferencevolume	sourceitemurlafter	sourceitemlocal
18	22			\N	https://www.census.gov/popest/archives/1990s/boundary_changes/42.html	t	t	\N		\N	\N			f
19	24			\N	https://www.census.gov/geo/reference/bndrychange/united%20states.txt	t	t	\N		\N	\N			f
20	26		1	\N	https://hdl.handle.net/2027/uc1.b3500661	f	t	\N		\N	\N			f
21	26		10	\N	https://hdl.handle.net/2027/uc1.b3500670	f	t	\N		\N	\N			f
22	26		100	\N	https://hdl.handle.net/2027/uc1.b3500299	f	t	\N		\N	\N			f
23	26		101	\N	https://hdl.handle.net/2027/uc1.b3500300	f	t	\N		\N	\N			f
24	26		102	\N	https://hdl.handle.net/2027/uc1.b3500301	f	t	\N		\N	\N			f
25	26		103	\N	https://hdl.handle.net/2027/uc1.b3500302	f	t	\N		\N	\N			f
26	26		105	\N	https://hdl.handle.net/2027/uc1.b3500304	f	t	\N		\N	\N			f
27	26		106	\N	https://hdl.handle.net/2027/uc1.b3500305	f	t	\N		\N	\N			f
28	26		107	\N	https://hdl.handle.net/2027/uc1.b3500306	f	t	\N		\N	\N			f
29	26		108	\N	https://hdl.handle.net/2027/uc1.b3500307	f	t	\N		\N	\N			f
30	26		109	\N	https://hdl.handle.net/2027/uc1.b3500308	f	t	\N		\N	\N			f
31	26		11	\N	https://archive.org/details/atlanticreporte02courgoog	f	t	\N		\N	\N			f
32	26		110	\N	https://hdl.handle.net/2027/uc1.b3500309	f	t	\N		\N	\N			f
33	26		111	\N	https://hdl.handle.net/2027/uc1.b3500310	f	t	\N		\N	\N			f
34	26		112	\N	https://hdl.handle.net/2027/uc1.b3500311	f	t	\N		\N	\N			f
35	26		113	\N	https://hdl.handle.net/2027/uc1.b3500312	f	t	\N		\N	\N			f
36	26		114	\N	https://hdl.handle.net/2027/uc1.b3500313	f	t	\N		\N	\N			f
37	26		115	\N	https://hdl.handle.net/2027/uc1.b3500314	f	t	\N		\N	\N			f
38	26		116	\N	https://hdl.handle.net/2027/uc1.b3500315	f	t	\N		\N	\N			f
39	26		12	\N	https://hdl.handle.net/2027/uc1.b3500672	f	t	\N		\N	\N			f
40	26		13	\N	https://hdl.handle.net/2027/uc1.b3500673	f	t	\N		\N	\N			f
41	26		14	\N	https://hdl.handle.net/2027/uc1.b3500674	f	t	\N		\N	\N			f
42	26		15	\N	https://archive.org/details/atlanticreporte19compgoog	f	t	\N		\N	\N			f
43	26		16	\N	https://hdl.handle.net/2027/uc1.b3500676	f	t	\N		\N	\N			f
44	26		17	\N	https://hdl.handle.net/2027/uc1.b3500677	f	t	\N		\N	\N			f
45	26		18	\N	https://hdl.handle.net/2027/uc1.b3500678	f	t	\N		\N	\N			f
46	26		2	\N	https://hdl.handle.net/2027/uc1.b3500662	f	t	\N		\N	\N			f
47	26		20	\N	https://hdl.handle.net/2027/uc1.b3500680	f	t	\N		\N	\N			f
48	26		21	\N	https://hdl.handle.net/2027/uc1.b3500681	f	t	\N		\N	\N			f
49	26		22	\N	https://hdl.handle.net/2027/uc1.b3500682	f	t	\N		\N	\N			f
50	26		23	\N	https://hdl.handle.net/2027/uc1.b3500683	f	t	\N		\N	\N			f
51	26		24	\N	https://hdl.handle.net/2027/uc1.b3500684	f	t	\N		\N	\N			f
52	26		25	\N	https://hdl.handle.net/2027/uc1.b3500685	f	t	\N		\N	\N			f
53	26		26	\N	https://hdl.handle.net/2027/uc1.b3500686	f	t	\N		\N	\N			f
54	26		27	\N	https://hdl.handle.net/2027/uc1.b3500687	f	t	\N		\N	\N			f
55	26		28	\N	https://hdl.handle.net/2027/uc1.b3500688	f	t	\N		\N	\N			f
56	26		29	\N	https://hdl.handle.net/2027/uc1.b3500689	f	t	\N		\N	\N			f
57	26		3	\N	https://hdl.handle.net/2027/uc1.b3500663	f	t	\N		\N	\N			f
58	26		30	\N	https://hdl.handle.net/2027/uc1.b3500690	f	t	\N		\N	\N			f
59	26		31	\N	https://hdl.handle.net/2027/uc1.b3500691	f	t	\N		\N	\N			f
60	26		32	\N	https://hdl.handle.net/2027/uc1.b3500692	f	t	\N		\N	\N			f
61	26		33	\N	https://hdl.handle.net/2027/uc1.b3500693	f	t	\N		\N	\N			f
62	26		34	\N	https://hdl.handle.net/2027/uc1.b3500694	f	t	\N		\N	\N			f
63	26		35	\N	https://hdl.handle.net/2027/uc1.b3500695	f	t	\N		\N	\N			f
64	26		36	\N	https://hdl.handle.net/2027/uc1.b3500696	f	t	\N		\N	\N			f
65	26		37	\N	https://hdl.handle.net/2027/uc1.b3500697	f	t	\N		\N	\N			f
66	26		38	\N	https://hdl.handle.net/2027/uc1.b3500698	f	t	\N		\N	\N			f
67	26		39	\N	https://hdl.handle.net/2027/uc1.b3500699	f	t	\N		\N	\N			f
68	26		4	\N	https://hdl.handle.net/2027/uc1.b3500664	f	t	\N		\N	\N			f
69	26		40	\N	https://hdl.handle.net/2027/uc1.b3500700	f	t	\N		\N	\N			f
70	26		41	\N	https://hdl.handle.net/2027/uc1.b3500701	f	t	\N		\N	\N			f
71	26		42	\N	https://hdl.handle.net/2027/uc1.b3500702	f	t	\N		\N	\N			f
72	26		43	\N	https://hdl.handle.net/2027/uc1.b3500703	f	t	\N		\N	\N			f
73	26		44	\N	https://hdl.handle.net/2027/uc1.b3500704	f	t	\N		\N	\N			f
74	26		45	\N	https://hdl.handle.net/2027/uc1.b3500705	f	t	\N		\N	\N			f
75	26		46	\N	https://hdl.handle.net/2027/uc1.b3500706	f	t	\N		\N	\N			f
76	26		47	\N	https://hdl.handle.net/2027/uc1.b3500707	f	t	\N		\N	\N			f
77	26		48	\N	https://hdl.handle.net/2027/uc1.b3500708	f	t	\N		\N	\N			f
78	26		49	\N	https://hdl.handle.net/2027/uc1.b3500709	f	t	\N		\N	\N			f
79	26		5	\N	https://hdl.handle.net/2027/uc1.b3500665	f	t	\N		\N	\N			f
80	26		50	\N	https://hdl.handle.net/2027/uc1.b3500710	f	t	\N		\N	\N			f
81	26		51	\N	https://hdl.handle.net/2027/uc1.b3500711	f	t	\N		\N	\N			f
82	26		52	\N	https://hdl.handle.net/2027/uc1.b3500712	f	t	\N		\N	\N			f
83	26		53	\N	https://hdl.handle.net/2027/uc1.b3500713	f	t	\N		\N	\N			f
84	26		54	\N	https://hdl.handle.net/2027/uc1.b3500714	f	t	\N		\N	\N			f
85	26		55	\N	https://hdl.handle.net/2027/uc1.b3500715	f	t	\N		\N	\N			f
86	26		56	\N	https://hdl.handle.net/2027/uc1.b3500716	f	t	\N		\N	\N			f
87	26		57	\N	https://hdl.handle.net/2027/uc1.b3500717	f	t	\N		\N	\N			f
88	26		58	\N	https://hdl.handle.net/2027/uc1.b3500718	f	t	\N		\N	\N			f
89	26		59	\N	https://hdl.handle.net/2027/uc1.b3500719	f	t	\N		\N	\N			f
90	26		6	\N	https://hdl.handle.net/2027/uc1.b3500666	f	t	\N		\N	\N			f
91	26		60	\N	https://hdl.handle.net/2027/uc1.b3500720	f	t	\N		\N	\N			f
92	26		61	\N	https://hdl.handle.net/2027/uc1.b3500721	f	t	\N		\N	\N			f
93	26		62	\N	https://hdl.handle.net/2027/uc1.b3500722	f	t	\N		\N	\N			f
94	26		63	\N	https://hdl.handle.net/2027/uc1.b3500723	f	t	\N		\N	\N			f
95	26		64	\N	https://hdl.handle.net/2027/uc1.b3500724	f	t	\N		\N	\N			f
96	26		65	\N	https://hdl.handle.net/2027/uc1.b3500725	f	t	\N		\N	\N			f
97	26		66	\N	https://hdl.handle.net/2027/uc1.b3500726	f	t	\N		\N	\N			f
98	26		67	\N	https://hdl.handle.net/2027/uc1.b3500727	f	t	\N		\N	\N			f
99	26		68	\N	https://hdl.handle.net/2027/uc1.b3500728	f	t	\N		\N	\N			f
100	26		69	\N	https://hdl.handle.net/2027/uc1.b3500729	f	t	\N		\N	\N			f
101	26		7	\N	https://hdl.handle.net/2027/uc1.b3500667	f	t	\N		\N	\N			f
102	26		70	\N	https://hdl.handle.net/2027/uc1.b3500730	f	t	\N		\N	\N			f
103	26		71	\N	https://hdl.handle.net/2027/uc1.b3500731	f	t	\N		\N	\N			f
104	26		72	\N	https://hdl.handle.net/2027/uc1.b3500732	f	t	\N		\N	\N			f
105	26		73	\N	https://hdl.handle.net/2027/uc1.b3500733	f	t	\N		\N	\N			f
106	26		74	\N	https://hdl.handle.net/2027/uc1.b3500734	f	t	\N		\N	\N			f
107	26		75	\N	https://hdl.handle.net/2027/uc1.b3500735	f	t	\N		\N	\N			f
108	26		76	\N	https://hdl.handle.net/2027/uc1.b3500736	f	t	\N		\N	\N			f
109	26		77	\N	https://hdl.handle.net/2027/uc1.b3500737	f	t	\N		\N	\N			f
110	26		78	\N	https://hdl.handle.net/2027/uc1.b3500738	f	t	\N		\N	\N			f
111	26		79	\N	https://hdl.handle.net/2027/uc1.b3500739	f	t	\N		\N	\N			f
112	26		8	\N	https://hdl.handle.net/2027/uc1.b3500668	f	t	\N		\N	\N			f
113	26		81	\N	https://hdl.handle.net/2027/uc1.b3500280	f	t	\N		\N	\N			f
114	26		82	\N	https://hdl.handle.net/2027/uc1.b3500281	f	t	\N		\N	\N			f
115	26		83	\N	https://hdl.handle.net/2027/uc1.b3500282	f	t	\N		\N	\N			f
116	26		84	\N	https://hdl.handle.net/2027/uc1.b3500283	f	t	\N		\N	\N			f
117	26		85	\N	https://hdl.handle.net/2027/uc1.b3500284	f	t	\N		\N	\N			f
118	26		86	\N	https://hdl.handle.net/2027/uc1.b3500285	f	t	\N		\N	\N			f
119	26		87	\N	https://hdl.handle.net/2027/uc1.b3500286	f	t	\N		\N	\N			f
120	26		88	\N	https://hdl.handle.net/2027/uc1.b3500287	f	t	\N		\N	\N			f
121	26		9	\N	https://hdl.handle.net/2027/uc1.b3500669	f	t	\N		\N	\N			f
122	26		90	\N	https://hdl.handle.net/2027/uc1.b3500289	f	t	\N		\N	\N			f
123	26		91	\N	https://hdl.handle.net/2027/uc1.b3500290	f	t	\N		\N	\N			f
124	26		92	\N	https://hdl.handle.net/2027/uc1.b3500291	f	t	\N		\N	\N			f
125	26		93	\N	https://hdl.handle.net/2027/uc1.b3500292	f	t	\N		\N	\N			f
126	26		94	\N	https://hdl.handle.net/2027/uc1.b3500293	f	t	\N		\N	\N			f
127	26		95	\N	https://hdl.handle.net/2027/uc1.b3500294	f	t	\N		\N	\N			f
128	26		96	\N	https://hdl.handle.net/2027/uc1.b3500295	f	t	\N		\N	\N			f
129	26		97	\N	https://hdl.handle.net/2027/uc1.b3500296	f	t	\N		\N	\N			f
130	26		98	\N	https://hdl.handle.net/2027/uc1.b3500297	f	t	\N		\N	\N			f
131	26		99	\N	https://hdl.handle.net/2027/uc1.b3500298	f	t	\N		\N	\N			f
132	30			\N	https://www.loc.gov/item/2012592149/	t	t	\N		\N	\N			f
133	32		1	\N	https://archive.org/details/historyofhunting00afri	f	t	\N		\N	\N			f
134	32		2	\N	https://archive.org/details/historyofhunting00afri	f	t	\N		\N	\N			f
135	33			\N	https://archive.org/details/historyofclearfi00aldr	f	t	\N		\N	\N			f
170	39			\N		f	f	\N		\N	\N			f
177	52		1913-1914	\N	https://hdl.handle.net/2027/njp.32101068566957	f	t	\N		1913	1914			f
183	58			\N	https://archive.org/details/cu31924006232577	f	t	\N		\N	\N			f
184	59		1	\N	https://archive.org/details/historybeaverco01goog	f	t	\N		\N	\N			f
185	59		2	\N	https://archive.org/details/historybeaverco00goog	f	t	\N		\N	\N			f
186	60			\N	https://archive.org/details/historyofmontgom00bean	f	t	\N		\N	\N			f
187	63			\N	https://archive.org/details/historyofbeaverc00rich	f	t	\N		\N	\N			f
189	67			\N	https://www.loc.gov/item/2012590195/	t	t	\N		\N	\N			f
190	68			\N	https://www.loc.gov/item/2012590209/	t	t	\N		\N	\N			f
196	73			\N	https://www.loc.gov/item/2012592151/	t	t	\N		\N	\N			f
199	76			\N	https://www.loc.gov/item/2012592184/	t	t	\N		\N	\N			f
203	80			\N	https://archive.org/details/cu31924009706841	f	t	\N		\N	\N			f
204	81		1	\N	https://hdl.handle.net/2027/uc1.b4436114	f	t	\N		\N	\N			f
205	81		10	\N	https://hdl.handle.net/2027/uc1.b4436123	f	t	\N		\N	\N			f
206	81		11	\N	https://hdl.handle.net/2027/uc1.b4436124	f	t	\N		\N	\N			f
207	81		12	\N	https://hdl.handle.net/2027/uc1.b4436125	f	t	\N		\N	\N			f
208	81		13	\N	https://hdl.handle.net/2027/uc1.b4436126	f	t	\N		\N	\N			f
209	81		14	\N	https://hdl.handle.net/2027/uc1.b4436127	f	t	\N		\N	\N			f
210	81		2	\N	https://hdl.handle.net/2027/uc1.b4436115	f	t	\N		\N	\N			f
211	81		3	\N	https://hdl.handle.net/2027/uc1.b4436116	f	t	\N		\N	\N			f
212	81		4	\N	https://hdl.handle.net/2027/uc1.b4436117	f	t	\N		\N	\N			f
213	81		5	\N	https://hdl.handle.net/2027/uc1.b4436118	f	t	\N		\N	\N			f
214	81		6	\N	https://hdl.handle.net/2027/uc1.b4436119	f	t	\N		\N	\N			f
215	81		7	\N	https://hdl.handle.net/2027/uc1.b4436120	f	t	\N		\N	\N			f
216	81		8	\N	https://hdl.handle.net/2027/uc1.b4436121	f	t	\N		\N	\N			f
217	81		9	\N	https://hdl.handle.net/2027/uc1.b4436122	f	t	\N		\N	\N			f
218	84			\N	https://archive.org/details/historyofsusqueh00blac	f	t	\N		\N	\N			f
219	87			\N	https://archive.org/details/historyofwestmor01bouc	f	t	\N		\N	\N			f
220	89			\N	https://archive.org/details/historyofbradfor00brad	f	t	\N		\N	\N			f
221	90			\N	https://archive.org/details/historyofluzerne00brad	f	t	\N		\N	\N			f
223	92			\N	https://archive.org/details/historyofcarbonc00inbren	f	t	\N		\N	\N			f
225	94			\N	https://www.loc.gov/item/2012592179/	t	t	\N		\N	\N			f
227	96			\N	https://archive.org/details/historyofbutlerc00inbrow	f	t	\N		\N	\N			f
229	102		1	\N	https://hdl.handle.net/2027/pst.000013594855	f	t	\N		\N	\N			f
230	102		2	\N	https://hdl.handle.net/2027/pst.000013594862	f	t	\N		\N	\N			f
231	102		3	\N	https://hdl.handle.net/2027/pst.000013594879	f	t	\N		\N	\N			f
232	102		4	\N	https://hdl.handle.net/2027/pst.000013594886	f	t	\N		\N	\N			f
233	102		5	\N	https://hdl.handle.net/2027/pst.000013594893	f	t	\N		\N	\N			f
234	102		6	\N	https://hdl.handle.net/2027/nyp.33433007133634	f	t	\N		\N	\N			f
235	102		6 Appendix	\N	https://hdl.handle.net/2027/nyp.33433007133634	f	t	\N		\N	\N			f
237	105		1	\N	https://hdl.handle.net/2027/mdp.35112203937430	f	t	\N		\N	\N			f
238	105		10	\N	https://hdl.handle.net/2027/mdp.35112102891423	f	t	\N		\N	\N			f
239	105		11	\N	https://hdl.handle.net/2027/mdp.35112102891431	f	t	\N		\N	\N			f
240	105		12	\N	https://hdl.handle.net/2027/mdp.35112102891449	f	t	\N		\N	\N			f
241	105		2	\N	https://hdl.handle.net/2027/mdp.35112102891340	f	t	\N		\N	\N			f
242	105		3	\N	https://hdl.handle.net/2027/mdp.35112102891357	f	t	\N		\N	\N			f
243	105		4	\N	https://hdl.handle.net/2027/mdp.35112102891365	f	t	\N		\N	\N			f
244	105		5	\N	https://hdl.handle.net/2027/mdp.35112102891373	f	t	\N		\N	\N			f
245	105		6	\N	https://hdl.handle.net/2027/mdp.35112102891381	f	t	\N		\N	\N			f
246	105		7	\N	https://hdl.handle.net/2027/mdp.35112102891399	f	t	\N		\N	\N			f
247	105		8	\N	https://hdl.handle.net/2027/mdp.35112102891407	f	t	\N		\N	\N			f
248	105		9	\N	https://hdl.handle.net/2027/mdp.35112102891415	f	t	\N		\N	\N			f
254	122			\N	https://archive.org/details/historyofwashing00crum	f	t	\N		\N	\N			f
259	127		1	\N	https://hdl.handle.net/2027/uc1.b4442036	f	t	\N		\N	\N			f
260	127		10	\N	https://hdl.handle.net/2027/uc1.b4442045	f	t	\N		\N	\N			f
261	127		11	\N	https://hdl.handle.net/2027/uc1.b4442046	f	t	\N		\N	\N			f
262	127		12	\N	https://hdl.handle.net/2027/uc1.b4442047	f	t	\N		\N	\N			f
263	127		13	\N	https://hdl.handle.net/2027/uc1.b4442048	f	t	\N		\N	\N			f
264	127		14	\N	https://hdl.handle.net/2027/uc1.b4442049	f	t	\N		\N	\N			f
265	127		15	\N	https://hdl.handle.net/2027/uc1.b4442050	f	t	\N		\N	\N			f
266	127		16	\N	https://hdl.handle.net/2027/uc1.b4442051	f	t	\N		\N	\N			f
267	127		17	\N	https://hdl.handle.net/2027/uc1.b4442052	f	t	\N		\N	\N			f
268	127		2	\N	https://hdl.handle.net/2027/uc1.b4442037	f	t	\N		\N	\N			f
269	127		20	\N	https://hdl.handle.net/2027/uc1.b4442055	f	t	\N		\N	\N			f
270	127		21	\N	https://hdl.handle.net/2027/uc1.b4442056	f	t	\N		\N	\N			f
271	127		22	\N	https://hdl.handle.net/2027/uc1.b4442057	f	t	\N		\N	\N			f
272	127		23	\N	https://hdl.handle.net/2027/uc1.b4442058	f	t	\N		\N	\N			f
273	127		24	\N	https://hdl.handle.net/2027/uc1.b4442059	f	t	\N		\N	\N			f
274	127		25	\N	https://hdl.handle.net/2027/uc1.b4442060	f	t	\N		\N	\N			f
275	127		29A	\N	https://hdl.handle.net/2027/uc1.b4442065	f	t	\N		\N	\N			f
276	127		3	\N	https://hdl.handle.net/2027/uc1.b4442038	f	t	\N		\N	\N			f
277	127		32	\N	https://hdl.handle.net/2027/uc1.b4442068	f	t	\N		\N	\N			f
278	127		4	\N	https://hdl.handle.net/2027/uc1.b4442039	f	t	\N		\N	\N			f
279	127		5	\N	https://hdl.handle.net/2027/uc1.b4442040	f	t	\N		\N	\N			f
280	127		6	\N	https://hdl.handle.net/2027/uc1.b4442041	f	t	\N		\N	\N			f
281	127		7	\N	https://hdl.handle.net/2027/uc1.b4442042	f	t	\N		\N	\N			f
282	127		8	\N	https://hdl.handle.net/2027/uc1.b4442043	f	t	\N		\N	\N			f
283	127		9	\N	https://hdl.handle.net/2027/uc1.b4442044	f	t	\N		\N	\N			f
285	129			\N	https://archive.org/details/historyofclarion00davi	f	t	\N		\N	\N			f
286	130			\N	https://www.loc.gov/item/2012592178/	t	t	\N		\N	\N			f
287	135		1	\N	https://hdl.handle.net/2027/uc1.b4442140	f	t	\N		\N	\N			f
288	135		10	\N	https://hdl.handle.net/2027/uc1.b4442149	f	t	\N		\N	\N			f
289	135		11	\N	https://hdl.handle.net/2027/uc1.b4442150	f	t	\N		\N	\N			f
290	135		12	\N	https://hdl.handle.net/2027/uc1.b4442151	f	t	\N		\N	\N			f
291	135		13	\N	https://hdl.handle.net/2027/uc1.b4442152	f	t	\N		\N	\N			f
292	135		14	\N	https://hdl.handle.net/2027/uc1.b4442153	f	t	\N		\N	\N			f
293	135		15	\N	https://hdl.handle.net/2027/uc1.b4442154	f	t	\N		\N	\N			f
294	135		2	\N	https://hdl.handle.net/2027/uc1.b4442141	f	t	\N		\N	\N			f
295	135		3	\N	https://hdl.handle.net/2027/uc1.b4442142	f	t	\N		\N	\N			f
296	135		4	\N	https://hdl.handle.net/2027/uc1.b4442143	f	t	\N		\N	\N			f
297	135		5	\N	https://hdl.handle.net/2027/uc1.b4442144	f	t	\N		\N	\N			f
298	135		6	\N	https://hdl.handle.net/2027/uc1.b4442145	f	t	\N		\N	\N			f
299	135		7	\N	https://hdl.handle.net/2027/uc1.b4442146	f	t	\N		\N	\N			f
300	135		8	\N	https://hdl.handle.net/2027/uc1.b4442147	f	t	\N		\N	\N			f
301	135		9	\N	https://hdl.handle.net/2027/uc1.b4442148	f	t	\N		\N	\N			f
303	145			\N	https://archive.org/details/historyofcountie00egle	f	t	\N		\N	\N			f
304	147			\N	https://archive.org/details/historyoffayette00elli	f	t	\N		\N	\N			f
305	148		1	\N	https://archive.org/details/historyofthatpar01elli	f	t	\N		\N	\N			f
306	148		2	\N	https://archive.org/details/historyofthatpar02elli	f	t	\N		\N	\N			f
308	151			\N	https://www.loc.gov/item/2012592156/	t	t	\N		\N	\N			f
311	154			\N	https://archive.org/details/cu31924005813518	f	t	\N		\N	\N			f
316	160			\N	https://historicpittsburgh.org/islandora/object/pitt%3A00aee9358m	f	t	\N		\N	\N			f
324	164		11	\N	https://hdl.handle.net/2027/nyp.33433066357652	f	t	\N		\N	\N			f
325	165			\N	https://archive.org/details/historyofwayneco00good	f	t	\N		\N	\N			f
327	168			\N	https://archive.org/details/historyofperryco00hain	f	t	\N		\N	\N			f
328	169			\N	https://archive.org/details/adigestlawsando00lambgoog	f	t	\N		\N	\N			f
331	175			\N	https://www.loc.gov/item/2012590208/	t	t	\N		\N	\N			f
332	179			\N	https://www.loc.gov/item/2012592194/	t	t	\N		\N	\N			f
344	192		1	\N	https://hdl.handle.net/2027/mdp.39015041063960	f	t	\N		\N	\N			f
345	192		1	\N	https://hdl.handle.net/2027/uc1.b2978491	f	t	\N		\N	\N			f
346	192		11	\N	https://hdl.handle.net/2027/uc1.b2978496	f	t	\N		\N	\N			f
347	192		23	\N	https://hdl.handle.net/2027/mdp.39015041064000	f	t	\N		\N	\N			f
348	192		23	\N	https://hdl.handle.net/2027/uc1.b2978497	f	t	\N		\N	\N			f
349	192		25	\N	https://hdl.handle.net/2027/mdp.39015041064018	f	t	\N		\N	\N			f
350	192		25	\N	https://hdl.handle.net/2027/uc1.b2978498	f	t	\N		\N	\N			f
351	192		26	\N	https://hdl.handle.net/2027/mdp.39015041064026	f	t	\N		\N	\N			f
352	192		26	\N	https://hdl.handle.net/2027/uc1.b2978499	f	t	\N		\N	\N			f
353	192		27	\N	https://hdl.handle.net/2027/mdp.39015041064034	f	t	\N		\N	\N			f
354	192		27	\N	https://hdl.handle.net/2027/uc1.b2978500	f	t	\N		\N	\N			f
355	192		30	\N	https://hdl.handle.net/2027/mdp.39015041064042	f	t	\N		\N	\N			f
356	192		30	\N	https://hdl.handle.net/2027/uc1.b2978501	f	t	\N		\N	\N			f
357	192		36	\N	https://hdl.handle.net/2027/mdp.39015041064059	f	t	\N		\N	\N			f
358	192		36	\N	https://hdl.handle.net/2027/uc1.b2978502	f	t	\N		\N	\N			f
359	192		37	\N	https://hdl.handle.net/2027/mdp.39015041064067	f	t	\N		\N	\N			f
360	192		37	\N	https://hdl.handle.net/2027/uc1.b2978503	f	t	\N		\N	\N			f
361	192		39	\N	https://hdl.handle.net/2027/uc1.b2978504	f	t	\N		\N	\N			f
362	192		4	\N	https://hdl.handle.net/2027/mdp.39015041063978	f	t	\N		\N	\N			f
363	192		4	\N	https://hdl.handle.net/2027/uc1.b2978492	f	t	\N		\N	\N			f
364	192		40	\N	https://hdl.handle.net/2027/mdp.39015036046137	f	t	\N		\N	\N			f
365	192		6	\N	https://hdl.handle.net/2027/mdp.39015041063986	f	t	\N		\N	\N			f
366	192		6	\N	https://hdl.handle.net/2027/uc1.b2978493	f	t	\N		\N	\N			f
367	192		62	\N	https://hdl.handle.net/2027/mdp.39015041064075	f	t	\N		\N	\N			f
368	192		62	\N	https://hdl.handle.net/2027/uc1.b2978505	f	t	\N		\N	\N			f
369	192		63	\N	https://hdl.handle.net/2027/mdp.39015041064083	f	t	\N		\N	\N			f
370	192		63	\N	https://hdl.handle.net/2027/uc1.b2978506	f	t	\N		\N	\N			f
371	192		64	\N	https://hdl.handle.net/2027/mdp.39015036046129	f	t	\N		\N	\N			f
372	192		65	\N	https://hdl.handle.net/2027/mdp.39015041064091	f	t	\N		\N	\N			f
373	192		65	\N	https://hdl.handle.net/2027/uc1.b2978507	f	t	\N		\N	\N			f
374	192		7	\N	https://hdl.handle.net/2027/mdp.39015041063994	f	t	\N		\N	\N			f
375	192		7	\N	https://hdl.handle.net/2027/uc1.b2978494	f	t	\N		\N	\N			f
376	192		8	\N	https://hdl.handle.net/2027/uc1.b2978495	f	t	\N		\N	\N			f
383	200			\N	https://archive.org/details/historyofdauphin01kelk	f	t	\N		\N	\N			f
384	201			\N	https://www.loc.gov/item/2012590186/	t	t	\N		\N	\N			f
385	202			\N	https://www.loc.gov/item/2003627062/	t	t	\N		\N	\N			f
388	205			\N	https://www.loc.gov/item/2012592153/	t	t	\N		\N	\N			f
389	206			\N	https://hdl.handle.net/2027/umn.31951d010557496	f	t	\N		\N	\N			f
390	208		1	\N	https://hdl.handle.net/2027/uc1.b4435514	f	t	\N		\N	\N			f
391	208		2	\N	https://hdl.handle.net/2027/uc1.b4435515	f	t	\N		\N	\N			f
392	208		3	\N	https://hdl.handle.net/2027/uc1.b4435516	f	t	\N		\N	\N			f
393	208		4	\N	https://hdl.handle.net/2027/uc1.b4435517	f	t	\N		\N	\N			f
394	208		5	\N	https://hdl.handle.net/2027/uc1.b4435518	f	t	\N		\N	\N			f
395	208		6	\N	https://hdl.handle.net/2027/uc1.b4435519	f	t	\N		\N	\N			f
396	208		7	\N	https://hdl.handle.net/2027/uc1.b4435520	f	t	\N		\N	\N			f
397	208		8	\N	https://hdl.handle.net/2027/uc1.b4435521	f	t	\N		\N	\N			f
398	210			\N	https://hdl.handle.net/2027/pst.000018432619	f	t	\N		\N	\N			f
400	213		1	\N	https://archive.org/details/lancasterlawrev04arnogoog	f	t	\N		\N	\N			f
401	213		10	\N	https://hdl.handle.net/2027/uc1.b4435448	f	t	\N		\N	\N			f
402	213		11	\N	https://hdl.handle.net/2027/uc1.b4435449	f	t	\N		\N	\N			f
403	213		12	\N	https://archive.org/details/lancasterlawrev00arnogoog	f	t	\N		\N	\N			f
