filingid	filingtype	filingspecific	filingnotpresent	filingdate	filingfiled	filingother	filingothertype	filingnotes	adjudication
72	51	setting hearing date		1899-06-19		1899-09-04	Hearing		8435
73	58				1902-09-01				8438
74	49	Petition Refused		1902-11-19	1902-11-19				8438
75	57				1909-09-27				8447
76	57				1909-12-20				8449
77	57				1910-08-01				8451
78	57				1910-11-07				8450
79	57				1911-03-27				8452
80	58				1913-05-26				8454
81	23			1913-11-10		1913-12-09	Election		8454
82	58	Supplemental			1913-09-12				8454
83	58				1913-05-05				8454
84	107	of May 5, 1913		1913-05-26					8454
85	58	to Dismiss			1913-06-02				8454
86	107	to Dismiss		1913-11-03					8454
87	58	with Ordinance and bounds			1916-06-05				3223
88	28								3223
89	49	Permission is hereby given to file the within proceedings		1916-06-05					3223
90	21	Department of Public Instruction, with attachments		1959-04-13					3259
91	58	for Annexation to Telford Borough Council with Exhibits							3259
92	97	Assessed Valuation		1958-03-13					3259
93	82				1958-04-29				3259
94	49	Compensation of Commissioners		1958-05-02	1958-04-29				3259
95	34	with certificate of State Council of Education and other correspondence		1958-08-15					3259
96	55			1957-11-22					3259
97	58	and Complaint of the Township of West Rockhill		1957-10-10	1957-10-11				3259
98	31	of Bowen & Valimont for the Borough of Telford			1957-11-05				3259
99	57	certification of, with plan			1957-09-13				3259
100	99	Meeting of Commissioners		1958-03-03	1958-04-29				3259
101	57				1922-11-24				8467
102	95			1922-11-24					8467
103	57	153			1922-12-14				8468
104	95			1922-12-18					8468
105	57	114			1923-02-05				8470
106	95			1923-02-05					8470
107	57	197			1924-08-01				8471
109	57	44			1925-04-06				8475
110	95			1925-04-06					8475
112	57				1926-09-14				8479
113	95			1926-09-14					8479
114	57				1926-11-01				8480
115	95			1926-11-01					8480
116	58				1929-02-28				8486
117	58	Supplemental			1929-02-28				8486
118	70				1929-03-08				8486
119	82				1929-06-07				8486
120	58	to extend time for filing commissioners' report			1929-04-01				8486
121	34				1929-09-09				8486
122	57	44			1929-11-13				8487
123	95	from Auditor's Report		1929-11-13					8487
124	79	Ordinance adjudged null and void		1931-03-09	1931-03-11				108
125	57	256 only			1929-09-09				8488
126	95	for Ordinance 256 only		1929-09-09					8488
127	58	of Fidelity First Company			1929-07-31				8488
128	20	of the Township of Abington			1929-11-12				8488
129	22	complaint [of Abington] dismissed		1930-05-29	1930-05-29				8488
130	111			1930-07-07					8488
131	57				1930-05-23				8489
132	95			1930-06-12	1930-06-13				8489
133	38			1930-05-23		1930-11-04	Next Election		8489
134	57				1930-05-23				8490
135	95			1930-06-12	1930-06-13				8490
136	38			1930-05-23		1930-11-04	Next Election		8490
137	57				1931-03-13				8491
138	95			1931-03-13	1931-03-13				8491
139	57				1931-04-01				8492
141	57				1932-07-22				8493
142	95			1932-07-29	1932-07-29				8493
143	57				1935-04-16				8494
145	44	detaching land from North Wales and annexing to Upper Gwynedd		1935-08-02	1935-08-02				8495
147	95			1938-03-05					8497
148	26			1938-03-11					8497
149	34			1938-03-21					8497
150	58				1939-11-17				8498
151	26			1940-05-03					8498
152	34			1940-06-03					8498
153	57				1941-09-17				8499
155	57			1942-11-16				no filing date given	8500
156	17			1942-12-02					8500
157	9			1943-02-05	1943-02-06				8500
159	9			1942-02-10	1942-02-13				8499
160	26	to be confirmed absolutely if no exceptions or objections are filed within 10 days		1943-04-22					8501
161	34			1943-05-04					8501
162	75			1943-06-10	1943-06-11				8501
163	95					1943-04-17	Service		8501
164	57				1943-04-26				8502
165	9			1943-06-04	1943-06-07				8502
166	95					1943-04-26	Service on/before	In a pleading in the PADE Annexation File, which was affirmed and subscribed on 1943-04-26, it states "The undersigned is directed in said Ordinance to file the foregoing and to file notice thereof in the Office of the County Commissioners of Montgomery County, which notice the undersigned has personally delivered to the Clerk of the County Commissioners."	8502
167	62	by Lower Moreland Township			1948-05-07				8503
168	91	on Borough of Bryn Athyn		1948-05-10		1948-06-11	Returnable		8503
169	57				1948-05-14				8504
170	58				1948-06-11				8505
171	34	effective 1st Monday of January 1949		1948-12-02		1949-01-03	Effective		8505
172	57				1949-12-09				8506
173	93			1954-11-03	1954-11-03				8509
174	9			1955-03-08	1955-03-11				8509
175	58	to Borough Council of the Borough of Telford		1954-12-23	1955-02-04				8509
176	57	73			1955-02-04				8509
177	34			1955-03-16	1955-03-16				8509
178	57	72			1954-11-03				8509
179	58				1908-10-05				8443
180	55			1908-10-12					8443
181	82				1908-12-07				8443
182	23			1908-12-21					8443
183	30	for election held February 16, 1909			1909-02-17	1909-02-16	Election		8443
184	34			1909-03-09					8443
185	58	of West Norriton Twp. to fill vacancies			1909-03-01				8443
186	58	of East Norriton Twp. to fill vacancies			1909-03-01				8443
187	57				1909-01-18				8444
188	57				1909-04-19				8445
189	58				1911-04-17				8453
190	34			1912-01-09					8453
191	22	annexing territory from Cheltenham to Philadelphia		1915-11-16					8457
192	35	confirming auditor's report, [and annexing territory from Cheltenham to Philadelphia?]		1916-06-17					8457
193	57				1916-07-24				8459
194	95			1916-07-24	1916-07-24				8459
195	22	directing filing of notice with County Commissioners, appointing auditor		1916-07-24					8459
196	58				1916-10-02				8460
197	34			1916-12-30	1916-12-30	1916-11-07	Election		8460
198	57				1916-01-15				8458
199	49	notice to be given to County Commissioners		1916-01-15					8458
200	95			1916-01-18				per auditor's report	8458
201	57				1917-06-22			per auditor's report	8462
202	95			1917-06-22				per auditor's report	8462
203	22			1917-06-22				per auditor's report	8462
204	34			1919-11-20	1919-11-20	1919-11-04	Election		8463
205	58			1919-10-15	1919-10-16				8463
206	23			1919-10-16		1919-11-04	Election		8463
207	65	final decree to add clause changing class of school districts			1922-05-10				8463
208	6	Adding to decree of November 20, 1919 a clause changing class of school districts		1922-05-19					8463
209	57			1920-11-12	1920-11-24				8464
210	22	ordering filing of notice with County Commissioners, appointing Auditor		1920-11-24					8464
211	95			1920-12-10					8464
212	57				1922-03-27				8465
213	95			1922-03-27				per auditor's report	8465
214	57				1922-01-03			per auditor's report	8466
215	95			1922-01-03				per auditor's report	8466
216	57				1904-10-10				8441
217	58				1871-05-17				8588
218	8			1871-05-18					8588
219	58	of the Supervisors of the Townships of Douglass and Upper Pottsgrove		1962-08-06	1962-08-13				8632
220	55			1962-08-13					8632
221	82				1962-10-26				8632
222	48			1962-10-26		1962-11-25	Effective after 30 days		8632
223	73				1962-11-05				8632
224	57	55			1928-07-11			at HSMCPA	8472
225	95	of Ordinance 55		1928-07-13				at HSMCPA	8472
226	58				1891-06-12			per court reporter	8425
227	82				1891-09-12			per court reporter	8425
228	23			1891-09-12		1891-11-03	Election	per court reporter	8425
229	44			1892-01-18				per court reporter	8425
230	34			1892-02-01					8425
231	32				1891-10-17			per court reporter	8425
232	58				1884-06-02			per court reporter	8407
233	8			1884-06-05				per court reporter	8407
234	44	setting aside approval by Grand Jury (per Court Reporter)		1885-03-14					8407
235	57				1897-11-29				8433
236	34			1898-01-03					8433
237	82				1916-10-26				8456
238	57				1966-09-30			See correspondence on 12 Sep 1966 for explanation of why filed in 1966 (and not in 1962). Was apparently not included with plan.	8633
239	28				1962-10-15				8633
240	21	from Ronald H. Reynier, Assistant Borough Solicitor, to Commissioners of Montgomery County		1962-10-03					8633
241	21	from Clay C. Hess, Clerk of Courts, to Superintendent of Public Instruction		1966-09-30				For both 36 Sep 1962 & 12 Sep 1966.	8633
242	9			1967-07-13	1967-07-28				8633
243	57				1966-09-22				8635
244	21	from Joseph A. Suchoza (O'Donnell, Weiss, Mattei, Suchoza & Henry), to Clerk of Courts		1966-09-26				Concerning certification to Department of Public Instruction.	8635
245	9			1967-07-13					8635
246	57				1969-01-15				8555
247	21	Elizabeth V. Brandt, Borough Secretary, to: The Commissioners of Montgomery County; Clerk of Quarter Sessions Court; and Pennsylvania Dept. of Community Affairs.		1969-01-14					8555
248	61			1957-11-26					8515
249	63			1895-02-09	1895-02-09				307
250	49	for petition by appellants for allowance of special order making appeal a supersedeas to be filed for consideration of court en banc		1895-02-09					307
251	11	for petitioners (appellants) sur petition for allowance of special order of supersedeas			1895-02-13				307
252	44	affirming decree of incorporation, dismissing appeal, and remitting record		1895-10-07					307
253	57				1943-04-22			per PADE Annexation File	8501
254	58				1890-05-24				3193
255	49	granting prayer of petitioners			1890-05-24				3193
256	58				1890-05-24				3192
257	49	appointing Levi N. Kramer to fill vacancy in office of supervisor		1890-05-24					3192
258	58				1890-05-24				3188
259	49	granting prayer of petitioners			1890-05-24				3188
260	58				1890-05-24				3189
261	49	appointing Samuel G. Kramer to fill vacany in office of supervisor		1890-05-24					3189
262	58				1890-05-29				3194
263	49	appointing Frederick Knauff constable		1890-05-29					3194
264	58				1889-12-11				3187
265	55			1889-12-12					3187
266	82				1890-01-27				3187
267	23			1890-01-27		1890-02-18	Election		3187
268	30				1890-02-19				3187
269	34			1883-12-07				per Pottstown's minute book	8406
270	34			1888-10-04				per Pottstown's minute book	8417
271	34			1888-12-06				per Pottstown's minute book	8418
272	58	for incorporation			1902-04-04				10075
273	44	dismissing petition		1902-06-26					10075
274	58				1924-10-01				8624
275	55			1924-10-01					8624
276	10				1924-10-29				8624
277	49	approving bond and surety		1924-10-29					8624
278	26			1924-11-15	1924-11-15				8624
279	82				1924-11-10				8624
280	34			1924-12-15					8624
281	58				1905-05-15				8622
282	55			1905-05-15					8622
283	10				1905-05-24				8622
284	49	approving bond with the within sureties		1905-05-24					8622
285	82				1905-06-15				8622
286	73				1905-06-20				8622
287	34			1905-09-04					8622
288	58	for Incorporation		1886-06-29					2149
289	73	of the Union Free Press		1886-09-06					2149
290	8			1886-09-08	1886-09-09				2149
291	27			1887-04-16		1887-05-14	First Election		2149
292	58				1884-12-03				2146
293	8			1884-12-03					2146
294	27			1885-03-04					2146
295	58			1885-03-02	1885-03-02				2147
296	73			1885-03-04					2147
297	8			1885-03-04					2147
298	28								2147
299	27			1885-06-03		1885-07-07	First Election		2147
300	28								2149
301	58								2202
302	8			1858-12-08					2202
303	27	confirming inquest of the Grand Jury, that it be recorded in the Recorder's Office		1859-03-09					2202
304	6			1859-03-15	1859-03-15	1859-04-01	First Election		2202
305	28								2202
306	58								2125
307	34			1873-12-09					2125
308	58				1899-09-04				2049
309	27			1899-12-21		1900-01-09	First Election		2049
310	58				1894-06-04				8429
311	8			1894-06-07					8429
312	27			1895-01-21		1895-02-19	First Election		8429
313	58				1873-03-03				2126
314	8			1873-03-05					2126
315	28								2126
316	27			1873-06-05		1873-07-01	First Election		2126
317	58				1898-07-01				2048
318	91	and ordering application to be filed with Clerk of Quarter Sessions		1898-07-01					2048
319	28								2048
320	27			1898-09-21					2048
321	58	to certify election results in favor of the Abington Township name change referendum pursuant to 53 P.S. § 65207			2010-12-16				1170
322	34			2010-12-16	2010-12-16	2010-12-16	Effective		1170
323	58								2108
324	8								2108
325	28								2108
326	27			1855-03-15		1855-04-03	First Election		2108
327	58				1900-03-05				2050
328	27			1900-06-07		1900-07-10	First Election		2050
329	58				1900-09-05				2053
330	27			1900-12-03		1901-02-19	First Election		2053
331	58								2109
332	8			1858-06-08	1858-06-08				2109
333	27			1858-10-19	1858-10-19	1858-11-16	First Election		2109
334	28								2109
335	58			1867-04-25	1867-04-30				4072
336	53			1867-04-30					4072
337	8			1867-04-30					4072
338	50			1867-04-30					4072
339	27			1867-08-12		1867-09-13	First Election		4072
340	35			1872-12-12					500
341	58			1875-04-28	1875-04-28				4212
342	8			1875-04-~01					4212
343	27			1875-12-20	1875-12-20	1876-02-15	First Election		4212
344	58								4224
345	73			1893-10-31					4224
346	8			1893-10-~01					4224
347	27			1894-01-29		1894-02-20	First Election		4224
348	58			1867-04-29					4195
349	53			1867-05-01					4195
350	8			1867-05-01					4195
351	27			1867-08-15		1867-10-08	First Election		4195
352	58			1873-08-14					4073
353	8			1873-08-14					4073
354	35			1873-11-10					4073
355	58				1859-02-04				4190
356	8			1859-02-04	1859-02-04				4190
357	27			1859-05-12		1859-05-28	First Election		4190
358	58			1910-09-16	1910-10-03				3993
359	49	continuing hearing to March Argument Term, exceptions to be filed on or before March 1, 1911		1911-01-24					3993
360	27			1911-05-01	1911-05-03	1911-06-03	First Election		3993
361	28								3960
362	28								3964
363	28								3965
364	58			1891-03-26					4220
365	73			1891-03-26					4220
366	28								3968
367	8			1891-05-01					4220
368	50			1891-05-01					4220
369	28								3976
370	27			1891-08-17		1891-09-12	First Election		4220
371	58			1854-10-31	1854-11-03				4173
372	28								3979
373	8			1854-11-03					4173
374	32				1855-01-29	1855-03-12	Hearing		4173
375	49	dismissing Exceptions		1855-03-12					4173
376	27			1855-03-13		1855-03-30	First Election		4173
377	28								3980
378	58			1889-04-27					4219
379	73			1889-04-27					4219
380	8			1889-05-03					4219
381	27			1889-08-13		1889-09-10	First Election		4219
382	58			1920-07-12	1920-07-12				4233
383	65	original petition		1920-11-23					4233
384	28								3985
385	22	allowing amendment of original petition		1921-01-03					4233
386	32				1920-08-30				4233
387	27			1921-06-20		1921-08-02	First Election		4233
388	58			1937-10-30					4002
389	28								3986
390	52	hearing to be held; notice of presentation and filing and hearing shall be advertised in Chester County Legal Intelligencer and Coatesville Record once per week for 3 weeks		1937-11-01		1937-12-06	Hearing		4002
391	73	of Chester County Legal Intelligencer		1937-12-01					4002
392	73	of Coatesville Record		1937-11-30					4002
393	35			1937-12-13					4002
394	58	to amend § 8 of borough charter to allow six (6) school directors on the Board of School Directors for the School District		1890-12-06					3975
395	73			1890-12-06					3975
396	8			1891-01-28					3975
397	35	confirming judgment of Grand Jury and amending borough charter per petition		1891-04-27					3975
398	58			1874-04-25	1874-04-27				3965
399	53			1874-04-27					3965
400	8			1874-04-30	1874-04-30				3965
401	50			1874-04-30					3965
402	35			1874-09-21					3965
403	58			1921-03-19					4232
404	32								4232
405	27			1921-06-17		1921-08-02	First Election		4232
406	27			1893-11-29		1894-02-20	First Election		4222
407	58				1854-08-~01				2691
408	73	of Der Hurd a/k/a The Shepherd, of Kutztown		1854-11-07					2691
409	73	of the Reading Gazette and Democrat		1854-11-06					2691
410	34			1854-11-10					2691
411	58			1855-04-10					2692
412	72	notice of Clerk of Quarter Sessions by Borough		1855-08-07					2692
413	73	of the Berks and Schuylkill Journal		1855-08-08					2692
414	34			1855-08-08				Date digit difficult to read.	2692
415	58								2693
416	49	notice of application to be given by four insertions in one German and one English newspaper in City of Reading, and by ten handbills in most conspicuous places of business in borough		1856-05-24					2693
417	73	of the Reading Gazette and Democrat		1856-08-01					2693
418	73	of the Reading Adler (in German)		1856-08-01					2693
419	72	of handbills by constable		1856-07-31					2693
420	34			1856-10-22					2693
421	58				1866-04-10				2694
422	8			1866-04-~01					2694
423	27			1866-10-20		1866-11-02	First Election		2694
424	58			1872-08-13					2695
425	28								3992
426	73	of the Reading Times and Dispatch		1872-08-14					2695
427	8			1872-08-~01					2695
428	27			1872-11-23		1873-03-11	First Election		2695
429	58			1875-08-09	1875-08-11				2697
430	53			1875-08-11					2697
431	8			1875-08-12				per other pleading	2697
432	32				1875-10-27			per other pleading	2697
433	32				1875-11-08			per other pleading	2697
434	22	incorporating borough		1876-02-12				per other pleading	2697
435	49	vacating decree of February 12, 1876		1876-09-21					2697
436	62	of freeholders of Topton why decree incorporating village into borough should not be made in conformity with boundaries as modified by accompanying draft		1876-10-16		1876-11-13	Returnable		2697
437	91			1876-10-16		1876-11-13	Returnable		2697
438	27	and rule of October 16, 1876 made absolute		1877-01-18		1877-02-20	First Election		2697
439	28	enclosed with petition filed August 11, 1875							2697
440	28	enclosed with petition for rule to show cause of October 16, 1876							2697
441	58			1886-09-13	1886-09-13				2699
442	53			1886-09-13					2699
443	8			1886-09-16					2699
444	50			1886-11-22					2699
445	73	of The Herald		1886-09-13					2699
446	28								3996
447	27			1887-05-31		1887-06-28	First Election		2699
448	28								2699
449	28								3997
450	58			1890-06-09	1890-06-09				2700
451	73	of the Reading Herald		1890-06-09					2700
452	8			1890-06-09					2700
453	50			1890-06-09					2700
454	27			1890-09-11		1890-10-14	First Election		2700
455	58	for incorporation or reincorporation (was incorporated in October 1873, but charter was mislaid or lost)		1891-09-08					2702
456	73	of the Reading Herald		1891-09-14					2702
457	8			1891-09-16					2702
458	50			1891-09-16					2702
459	27			1891-12-22					2702
460	58			1895-03-12					2562
461	53			1895-03-20					2562
462	8			1895-03-20					2562
463	21	from the Township of Colebrookdale							2562
464	21	from the Board of Directors of the School District of Colebrookdale Township							2562
465	96	of Colebrookdale Township		1895-03-12		1895-03-12	Service		2562
466	35			1895-03-21					2562
467	58			1901-05-08					2563
468	52	and notice to be given in Reading Daily Eagle for 30 days twice every week		1901-05-08		1901-06-10	Returnable		2563
469	73	of the Reading Eagle		1901-06-10					2563
470	27			1901-12-30		1902-02-18	First Election		2563
471	28								2563
472	58			1902-06-02					2564
473	52	and notice to be given in Reading Daily Eagle for 30 days twice every week		1902-06-11		1902-09-08	Returnable		2564
474	73	of the Daily Eagle		1902-09-08					2564
475	27			1902-11-07		1903-02-17	First Election		2564
476	28								2564
477	58			1905-07-10	1905-07-10				2569
478	52	and notice to be given personally to the Supervisors of Spring and Cumru Townships, as well as in Reading Eagle for 30 days twice every week		1905-07-10		1905-08-14	Returnable		2569
479	49	amending order of July 10, 1905; notice to be given personally to the Supervisors of Spring and Cumru Townships, as well as in Reading Eagle for 30 days twice every week before December Term		1905-08-14	1905-08-15	1905-12-11	Returnable		2569
480	65	original petition		1906-05-07	1906-05-18				2569
481	28								3999
482	92	of notice to file Petition to Amend served upon J. Fred Hortgen, Edward S. Krump, J. Milton Miller, and Richard L. Jones, attorneys for remonstrants		1906-05-07					2569
483	27			1906-07-02	1906-07-02	1906-08-28	First Election		2569
484	58			1906-10-24	1906-11-05				2571
485	52	and notice to be given personally to Supervisors of Spring and Cumru Townships, and in Reading Telegram for 30 days twice per week		1906-11-05		1906-12-10	Returnable		2571
486	65	original petition		1906-11-05	1906-11-05				2571
487	49	allowing amendment of original petition		1906-11-05					2571
488	28								4000
489	21	by original petitioners allowing counsel to take necessary action to amend original petition		1906-11-05					2571
490	96	of Cumru and Spring Townships		1906-12-03		1906-11-28	Service		2571
491	73	of Reading Telegram		1906-12-08					2571
492	27			1907-03-18	1907-03-18	1907-05-07	First Election		2571
494	58			1927-04-07	1927-04-09				2608
495	52	and notice to be given by publication in Kutztown Patriot and Berks County Law Journal once per week for not less than 30 days before June Term		1927-04-09		1927-06-13	Returnable		2608
496	27			1927-06-20		1927-07-26	First Election		2608
497	58			1912-06-06	1912-06-10				2581
498	52	and notice to be given in Reading Daily Eagle and Berks County Law Journal for 30 days immediately before September Term		1912-06-10		1912-09-09	Returnable		2581
499	73	of the Reading Daily Eagle		1912-10-15					2581
500	73	of the Berks County Law Journal		1912-10-01					2581
501	27			1913-01-14		1913-02-25	First Election		2581
502	58			1911-04-12	1911-04-12				2579
503	52	and notice to be given in Reading Weekly Eagle and Berks County Law Journal for 30 days before June Term		1911-04-12		1911-06-12	Returnable		2579
504	73	of the Reading Weekly Eagle		1911-06-12	1911-06-12				2579
505	73	of the Reading Eagle, a daily		1911-06-12	1911-06-12				2579
506	73	of the Berks County Law Journal		1911-06-12	1911-06-12				2579
507	22	incorporating Borough of Sinking Spring		1911-12-11					2579
508	28								2579
509	27	amending decree of December 11, 1911		1913-03-10	1913-03-10	1913-04-22	First Election		2579
510	58			1907-09-09	1907-09-09				2576
511	52	and notice to be published in Reading Weekly Eagle for 30 days before December Term		1907-09-09		1907-12-09	Returnable		2576
512	73	of the Reading Weekly Eagle		1907-12-16					2576
513	27			1908-08-18		1908-09-01	First Election		2576
514	58			1883-11-14					2698
515	8			1883-11-14					2698
516	50			1883-11-15					2698
517	53			1883-11-14					2698
518	27			1884-02-04		1884-02-19	First Election		2698
519	28								2698
520	28								4004
521	58			1904-10-20	1904-10-21				2566
522	28								4006
523	52	and notice to be given in Reading Daily Eagle for 30 days, twice per week		1904-10-21		1904-12-12	Returnable		2566
524	73	of the Reading Daily Eagle		1904-12-12	1904-12-12				2566
525	28								2566
526	27			1907-03-18	1907-03-18	1907-04-30	First Election		2566
527	58			1913-01-10	1913-01-25				2584
528	52	and notice to be given in Reading Telegram and Berks County Law Journal for 30 days before March Term		1913-01-25		1913-03-10	Returnable		2584
529	73	of the Reading Telegram		1913-03-17					2584
530	28								4008
531	73	of the Berks County Law Journal		1913-03-17					2584
532	49	hearing continued to June 9, 1913 due to clerical error on order of January 25, 1913; notice to be given in Reading Daily Telegram and Berks County Law Journal for 30 days before June Term		1913-03-17					2584
533	73	of Reading Daily Telegram		1913-06-06					2584
534	28								4010
535	28								4011
536	73	of Berks County Law Journal		1913-06-06					2584
537	27			1913-06-14	1913-06-14	1913-07-15	First Election		2584
538	28								4012
539	58			1920-02-21	1920-03-15				2596
540	28								3962
541	52	and notice to be given in Reading Daily Eagle and Berks County Law Journal for 30 days before June Term		1920-03-15		1920-06-14	Returnable		2596
542	73	of The Reading Eagle		1920-06-14					2596
543	73	of Berks County Law Journal		1920-06-14					2596
544	27			1920-06-19		1920-08-03	First Election		2596
545	58			1921-05-28	1921-05-31				2597
546	52	and notice to be given in Reading Daily Eagle and Berks County Law Journal 30 days before September Term		1921-05-31		1921-09-12	Returnable		2597
547	27			1921-09-12		1921-11-08	First Election		2597
548	28			1921-04-07					2597
549	58			1915-09-05	1915-09-08				2585
550	28								3990
551	52	and notice to be given in Reading Daily Eagle and Berks County Law Journal 30 days before December Term		1915-09-08	1915-09-08	1913-12-08	Returnable		2585
552	73	of the Reading Daily Eagle		1915-12-08	1915-12-08				2585
553	73	of the Berks County Law Journal		1915-12-08	1915-12-08				2585
554	27			1914-01-13		1914-02-24	First Election		2585
556	58			1922-05-29	1922-06-24				2600
557	52	and publication be made according to law for 30 days		1922-06-24		1922-09-11	Returnable		2600
558	27			1922-09-11		1922-11-07	First Election		2600
559	58			1923-05-04	1923-05-07				2602
560	49	petition to be file; notice to be given as required		1923-05-07		1923-06-11	Returnable		2602
561	27			1923-06-11	1923-06-11	1923-07-31	First Election		2602
562	58			1927-03-07	1927-03-07				2606
563	73	of the Reading Eagle and the Berks County Law Journal		1927-04-21	1927-04-23				2606
564	27			1927-04-23	1927-04-23	1927-06-28	First Election		2606
565	58			1927-03-25	1927-03-26				2607
566	52	and notice to be given in Reading Eagle and Berks County Law Journal 30 days before June Term		1927-03-26	1927-03-26	1927-06-13	Returnable		2607
567	27			1927-06-20		1927-07-26	First Election		2607
568	58				1930-02-07				2616
569	52	and notice to be given		1930-02-07	1930-02-07	1930-03-17	Returnable		2616
570	27			1930-04-08	1930-04-08	1930-06-03	First Election		2616
571	58			1931-05-04	1931-05-04				2619
572	52	and notice to be given as required by law		1931-05-04	1931-05-04	1931-06-08	Returnable		2619
573	27			1931-08-06	1931-08-06	1931-11-03	First Election		2619
574	58			1987-08-10					670
575	27			1988-05-10					670
576	58			1913-03-03	1913-03-03				6924
577	52	and notice shall be given in Allentown Morning Call and Daily Ledger, and Lehigh County Law Journal for 30 days before regular April Term		1913-03-03					6924
578	51			1913-04-14		1913-04-25	Hearing		6924
579	27			1913-05-09		1913-06-10	First Election		6924
580	58	of resident freeholders		1895-03-29					6919
581	58	of non-resident freeholders							6919
582	73	of the Catasauqua Dispatch							6919
583	96	of Hanover Township		1895-05-28		1895-05-25	Service		6919
584	94	of Borough of Catasauqua		1895-05-28		1895-05-27	Service		6919
585	53			1895-06-03					6919
586	8			1895-06-05					6919
587	35			1895-07-02					6919
588	57	185, with certification		1967-03-21	1967-04-05				6654
589	28				1967-04-05				6654
590	93	by correspondence; per certification with ordinance		1967-04-03	1967-04-05				6654
591	73				1967-04-05				6654
592	58	filed with Borough of Akron		1967-03-04	1967-04-05				6654
593	57	with certification		1968-05-15				No filing date on backer	6676
594	58	filed with the Borough of Akron		1968-05-06					6676
595	28								6676
596	73	of the Ephrata Review		1968-05-09					6676
597	93	by correspondence		1968-05-16					6676
598	93	unclear to whom directed, presuming Board of Elections, states ordinance filed with Clerk of Quarter Sessions same day		1967-04-11					6657
599	28	along with legal description							6657
600	93	unclear to whom directed, presuming Board of Elections, states ordinance filed with Clerk of Quarter Sessions same day		1967-04-11					6656
601	28	along with legal description							6656
602	93	unclear to whom directed, presuming Board of Elections, states ordinance filed with Clerk of Quarter Sessions same day		1967-04-11					6655
603	28	along with legal description							6655
604	93	unclear to whom directed, presuming Board of Elections, states ordinance filed with Clerk of Quarter Sessions same day		1967-04-11					6658
605	28	along with legal description							6658
606	93	concerning ordinance filed June 11, 1968 with Clerk of Quarter Sessions; no township from listed							6678
607	57	260			1967-08-03				6664
608	58	filed with Borough of Denver		1967-07-19	1967-08-03				6664
609	28								6664
610	93			1967-08-03					6664
611	34			1967-09-08	1967-09-08				6664
612	58			1957-07-23					2655
613	58			1957-07-23					2655
